keys,en,description,
title.navbar.continue,Continue,continues the last savegame
title.navbar.newgame,New Game,starts a new game
title.navbar.options,Options,
title.navbar.updates,Updates,
title.navbar.updates.close,Close,
title.navbar.credits,Credits,
title.navbar.credits.close,Close,
title.navbar.quit,Quit to Desktop,
,,
options.title,OPTIONS,
options.game,Game,
options.game.screenshake,Screen Shake,
options.game.screenshake.shakeintensity,Shake Intensity,
options.game.screenshake.shakewhenmining,Shake When Mining,
options.game.tutorials,Tutorials,
options.game.tutorials.resettutorials,Reset Tutorials,
options.game.languages,Languages,
options.game.events,Events,
options.game.events.enableseasonal,enable seasonal content,
options.video,Video,
options.video.graphicsmode,Graphics Mode,
options.video.graphicsmode.window,Window,
options.video.graphicsmode.borderlesswindow,Borderless Window,
options.video.graphicsmode.fullscreen,Fullscreen,
options.video.graphicsmode.enablevsync,Enable VSync,
options.video.stretchmode,Stretch Mode,
options.video.stretchmode.rezised,Resized,
options.video.stretchmode.rezised.text,"Renders the game in the native screen or windowed resolution.
Will look sharp, but visual errors in the form of 1 pixel wide lines may appear.",
options.video.stretchmode.scaled,Scaled,
options.video.stretchmode.scaled.text,"Renders the game in a fixed resolution and scales it to your resolution.
Can be pixelated, especially in fonts, but there are no visual line errors.",
options.audio,Audio,
options.audio.volumes,Volumes,
options.audio.volumes.mastervolume,Master Volume,
options.audio.volumes.musicvolume,Music Volume,
options.audio.volumes.soundvolume,Sound Volume,
options.audio.volumes.ambiencevolume,Ambience Volume,
options.audio.music,Music,
options.audio.music.frequency,Frequentness (cycles without music),
options.input,Input,
options.input.controls,Controls,
options.input.controls.text,Plays best with Gamepad.,
options.input.controls.keybindings,Key Bindings,
options.input.gamepad,Gamepad,
options.input.gamepad.gamepadstickdeadzone,Thumbstick dead zone,
options.input.gamepad.gamepadstickdeadzone.motiondetected,motion detected:,
options.input.gamepad.gamepadstickdeadzone.text,"Set the value so that the bar does not flicker if you only touch thumbsticks, without pushing them.
If you push the thumbstick, the bar should flicker when moving the stick.",
options.input.gamepad.autoswitch,automatic detection of preferred gamepad,
options.input.vibration.strength,Vibration Strength,how much the controller vibrates
options.accessibility,Accessibility,options category for people with visual impairments or photosensitivity or such
options.video.graphicsmode.photosensitive,Photosensitivity Mode,
options.accessibility.photosensitivity.explanation,Reduces flickering lights.,
options.accessibility.highlightmonsters,Highlight Monsters,
options.accessibility.highlightmonsters.explanation,"Render a bright outline around monsters, for better visibility.",
options.accessibility.critters,Disable Critters,
options.accessibility.critters.explanation,"Disable worm, bug or spider like critters that spawn in the mine as visual effects.",
options.cancel,Cancel,
options.ok,OK,
options.keybindings.title,CONTROL MAPPING,
options.keybindings.text,"Edit the control mapping to your liking.
Keys from different sections can generally overlap without issue (like using the same keys to move your keeper and the dome weapon).",
options.keybindings.keyboard,Keyboard,
options.keybindings.gamepad,Gamepad,
options.keybindings.action,Action,
options.keybindings.action.general,General,
options.keybindings.action.general.move,Move,
options.keybindings.action.general.up,Up,
options.keybindings.action.general.left,Left,
options.keybindings.action.general.down,Down,
options.keybindings.action.general.right,Right,
options.keybindings.action.general.use,Use,
options.keybindings.action.general.back,Cancel,
options.keybindings.action.keeper.pickup,Pick Up,
options.keybindings.action.keeper.drop,Drop,
options.keybindings.action.keeper.gravityball,Charge Shot,
options.keybindings.action.keeper.gravitycollect,Charge Collect,
options.keybindings.action.keeper.gadget1,Gadget 1,
options.keybindings.action.keeper.gadget2,Gadget 2,
options.keybindings.action.keeper,Keeper,
options.keybindings.action.dome,Dome,
options.keybindings.action.dome.fire,Fire ,
options.keybindings.action.dome.battleability1,Battle Ability,
options.keybindings.action.dome.battle,Battle Mode,
options.keybindings.action.dome.upgrade,Upgrades,
options.keybindings.rebinding,Rebinding,
options.keybindings.rebinding.inputprocessor,Press a new key for this action …,
options.keybindings.rebinding.cancel,Cancel,
options.keybindings.rebinding.capture,Capture,
options.keybindings.rebinding.apply,Apply,
options.keybindings.rebinding.error.keyboard,Cannot set this as a keyboard input,
options.keybindings.rebinding.error.gamepad,Cannot set this as a gamepad input,
options.keybindings.cancel,Cancel,
options.keybindings.restoredefault,Restore Default,
options.keybindings.apply,Apply,
options.translation.community,"{completion}% finished",states that this language was translated by the community via crowdin
options.translation.title,SELECT YOUR LANGUAGE,
options.translation.community.title,Community Translations,
options.translation.community.desc,These languages are translated by our lovely community. Join them if you like!,
,,
upgrades.prestige.title,Prestige,
upgrades.prestige.desc,Score points by sending home as many resources as possible before your dome falls or you safely leave the planet.,
upgrades.prestigeiron.title,Send Iron,
upgrades.prestigeiron.desc,"Send back Iron, adds 1 to the prestige you get each wave.",
upgrades.prestigewater.title,Send Water,
upgrades.prestigewater.desc,"Send back Water, adds 1 to the prestige you get each wave.",
upgrades.prestigecobalt.title,Send Cobalt,
upgrades.prestigecobalt.desc,"Send back Cobalt, increases the prestige point multiplier you get each wave.",
upgrades.prestigecobaltnocobalt.title,Send Cobalt,
upgrades.prestigecobaltnocobalt.desc,"Send back Cobalt, increases the prestige point multiplier you get each wave.",
upgrades.prestigefinish.title,Leave Planet,
upgrades.prestigefinish.desc,Leave this planet and go back home.,
upgrades.prestigefinishnocobalt.title,Leave Planet,
upgrades.prestigefinishnocobalt.desc,Leave this planet and go back home.,
,,
upgrades.migration.title,Migration,
upgrades.migration.desc,"Migrate from world to world, stripping each of resources and relics before you get overrun.",
,,
upgrades.relichunt.title,Relic Hunt,
upgrades.relichunt.desc,Find the relic buried deep and bring it back to your dome.,
,,
upgrades.miner.title,Miner,
upgrades.miner.desc,"In worlds without monsters, you can concentrate on mining as many resources as you want without distraction.",
upgrades.minerrefuel.title,Refuel,
upgrades.minerrefuel.desc,"Transform water into fuel, filling up your domes fuel storage so you can refuel your keeper.",
upgrades.minoriron.title,"Send Iron",
upgrades.minoriron.desc,"Send iron offworld to increase your prestige.",
upgrades.minerwater.title,"Send Water",
upgrades.minerwater.desc,"Send water offworld to increase your prestige.",
,,
upgrades.domewavemeter.title,Hostile Proximity Meter,
upgrades.domewavemeter.desc,Displays the time until the next wave of hostile lifeforms attack.,
upgrades.domewavecount.title,Cycle Counter,
upgrades.domewavecount.desc,Install a counter that shows how many waves you've survived.,
upgrades.domesandrepair.title,Cobalt Repair,
upgrades.domesandrepair.desc,Repair damage to your dome with cobalt.,
upgrades.domesandrepairstrong.title,Strong Cobalt Repair,
upgrades.domesandrepairstrong.desc,Repair damage to your dome with cobalt.,
upgrades.domehealthmeter.title,Health Meter,
upgrades.domehealthmeter.desc,Displays the dome's structural health.,
upgrades.domeresourcecounters.title,Inventory,
upgrades.domeresourcecounters.desc,Displays the current amount of stored resources.,
,,
upgrades.dome1.title,Laser Dome,
upgrades.dome1.desc,Standard mining dome equipped with a precision laser.,
upgrades.dome1health1.title,Health 1,
upgrades.dome1health1.desc,Permanently increase the structural health of your dome.,
upgrades.dome1health2.title,Health 2,
upgrades.dome1health2.desc,Permanently increase the structural health of your dome.,
upgrades.dome1damagereduction1.title,Hardening 1,
upgrades.dome1damagereduction1.desc,Harden the dome surface to take less damage from monsters melee hits. Projectile damage is unaffected.,
upgrades.dome1damagereduction2.title,Hardening 2,
upgrades.dome1damagereduction2.desc,Harden the dome surface more to take less damage from monsters melee hits. Projectile damage is unaffected.,
,,
upgrades.dome2.title,Sword Dome,
upgrades.dome2.desc,Powerful dome with a dynamic sword that keepers can master to dominate attackers.,
upgrades.dome2health1.title,Health 1,
upgrades.dome2health1.desc,Permanently increase the structural health of your dome and repair it.,
upgrades.dome2health2.title,Health 2,
upgrades.dome2health2.desc,Permanently increase the structural health of your dome and repair it.,
upgrades.dome2badrepair1.title,Impact Recuperation 1,
upgrades.dome2badrepair1.desc,"Your dome automatically repairs, if it takes a lot of damage during a battle.",
upgrades.dome2badrepair2.title,Impact Recuperation 2,
upgrades.dome2badrepair2.desc,"Your dome automatically repairs more, if it takes a lot of damage during a battle.",
,,
upgrades.dome3.title,Artillery Dome,
upgrades.dome3.desc,not available in demo,
upgrades.dome3health1.title,Health 1,
upgrades.dome3health1.desc,Permanently increase the structural health of your dome.,
upgrades.dome3health2.title,Health 2,
upgrades.dome3health2.desc,Permanently increase the structural health of your dome.,
,,
upgrades.keeper1.title,Engineer,
upgrades.keeper1.desc,"A skilled, efficient professional with excellent mining skills.",
upgrades.drill1.title,Drill Strength 1,
upgrades.drill1.desc,Strengthen the drill to dig faster.,
upgrades.drill2.title,Drill Strength 2,
upgrades.drill2.desc,Strengthen the drill to dig faster.,
upgrades.drill3.title,Drill Strength 3,
upgrades.drill3.desc,Strengthen the drill to dig faster.,
upgrades.drill4.title,Drill Strength 4,
upgrades.drill4.desc,Strengthen the drill to dig faster.,
upgrades.jetpackspeed1.title,Speed 1,
upgrades.jetpackspeed1.desc,Improve the jetpack to move faster.,
upgrades.jetpackspeed2.title,Speed 2,
upgrades.jetpackspeed2.desc,Improve the jetpack to move faster.,
upgrades.jetpackspeed3.title,Speed 3,
upgrades.jetpackspeed3.desc,Improve the jetpack to move faster.,
upgrades.jetpackspeed4.title,Speed 4,
upgrades.jetpackspeed4.desc,Improve the jetpack to move faster.,
upgrades.jetpackstrength1.title,Carry Strength 1,
upgrades.jetpackstrength1.desc,Improve the jetpack to carry more resources.,
upgrades.jetpackstrength2.title,Carry Strength 2,
upgrades.jetpackstrength2.desc,Improve the jetpack to carry more resources.,
upgrades.jetpackstrength3.title,Carry Strength 3,
upgrades.jetpackstrength3.desc,Improve the jetpack to carry more resources.,
upgrades.jetpackstrength4.title,Carry Strength 4,
upgrades.jetpackstrength4.desc,Improve the jetpack to carry more resources.,
,,
upgrades.keeper2.title,Assessor,
upgrades.keeper2.desc,An unconventional miner who employs experimental gravity technology.,
upgrades.keeper2movement1.title,Gravitational Movement 1,
upgrades.keeper2movement1.desc,Improve your gravity generator to move faster.,
upgrades.keeper2movement2.title,Gravitational Movement 2,
upgrades.keeper2movement2.desc,Improve your gravity generator to move faster.,
upgrades.keeper2movement3.title,Gravitational Movement 3,
upgrades.keeper2movement3.desc,Improve your gravity generator to move faster.,
upgrades.keeper2pinballdamage1.title,Kinetic Sphere Damage 1,
upgrades.keeper2pinballdamage1.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.,
upgrades.keeper2pinballdamage2.title,Kinetic Sphere Damage 2,
upgrades.keeper2pinballdamage2.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.,
upgrades.keeper2pinballdamage3.title,Kinetic Sphere Damage 3,
upgrades.keeper2pinballdamage3.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.,
upgrades.keeper2pinballdamage4.title,Kinetic Sphere Damage 4,
upgrades.keeper2pinballdamage4.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.,
upgrades.keeper2pinballdamagefraction.title,Kinetic Sphere Hardness Transcendence,
upgrades.keeper2pinballdamagefraction.desc,The kinetic sphere transcends rock hardness and damages the rock by a fixed fraction of its health.,
upgrades.keeper2pinballlifetime1.title,Kinetic Sphere Lifetime 1,
upgrades.keeper2pinballlifetime1.desc,"Stabilize the kinetic sphere, so it will float for longer.",
upgrades.keeper2pinballlifetime2.title,Kinetic Sphere Lifetime 2,
upgrades.keeper2pinballlifetime2.desc,"Stabilize the kinetic sphere, so it will float for longer.",
upgrades.keeper2pinballsplit.title,Split Spheres,
upgrades.keeper2pinballsplit.desc,"Split incoming spheres into two, launching them perpendicular to the original.",
upgrades.keeper2pinballmorespheres1.title,Sphere Supply 1,
upgrades.keeper2pinballmorespheres1.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres.",
upgrades.keeper2pinballmorespheres2.title,Sphere Supply 2,
upgrades.keeper2pinballmorespheres2.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres.",
upgrades.keeper2pinballreflect.title,Sphere Reflection,
upgrades.keeper2pinballreflect.desc,"Reflect spheres with a high powered, small gravity field around yourself.",
upgrades.keeper2pinballreflectspeedup1.title,Improved Reflection,
upgrades.keeper2pinballreflectspeedup1.desc,"Spheres are powered when reflected, which will accelerate them and let them float for longer upon reflection.",
upgrades.keeper2pinballreflectspeedup2.title,Superior Reflection,
upgrades.keeper2pinballreflectspeedup2.desc,"Spheres are intensely powered up when reflected.",
upgrades.keeper2pinballreflectdamage1.title,Reflection Damage 1,
upgrades.keeper2pinballreflectdamage1.desc,"Reflected spheres will deal much more damage to the rock they hit next.",
upgrades.keeper2pinballreflectdamage2.title,Reflection Damage 2,
upgrades.keeper2pinballreflectdamage2.desc,"Reflected spheres will deal much more damage to the rock they hit next.",
upgrades.keeper2bundle.title,Bundle Shot,
upgrades.keeper2bundle.desc,"Attached minerals can be shot as a bundle, in the same way you shoot kinetic spheres.",
upgrades.keeper2bundleinfinite.title,Enduring Bundle,
upgrades.keeper2bundleinfinite.desc,"Bundles will stay stable for a very long time.",
upgrades.keeper2bundlestopcenter.title,Gravity Center,
upgrades.keeper2bundlestopcenter.desc,"Shot bundles will stay right under the dome, instead of flying past the central axis.",
upgrades.keeper2rotationalmining2.title,Improved Rotational Mining,
upgrades.keeper2rotationalmining2.desc,"Increases the damage rotational mining does, transcending rock hardness.",
,,
upgrades.laser.title,Laser,
upgrades.laser.desc,A precision laser that moves along your dome. Originally made to mine asteroids.,
upgrades.laserstrength1.title,Power 1,
upgrades.laserstrength1.desc,"Improves the power of your laser, but it will move slower while firing.",
upgrades.laserstrength2.title,Power 2,
upgrades.laserstrength2.desc,"Greatly improves the power of your laser, but it will move even slower while firing.",
upgrades.laserstrength3.title,Power 3,
upgrades.laserstrength3.desc,"Massively improves the power of your laser, but it barely moves while firing.",
upgrades.lasermove1.title,Move Speed 1,
upgrades.lasermove1.desc,The laser moves faster.,
upgrades.lasermove2.title,Move Speed 2,
upgrades.lasermove2.desc,The laser moves even faster.,
upgrades.lasermove3.title,Move Speed 3,
upgrades.lasermove3.desc,Max laser movement speed.,
upgrades.doublelaser.title,Double Laser,
upgrades.doublelaser.desc,"Installs a second laser turret, but splits your firepower between both them.",
upgrades.laseraimline.title,Laser Sight,
upgrades.laseraimline.desc,"Add targeting sights to the laser, showing where it is aiming.",
upgrades.laserhitprojectiles.title,Dissolve Projectiles,
upgrades.laserhitprojectiles.desc,Hitting energy projectiles with the laser immediately dissolves them.,
upgrades.laserbend.title,Swivel Head Laser,
upgrades.laserbend.desc,Install a swivel head into the laser that automatically corrects your aim if it comes close.,
,,
upgrades.sword.title,Sword,
upgrades.sword.desc,A durable sword that does more damage the further it swings across the dome when slicing. It can be fired to stab monsters and has a shield pad base that blocks projectiles.,
upgrades.swordblade1.title,Slice Improvement,
upgrades.swordblade1.desc,Improve the slicing strength and speed of your sword.,
upgrades.swordlargeblade1.title,Heavy Blade 1,
upgrades.swordlargeblade1.desc,"Widen and lengthen the blade, dealing more damage.",
upgrades.swordlargeblade2.title,Heavy Blade 2,
upgrades.swordlargeblade2.desc,"Install a massive blade. It's slower, but deals heavy damage.",
upgrades.swordlargeblade3.title,Heavy Blade 3,
upgrades.swordlargeblade3.desc,A monstrous blade. Very powerful but slow moving.,
upgrades.swordlongblade1.title,Long Blade 1,
upgrades.swordlongblade1.desc,Install a longer and more nimble blade.,
upgrades.swordlongblade2.title,Long Blade 2,
upgrades.swordlongblade2.desc,"Further increase blade speed, making it bounce when hitting the edge.",
upgrades.swordelectrified.title,Electrified Blade,
upgrades.swordelectrified.desc,"An electric current runs through the blade, dealing damage on touch.",
upgrades.swordaimline.title,Aim Line,
upgrades.swordaimline.desc,Add a laser sight for aiming the sword stab.,
upgrades.swordtargetlock.title,Target Lock,
upgrades.swordtargetlock.desc,"When stabbed, the sword automatically locks on to the first monster it targets.",
upgrades.swordextendlong1.title,Long Stab 1,
upgrades.swordextendlong1.desc,Improved stab strength and ability to guide in flight.,
upgrades.swordextendlong2.title,Long Stab 2,
upgrades.swordextendlong2.desc,Further improved stab strength and more precise control in flight.,
upgrades.swordstabfast1.title,Fast Stab 1,
upgrades.swordstabfast1.desc,Stab faster and more often.,
upgrades.swordstabfast2.title,Fast Stab 2,
upgrades.swordstabfast2.desc,Stab even faster and more often.,
upgrades.swordstabexplode.title,Stab Bomb Delivery,
upgrades.swordstabexplode.desc,"The sword delivers a bomb, exploding on the first enemy the sword stabs.",
upgrades.swordstabexplodedamage.title,Bomb Damage,
upgrades.swordstabexplodedamage.desc,Increases the bomb damage.,
upgrades.swordstabshoot.title,Javelin,
upgrades.swordstabshoot.desc,"Instead of retracting with a cable, the sword charges and is shot from the dome like a javelin.",
upgrades.swordreflection1.title,Reflection 1,
upgrades.swordreflection1.desc,Increase the shield pad size and make it reflect energy projectiles.,
upgrades.swordreflection2.title,Reflection 2,
upgrades.swordreflection2.desc,Even larger shield pad.,
upgrades.swordreflection3.title,Reflection 3,
upgrades.swordreflection3.desc,Max shield pad size.,
upgrades.swordfastreflection.title,Accelerated Reflection,
upgrades.swordfastreflection.desc,Reflected projectiles fly back faster.,
upgrades.swordexplosivereflection.title,Explosive Reflection,
upgrades.swordexplosivereflection.desc,Reflected projectiles explode when they hit something.,
,,
upgrades.artillery.title,Artillery,
upgrades.artillery.desc,Worms Bazooka.,
upgrades.artilleryshotprediction.title,Shot Prediction,
upgrades.artilleryshotprediction.desc,Shows the expected trajectory of a launched grenade.,
upgrades.artillerymultishot1title,Chain Shot 1,
upgrades.artillerymultishot1.desc,Launches multiple grenades per shot.,
upgrades.artillerymultishot2.title,Chain Shot 2,
upgrades.artillerymultishot2.desc,Launches multiple grenades per shot.,
upgrades.artilleryshotcooldown1.title,Cooldown 1,
upgrades.artilleryshotcooldown1.desc,Fire more often.,
upgrades.artilleryshotcooldown2.title,Cooldown 2,
upgrades.artilleryshotcooldown2.desc,Fire more often.,
upgrades.artilleryflakmultishot1.title,Flak Multi Shot 1,
upgrades.artilleryflakmultishot1.desc,Fire more projectiles.,
upgrades.artilleryflakmultishot2.title,Flak Multi Shot 2,
upgrades.artilleryflakmultishot2.desc,Fire more projectiles.,
upgrades.artilleryflakexplosionradius1.title,Flak Radius 1,
upgrades.artilleryflakexplosionradius1.desc,Flak explosion is larger.,
upgrades.artilleryflakexplosionradius2.title,Flak Radius 2,
upgrades.artilleryflakexplosionradius2.desc,Flak explosion is larger.,
,,
upgrades.orchard.title,Orchard,
upgrades.orchard.desc,Plant a tree in the dome that grows fruits to buff your movement and mining power.,
