key,bg_BG
loadout.prestige.title,Избери Вариация на Режим
upgrades.shieldbattleelectroblast.title,Електро Взрив
properties.orchard.battleshieldhp,Сила {} hp
options.keybindings.action.general.move,Движение
options.video.stretchmode.rezised,Преоразмеряване
level.gameover.unlock.world,Нов свят е отключен!
upgrades.blastminingwaterless.desc,"Не използва вода за произвеждане, но отнема повече време."
properties.blastmining.growthtime,Време за произвеждане {} цикъла
properties.laser.stun,Сила на Зашеметяване {}
exhibition.level.instruction,"Наитсни някой клавиш, за да продължиш да играеш!"
pause.godot,Направено с Godot
upgrades.orchardjetpack2.desc,"Increase the fruits speed boost, letting you move even faster."
upgrades.artillery.title,Артилерия
upgrades.condenser.desc,"Добавя машина под купола, която бавно произвежда вода чрез кондензация."
properties.lift.keeperupwardsspeed,Скорост на Личен Асансьор {}
level.tutorial.fullscreen.continue,продължи
upgrades.dome1damagereduction2.title,Заздравяване 2
upgrades.orchardduration2.title,Продължителност 2
upgrades.condenserautoovercharge.title,Auto Overcharge
upgrades.keeper2pinballreflectdamage2.title,Reflection Damage 2
loadout.title,ИЗБЕРИ СВОЯТ СТРОЕЖ
level.tutorial.teleporter_2,"Използвай Телепортиращата Станция, за да се телепортираш до Телепорта и обратното."
options.keybindings.action.general.up,Нагоре
loadout.secondstage.cancel,Отмяна
properties.keeper.domefuel,Добавено гориво {}
properties.shield.battleactivateondepletion,Активира умението при изчерпване на щита
loadout.difficulty.veryeasy,Обикновен
properties.sword.reflectprojectilesexplosive,Reflected Energy Projectiles are explosive
upgrades.swordlargeblade3.title,Тежко Острие 3
upgrades.orcharddrill2.title,Mining Boost 2
loadout.prestige.normal.description,"Изпращай ресурси извън света, за да придобиеш авторитет сред пазителите."
upgrades.keeper2pinballreflectdamage1.desc,Reflected spheres will deal much more damage to the rock they hit next.
options.input.gamepad,Геймпад
loadout.choices.locked,Не е отключено все още.
upgrades.condenserspeed1.desc,"Намалява необходимото време, което е нужно за кондензирането на една вода."
upgrades.shieldbattleinvulnerable.desc,Trigger an active combat ability that makes your dome invulnerable for a short time.
upgrades.domewavemeter.desc,Показва време до следващата атакуваща вълна на извънземни форми.
upgrades.keeper2pinballreflectspeedup2.title,Превъзхождащо Отразяване
upgrades.keeper2movement1.desc,"Подобрява твоят гравитационен генератор, за да се движиш по-бързо."
upgrades.repellentoverchargeduration2.desc,"After overcharging, the battle ability will last longer in the next wave."
upgrades.laserhitprojectiles.desc,Оцелването на вражески изстрели с лазера веднага ги изпарява.
options.keybindings.action.keeper.pickup,Вземане
upgrades.keeper2pinballdamage1.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.keeper2pinballdamage3.title,Kinetic Sphere Damage 3
options.video.graphicsmode.enablevsync,Включи VSync
options.translation.community,{completion}% завършено
loadout.difficult.harder,по-трудно
worldmodifier.resourcerichiron.desc,Този свят има много желязо.
loadout.miner.fuel,Enable the need to refuel your keepers movement aggregate with water.
upgrades.prestigeiron.title,Изпрати Желязо
upgrades.stunlaserspeed1.desc,Зашеметяващия лазер се движи по-бързо.
upgrades.keeper2pinballdamage2.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
upgrades.drill1.title,Сила на Бургията 1
upgrades.prospectionmetersand2.title,Кобалтов Компас
upgrades.dome1health1.desc,Перманентно увеличава структурната здравина на твоя купол.
title.navbar.newgame,Нова Игра
properties.repellent.overchargeduration,Increase Repellent production speed for {} cycles
properties.sword.retractspeed,Скорост на Събиране {} 
upgrades.lasermove3.desc,Максимална скорост на лазера.
upgrades.stunlaser.title,Зашеметяващ Лазер
options.keybindings.action.general.use,Използвай
worldmodifier.monsterfeeble.desc,"Чудовищата са по-слаби, нанасяйки по-малко щети"
upgrades.shield.desc,"Монтира щит, който ще поема част от щетите.
Презарежда се автоматично."
options.video.stretchmode.rezised.text,"Рисува играта в резолюцията на екрана или на прозореца.
Ще изглежда остро, но може има визуални грешки от рода на линии, широки 1 пиксел."
upgrades.orchardbattlerootingexplosion.desc,"Trigger again to cause all trapped monsters to explode, dealing damage around them."
loadout.mapsize.small,Малък
upgrades.probe.desc,"Добавя сонда към твоя костюм, която при задействане изпраща импулс, който разкрива ресурсите наблизо. Трябва да се презареди на станцията под купола."
upgrades.swordlongblade1.desc,Монтира по-дълго и по-пъргаво острие.
upgrades.dome1health1.title,Живот 1
upgrades.blastminingwaterless.title,Безводни Бомби
level.tutorial.assessor.carry,Гравитационно Събиране
upgrades.liftspeed1.desc,Сферите се движат по-бързо.
upgrades.shieldstrength1.desc,Увеличава колко щети щита може да поеме.
upgrades.orchardbattleshieldsecondlayer.title,Двуслоен Щит
upgrades.teleporterteleportresourcescooldown.desc,Портала може да телепортира ресурси по-често.
options.input.gamepad.autoswitch,автоматична засичане на предпочитан геймпад
level.gameover.unlock.modifiers,Изменения на света са отключени!
properties.sword.slicebrake,Загубване на Скорост при Сечене {.percent}
loadout.prestige.normal,Обикновен
properties.sword.sliceacceleration,Скорост на Меча {}
options.input.gamepad.gamepadstickdeadzone.text,"Задай стойност, така че лентата да не мига ако само докосваш стиковете, без да ги натискаш.
Ако натиснеш стиковете, лентата трябва да примигва, докато движиш стика."
options.accessibility.highlightmonsters.explanation,Изрисува ярко очертание около чудовища за по-добра видимост.
properties.upgrade.gameover,Приключи Играта
upgrades.blastminingstickycharge.title,Лепкави Тунелни Бомби
upgrades.shieldoverchargestrength2.title,Презаредена Сила на Щита 2
upgrades.blastminingblast2.desc,Допълнително увеличава пробива на бомбата.
upgrades.repellentbattlestrongerslowdown2.title,Бездействие
upgrades.converter.desc,"Can convert resources, helping you balance your resource inventory."
level.gameover.continue,Продължи
upgrades.repellentbattleslowdown.desc,Spray a numbing mist during battle that slows all monsters down.
loadout.mapsize.medium.description,Средна по размер карта за правилна минна сесия.
properties.orchard.overchargeadditionalbuffduration,{} cycles additional buff duration after overcharge
options.translation.community.title,Превод от Общността
upgrades.blastminingtriple.title,Тройна Бомба
worldmodifier.hardnessextremes.desc,Има много екстремно здрави камъни и много екстремно меки камъни.
level.station.battle.navbar.exit,Излез
upgrades.keeper2pinballlifetime2.title,Kinetic Sphere Lifetime 2
upgrades.minoriron.desc,"Изпрати желязо извън този свят, за да вдигнеш престижа си."
properties.dome.autohealamount,Repair {} hp
upgrades.migration.title,Миграция
upgrades.converterefficientcobalt.title,Efficient Cobalt Conversion
upgrades.shieldbattledestructionprevention.desc,"Gain a long period of invulnerability when your dome is about to be destroyed.
After that, your shield does not charge for the next battle. Last stand can only be triggered again after 2 completed waves.
"
upgrades.drill1.desc,"Увеличава силата на бургията, за да копае по-бързо."
level.gameover.retry,Започни нова игра
properties.orchard.overchargeduration,Fruit growth speed doubles for {} cycles
upgrades.dome2health1.title,Живот 1
level.tutorial.station.popup_4,"След това натисни |, за да влезеш в режим на битка и да се защитаваш."
level.gameover.stats.timeplayed.unit,мин
upgrades.repellentbattlestrongerslowdown2.desc,The mist slows monsters even more and lasts for longer.
loadout.gadgetoptions.title,Избери своята главна Джаджа!
level.tutorial.station.popup_2,"Придвижи се до станцията и натисни |, за да влезеш в нея."
upgrades.dome1damagereduction1.desc,"Втвърдява повърхонстта на купола, за да понася по-малко щети от ръчни удари на чудовища. Щети от изстрели на чудовища не са засегнати."
level.tutorial.station.popup_1,Твоят купол е атакуван!
upgrades.keeper2movement3.title,Гравитационно Придвижване 3
upgrades.jetpackspeed1.desc,"Подобрява реактивната раница, за да лети по-бързо."
properties.converter.ironwatertime,{} цикли Време за Преобразуване
level.tutorial.sworddome.slicing.desc,"Колкото по-бързо се движи меча, толково повече са щетите от сеченето."
upgrades.liftorbs.desc,Монтира допълнителна повдигаща сфера.
upgrades.proberecharge.desc,Сондата ще се презарежда бавно самостоятелно през времето.
loadout.gadget,ДЖАДЖА
upgrades.drill4.title,Сила на Бургията 4
properties.probe.rechargetime,Време за Пълно Презареждане {} цикъла 
upgrades.keeper2pinballdamage4.title,Kinetic Sphere Damage 4
options.game,Игра
loadout.prestige.cobalt,Фиксиран Кобалт
options.input.vibration.strength,Сила на вибрацията
upgrades.liftcapacity1.desc,Сферите могат да носят повече ресурси.
loadout.miner.title,Choose Your Run Options
level.gameover.stats.difficulty,Трудност
upgrades.repellentoverchargestrength2.title,Overcharge Wave Delay 2
upgrades.domesandrepairstrong.title,Силна Кобалтова Поправка
upgrades.stunlaserduration1.desc,Зашеметяващият лазер се охлажда по-бързо и стреля за по-дълго.
level.gameover.prestige.score.rankimproved,Ти подобри ранк си към {rank}.
upgrades.stunlaserdamage2.desc,Увеличава щетите нанасяни от зашеметяващия лазер.
upgrades.drillbotstrength4.title,Сила 4
level.gameover.prestige.title,ПРЕСТИЖ ЗАВЪРШЕН
options.keybindings.action.general.back,Отказ
upgrades.laseraimline.desc,"Add targeting sights to the laser, showing where it is aiming."
leaderboard.global,Глобално
upgrades.condenserdoublestorage.desc,Кондензатора ще произвежда и складира две води преди да спре да работи.
upgrades.swordreflection2.title,Отблъскване 2
leaderboard.season,Сезон {season}
upgrades.drill2.desc,"Увеличава силата на бургията, за да копае по-бързо."
properties.laser.hitprojectiles,лазера оцелва изстрели на врагове
upgrades.dome1damagereduction1.title,Заздравяване 1
properties.sword.stabexplosivedamage,Щети от Бомба {}
upgrades.drillbotturnaround.title,Advanced Conditioning
upgrades.keeper2movement1.title,Гравитационно Придвижване 1
properties.orchard.battleroots,Grow {} Roots on the ground
upgrades.prospectionmeterrange2.title,Обхват 2
upgrades.jetpackspeed4.title,Скорост 4
loadout.prestige.miner,Миньор
upgrades.repellentdelay2.desc,Допълнително забавя следаващата вълна на чудовища.
upgrades.orchard.desc,Plant a tree in the dome that grows fruits to buff your movement and mining power.
upgrades.artilleryflakexplosionradius1.title,Flak Radius 1
upgrades.shieldbattleelectroblast.desc,Trigger an active combat ability that creates a deadly field effect around your dome for a short time.
upgrades.shredgadgettocobalt.desc,Нарежи джаджата и получи {amount} кобалт.
upgrades.prestigecobalt.title,Изпрати Кобалт
properties.orchard.drillbuff,Mining Strength Buff {}
upgrades.swordlargeblade2.desc,"Монтира масивно острие. То е по-бавно, но нанася тежки щети."
level.converter.popup.cancel,Назад
level.gameover.back,Назад
options.keybindings.action.dome.fire,Стреляй 
upgrades.swordstabshoot.title,Копие
upgrades.blastminingtriple.desc,Произвежда 3 малки заряди вместо един голям.
upgrades.orcharddrill1.title,Mining Boost 1
upgrades.swordextendlong2.title,Дълго Намушкване 2
upgrades.artilleryshotcooldown1.desc,Стреляй по-често.
upgrades.keeper2pinballdamagefraction.title,Kinetic Sphere Hardness Transcendence
upgrades.doublelaser.title,Два Лазера
upgrades.jetpackspeed3.title,Скорост 3
upgrades.prestigewater.title,Изпрати Вода
properties.orchard.battleabilityuses,Ползвания всяка Битка {}
upgrades.liftorbs.title,Сфери 1
upgrades.repellentoverchargeduration1.title,Overcharge Battle Ability Duration 1
upgrades.drill3.desc,"Увеличава силата на бургията, за да копае по-бързо."
level.gameover.prestige.uploading.inprocess,казване на резултат ...
loadout.abort,Назад
properties.shield.overchargestrength,Презаредена Сила {}hp
level.station.navbar.upgrades,Подобрения
upgrades.keeper2pinballsplit.desc,"Разделя идващи сфери на две, изстрелвайки ги перпендикулярно на оригинала."
upgrades.proberecharge.title,Автоматично Презареждане
properties.sword.stabrange,Обхват {} 
upgrades.liftspeed1.title,Скорост
upgrades.domewavecount.desc,"Монтира брояч на цикли, който показва колко вълни си оцелял."
level.converter.popup.title,Преобразувай Ресурси
pause.discord,Ела в нашия Discord
options.cancel,Назад
upgrades.prospectionmeterrange1.desc,Increases the detection range of the prospection meter.
upgrades.dome2badrepair1.desc,"Твоят купол се поправя автоматично, ако претърпи много щети през битка."
upgrades.prestigecobalt.desc,"Изпрати обратно Кобалт, увеличавайки множителя на точки, който получаваш всяка вълна."
upgrades.domesandrepairstrong.desc,"Поправи щети по купола си, използвайки кобалт."
loadout.skinoptions.title,Избери своя Скин!
loadout.difficulty.medium.description,Предназначената трудност.
loadout.difficulty.veryeasy.description,"Все още не лесно, но много по-релаксирано от другите трудности."
options.game.tutorials,Уроци
upgrades.orchardbattlerootingmore.desc,Grow more roots that last longer.
upgrades.probepersist1.title,Запомняща Проба
upgrades.keeper2pinballmorespheres2.title,Запас на Сфери 2
upgrades.orchardjetpack3.desc,"Increase the fruits speed boost, letting you move extremely fast."
upgrades.probe.title,Проба
upgrades.sword.title,Меч
properties.shield.battledestructionprevention,Допълнителна Продължителност {}s
upgrades.shieldbattlereflect.title,Отблъскване
pause.gamepadcontrols.use,Използвай
properties.laser.dpsmod,Damage Modifier {.percent}
upgrades.condenserdoublestorage.title,Двойно Съхранение
upgrades.relichunt.desc,"Намери реликвата, която е заровена дълбоко и я върни в купола си."
loadout.mapsize.unlock.description,"Win a run with the previous map size, to unlock this map size."
properties.sword.stabdamage,Щети от Намушкване {} 
properties.keeper1.drillstrength,Сила на Бургията {}
worldmodifier.mapwildbiomes.desc,Регионите са много направилни.
upgrades.condenser.title,Кондензатор
upgrades.dome2badrepair2.title,Възстановяване на Удар 2
options.game.screenshake.shakewhenmining,Разклащане При Копаене
upgrades.repellentdelay2.title,Забавяне 2
level.tutorial.assessor.reflect.desc,"Натисни|, за да отбълснеш идващи кинетични сфери за много кратко време."
properties.drillbot.buffamount,Енергизиране Пробиващи {} удара
upgrades.laserstrength2.title,Сила 2
upgrades.jetpackstrength3.title,Сила на Носене 3
options.keybindings.action.general,Общи
level.gameover.unlock.gadgetability,Ново Умение на Джаджа
upgrades.jetpackstrength1.desc,"Подобрява реактивната раница, за да носи повече ресурси."
upgrades.artillerymultishot1.desc,Изстрелва повече гранати с всеки изстрел.
properties.sword.reflectprojectiles,Reflect Energy Projectiles
upgrades.stunlaser.desc,"Монтира лазер, който автоматични се прицелва и зашеметява малки чудовища."
upgrades.orchardbattleshieldstrong.desc,The projectile shields are stronger. Also gain an additional ability use after using overcharge.
upgrades.orchardjetpack1.desc,"Increase the fruits speed boost, letting you move faster."
upgrades.laser.desc,"Точен лазер, който се движи по купола. Оригинално предназначен за копаене на астероиди."
properties.shield.maxstrength,Сила {} hp
options.keybindings.action.keeper,Защитник
worldmodifier.resourceunpredicatablecobalt.desc,Кобалта е по-разпръснат и по-труден за предсказване.
title.navbar.quit,Напусни Играта
options.keybindings.rebinding.error.gamepad,"Не може да се зададе, като въвеждане от геймпад"
upgrades.repellentbattleslowdownstun1.desc,"Use volatile spores in the mist to stun monsters, stopping them in their tracks for a short time."
upgrades.swordfastreflection.title,Ускорено Отразяване
upgrades.stunlaserduration2.title,Fire Endurance 2
level.gameover.lose.title,КУПОЛЪТ Е ИЗГУБЕН
worldmodifier.resourcescatterediron.desc,"Има повече залежи на желязо, но те са по-малки."
properties.laser.dps,Щети {}
options.game.screenshake.shakeintensity,Интензивност
worldmodifier.hardnessharder.desc,Има повече по-твърди скали в мината.
options.video.stretchmode,Режим на Разтягане
worldmodifier.monsterhealthy.desc,Чудовищата имат повече живот.
level.gameover.stats.mapsize,Размер на Картата
loadout.mode.longtime,Дълги Цикли
upgrades.swordreflection3.desc,Максимален размер на защитната подложка.
upgrades.repellentbattleslowdownstun2.desc,Използва спорите по-често и зашеметява чудовищата за по-дълго.
upgrades.teleporterteleportresourcesarea.title,Обхват на Телепортиране
upgrades.shieldoverchargeduration2.desc,Your shield battle ability will be active even longer in the next wave after overcharging.
upgrades.shieldoverchargestrength1.title,Презаредена Сила на Щита 1
upgrades.drillbotbuffstrength1.desc,Treats energize Drillbert for longer.
upgrades.orchardoverchargebuffduration.title,Overcharge Buff Duration
level.tutorial.assessor.spheres.desc3,Презарежда силата си с всеки отскок.
loadout.mode.longtime.desc,"Имаш двойно повече време между вълните, но те са по-трудни."
level.tutorial.assessor.spheres.desc2,"Избери посока и пусни, за да изстреляш сферата."
upgrades.laserstrength1.desc,"Подобрява силата на лазера, но той ще се движи по-бавно докато стреля."
level.tutorial.assessor.spheres.desc1,"Задръж|, за да заредиш кинетична сфера."
upgrades.jetpackstrength4.title,Сила на Носене 4
upgrades.migration.desc,"Мигрирай от свят на свят, събирайки ресурси и реликви от тях, преди да бъдеш победен."
upgrades.orcharddrill1.desc,"Increase the fruits mining boost, letting you mine faster."
upgrades.keeper2pinballdamage3.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
options.accessibility.highlightmonsters,Очертай Чудовищата
upgrades.prestigecobaltnocobalt.title,Изпрати Кобалт
properties.keeper2.spherebasedamage,Sphere Base Damage {}
upgrades.orcharddrill3.desc,"Increase the fruits mining boost, letting you mine extremely fast."
properties.converter.cobalttoiron,{} кобалт към едно желязо
level.tutorial.repair.usecobalt,"Можеш да използваш кобалт, за да поправиш купола си. Ъпгрейд е в технологичното дърво на купола."
upgrades.blastminingimpactdetonation.title,Детонация при Удар
upgrades.swordfastreflection.desc,Отразените изстрели излитат обратно по-бързо.
upgrades.liftcapacity1.title,Капацитет
upgrades.artillery.desc,Worms Bazooka.
properties.sword.electricdamage,Electrified Sword Damage {}
level.station.upgrademenu.close,Затвори
properties.shield.overchargebattleabilityduration,Допълнителна Продължителност на Умение {.percent}
pause.title,ПАУЗА
upgrades.artillerymultishot1title,Chain Shot 1
properties.shield.battleadditionalabilitydurationafterdepletion,Допълнителна Продължителност на Умение {}s
upgrades.orchardbattlerootingexplosion.title,Експлозивна Плячка
upgrades.blastminingproductiontime1.title,Време за Произвеждане
options.video.stretchmode.scaled.text,"Рисува играта във фиксирана резолюция и я разтяга към твоята резолюция.
Може да изглежда пикселизирана, особено в шрифтове, но няма визуални грешки."
upgrades.orchardduration3.title,Продължителност 3
upgrades.domewavecount.title,Брояч на Цикли
upgrades.shredgadgettoiron.title,Нарежи на Желязо
options.keybindings.rebinding.apply,Приложи
options.keybindings.restoredefault,Възстанови Оригинални
upgrades.converterironduplication.title,Iron Duplication
title.navbar.credits,Кредити
level.gameover.unlock.gadget,Нова Джаджа
upgrades.jetpackspeed2.title,Скорост 2
loadout.modeoptions.title,Избери своя Режим на Игра!
properties.keeper2.spherebaselifetime,Живот на Сфера {}
options.video.stretchmode.scaled,Мащабиран
properties.orchard.battleabilityduration,Продължителност на Умение {}s
upgrades.repellentbattleslowdownstun1.title,Парализа
loadout.difficulty.medium,Брутално
options.audio.volumes,Сила на Звуците
upgrades.keeper1.title,Инженер
upgrades.drillbotsleepless.title,Basic Conditioning
upgrades.drillbot.title,Дрилберт
level.tutorial.assessor.carry.desc1,"Задръш|, за да притеглиш ресурси, докато те не са заключени към теб."
level.tutorial.assessor.carry.desc2,"Натисни|, за да пуснеш ресурс."
level.tutorial.drillbot.sleeping1,"Дрилберт заспива след време или когато срещне стена, която не може да изкопае."
level.tutorial.assessor.carry.desc3,"Ако се прицелиш в посока, докато пускаш ресурс, той ще бъде силно ускорен."
level.tutorial.drillbot.sleeping2,"Когато си близо до него, натисни | да го събудиш."
level.tutorial.drillbot.sleeping3,"Можеш да го накараш да се обръща, като натиснеш |, докато той е буден."
properties.keeper2.totalspheres,Сфери {}
upgrades.shieldbattleblastdamage.title,Смъртоносно Зашеметяване
upgrades.domeresourcecounters.desc,Показва текущия брой складирани ресурси.
