key,bg_BG
level.gameover.unlockpicker.title,ИЗБЕРИ ТВОЕТО ОТКЛЮЧВАНЕ
level.gameover.proceedtounlock,Отключва нов елемент
upgrades.artilleryshotcooldown2.desc,Стреляй по-често.
level.gameover.keepgadget.title,Избери Джаджа да Задържиш за Следващата Игра
level.station.battle.navbar.shoot,Стреляй
upgrades.repellentbattlestrongerslowdown1.title,Застой
upgrades.dome2.desc,"Мощен купол, екипиран с динамичен меч, който пазителите могат да овладеят и да доминират нападатели."
loadout.difficulty.easy,Трудно
upgrades.condenserautocollect.title,Автоматично Събиране
upgrades.orchard.title,Овощна градина
upgrades.keeper2pinballreflectspeedup2.desc,Spheres are intensely powered up when reflected.
upgrades.laserstrength1.title,Сила 1
upgrades.lasermove2.title,Скорост 2
upgrades.shieldbattlereflectshortuses.desc,Reflect more often for a shorter amount of time.
options.keybindings.action.keeper.drop,Пускане
level.converter.popup.conversion.to,към
upgrades.repellent.desc,"Install a tank that produces a monster repelling liquid. Activate to spray it outside the dome, delaying the next wave of attackers."
properties.repellent.battlehealthreduction,Намаляване на Живота на Чудовища {.percent}
loadout.mode.hyperactive,Бързи & Слаби
upgrades.miner.title,Миньор
upgrades.converter.title,Resource Converter
properties.condenser.waterstorage,Складира {} вода
upgrades.jetpackstrength2.desc,"Подобрява реактивната раница, за да носи повече ресурси."
level.station.navbar.exit,Излез
options.accessibility.photosensitivity.explanation,Намалява мигащите светлини.
properties.orchard.overchargeadditionalabilityuses,{} additional ability uses after overcharge
worldmodifier.resourcepooriron.desc,Този свят има малко желязо.
level.gameover.backtomainmenu,Обратно към главното меню
upgrades.orchardbattlerooting.desc,Activate in battle to grow roots outside the dome that will trap any medium sized monster stepping on them.
upgrades.keeper2pinballreflect.desc,"Reflect spheres with a high powered, small gravity field around yourself."
upgrades.laser.title,Лазер
options.game.tutorials.resettutorials,Анулирай Уроци
properties.converter.ironirontime,{} цикли Време за Преобразуване
loadout.secondstage.start,Започни Игра
upgrades.artilleryflakmultishot2.desc,Стреляй повече снаряди.
upgrades.swordreflection2.desc,Още по-голяма защитна подложка.
upgrades.lasermove3.title,Скорост 3
upgrades.lasermove1.desc,Лазерът се движи по-бързо.
properties.lift.orbs,{} Сфери
level.station.battle.navbar.move,Движение
upgrades.orchardjetpack2.title,Jetpack Speed Boost 2
options.audio.music,Музика
worldmodifier.resourceunpredicatableiron.desc,Залежите на желязо са по-разпръснати и по-трудни за предказване.
properties.dome.maxhealth,Живот {}hp
upgrades.condenserspeed1.title,Скорост на Продукция 1
properties.repellent.battleuses,Ползвания всяка Битка {}
upgrades.shieldstrength2.desc,Допълнително увеличава колко щети щита може да поеме.
upgrades.drillbotbuffstrength2.title,Taurine Addition
upgrades.keeper2pinballreflectdamage2.desc,Reflected spheres will deal much more damage to the rock they hit next.
level.paused,Паузирано
level.tutorial.sworddome.stabbing,Намушквай
upgrades.stunlaserspeed1.title,Скорост 1
upgrades.domehealthmeter.desc,Показва структурната здравина на купола.
upgrades.swordlargeblade1.desc,"Прави острието по-широко и по-дълго, нанасяйки повече щети."
pause.quitgame,Напускан на Играта
level.station.battle.navbar.slice,Сечи 
level.gameover.stats.timeplayed,Играно Време
properties.teleporter.teleportresources,Телепортиране на Ресурси
upgrades.drillbotstrength2.desc,Увеличава силата на бургията на Дрилберт.
level.tutorial.drop.popup_2,"Натисни | за да пуснеш един. Задръж, за да пуснеш много."
level.gameover.keepgadget.keeping,Джаджа за задържане: {gadget}
level.tutorial.drop.popup_1,Носените ресеурси те забавят.
worldmodifier.maprugged.desc,Мината е груба и неправилна.
level.tutorial.onewayteleporter1,Ти току-що намери еднопосочен телепорт!
properties.sword.aimline,Aim Prediction
upgrades.keeper2bundle.desc,"Attached minerals can be shot as a bundle, in the same way you shoot kinetic spheres."
level.tutorial.onewayteleporter2,"Натисни |, за да поставиш окото."
level.tutorial.onewayteleporter3,"Натисни отново, за да се телепортираш обратно до него."
properties.lift.capacity,Сферите носят {} ресурса
properties.shield.battleabilityduration,Продължителност на Умение {}s
level.tutorial.teleporter.carry2,"Задръж |, за да вдигнеш портала, когато си близо до него."
level.tutorial.teleporter.carry3,"Ако натиснеш |, ще се телепортираш обратно."
upgrades.minerrefuel.desc,"Трансформира вода в гориво, пълнейки склада за гориво в купола, за да можеш да презаредиш своя пазител."
level.tutorial.teleporter.carry1,"Можеш да преместиш портала, където си поискаш."
pause.gamepadcontrols.back,Назад
level.tutorial.probe.popup_1,"Натисни |, за да издадеш импулс на сондата."
upgrades.liftcarrykeeper2.desc,Асансьорът ще те ускорява още повече.
level.tutorial.probe.popup_3,"Разкрива ресурсите наблизо.
Презареди обратно на станцията."
worldmodifier.resourcerichcobalt.desc,Този свят има много кобалт.
upgrades.keeper2pinballdamage4.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
properties.sword.stabexplosive,Tip Bomb Mounted
properties.drillbot.turnaround,Обръща се при стигане до твърда стена
upgrades.shieldstrength1.title,Сила 1
properties.repellent.overchargewavedelay,Допълнително Забавяне на Вълна {} cycles
upgrades.swordreflection3.title,Отблъскване 3
upgrades.dome1.desc,"Стандартен миньорен купол, оборудван с прецизен лазер."
level.tutorial.drillbot.carry,"Вземи Дрилберт от танка му и го сложи в мината, където той ще копае."
upgrades.lift.desc,"Монтира автоматизиран асаньор, който ще донася изкпоани ресурси нагоре към купола."
upgrades.dome1health2.desc,Перманентно увеличава структурната здравина на твоя купол.
upgrades.converterefficientwater.title,Ефективно Преобразуване на Вода
loadout.difficulty.hard.description,Твой е Купола да го губиш.
upgrades.artillerymultishot2.title,Chain Shot 2
upgrades.swordelectrified.title,Наелектризирано Острие
upgrades.drillbotstrength3.desc,Увеличава силата на бургията на Дрилберт.
upgrades.shieldbattleinvulnerable.title,Неуязвимост
upgrades.keeper2rotationalmining2.title,Подобрено Ротационно Копаене
upgrades.stunlaserautonomy1.title,Автономност
level.tutorial.teleporter.teleport1,"Когато си близо до портала, натисни | за да се телепортираш обратно."
level.tutorial.teleporter.teleport2,Можеш да се телепортираш и в другата посока.
level.gameover.prestige.uploading.failed,"качването неуспешно, пробване отново"
upgrades.lasermove2.desc,Лазерът се движи още по-бързо.
loadout.mapsize.title,Размер на Картата
level.gameover.miner.title,МИНЬОРСКИ РЪН ЗАВЪРШЕН
upgrades.blastminingblast1.title,Пробив 1
upgrades.drillbotturnaround.desc,"When meeting an indestructible wall, Drillbert will turn around instead of taking a nap."
properties.dome.baserepair,Поправи {}hp
upgrades.condenserautoovercharge.desc,"Keeps your primary gadget permanently overcharged, without using up water. Condenser water production will be delayed after overcharging."
upgrades.teleporterteleportresourcesback.desc,"The portal now teleports resources, but can't teleport you back anymore. You can still teleport from the dome to the portal."
ending.wishlistonsteam,Пожелай в Steam
properties.sword.reflection,Увеличи Размера на Защитната Подложка
upgrades.drillbotduplicate.desc,Дрилберт получава близнак - Дрилиам.
level.converter.popup.conversion.convert,преобразува
leaderboard.loading,зареждане...
properties.converter.watertoiron,{} вода към едно желязо
title.navbar.options,Настройки
upgrades.swordexplosivereflection.desc,"Отразените изстрели експлодират, когато ударят нещо."
upgrades.shieldbattlereflectshortuses.title,Временно Отразяване
level.gameover.unlock.skin,Нов скин отключен!
level.gameover.stats.destroyedblocks,Разрушени Блокове
options.keybindings.action.keeper.gravityball,Зареди Изстрел
upgrades.orchardjetpack1.title,Jetpack Speed Boost 1
upgrades.keeper1.desc,Квалифициран и ефективен професионалист с отлични миньорски умения.
properties.laser.movespeedmod,Move Speed Modifier {.percent}
upgrades.shieldstrength3.title,Сила 3
upgrades.orchardoverchargebuffduration.desc,The fruit effects will last for longer after overcharging the orchard.
upgrades.stunlaserduration1.title,Fire Endurance 1
loadout.mode.maze.desc,"Картата е подобна на лабиринт, с много разклонения, задънени части и много усуквания."
properties.dome.healthfractionrepair,Поправи {.percent} от всичкото hp
upgrades.jetpackstrength3.desc,"Подобрява реактивната раница, за да носи повече ресурси."
options.input.gamepad.gamepadstickdeadzone.motiondetected,засечено движение:
upgrades.prospectionmetersand1.title,Метър на Кобалт
upgrades.prospectionmeterwater1.desc,Показва разстоянието до най-близкия депозит на вода.
upgrades.blastminingstickycharge.desc,"Залепя бомбата за първата стена, която докосне и взривява тунел вместо радиуса около бомбата."
options.video,Графики
title.navbar.updates,Ъпдейти
loadout.skin,Скин
upgrades.shieldstrength2.title,Сила 2
level.gameover.win.title,ТВОЯТ КУПОЛ Е СПАСЕН
level.station.navbar.battle,Битка
upgrades.converterirontocobalt.desc,Allows converting cobalt to iron and vice versa.
upgrades.keeper2rotationalmining2.desc,"Увеличава щетите ротационното копаене нанася, надминавайки твърдостта на скалите."
level.gameover.unlock.dome,Нов Купол
pause.gamepadcontrols.pickup,Вдигни
options.video.graphicsmode.photosensitive,Режим на Фоточувствителност
upgrades.orchardduration2.desc,Effects of the fruit last even longer.
properties.dome.meleedamagereduction,Намаляване на Щети от Ръчни Удари {.percent}
upgrades.domesandrepair.desc,"Поправи щети по купола ти, използвайки кобалт."
options.input.controls,Управления
properties.keeper2.spherereload,Sphere Reload {}s
properties.blastmining.damage,Щети {}
upgrades.laserbend.title,Въртяща се Глава
upgrades.swordlargeblade3.desc,"Чудовищно острие. Много мощно, но бавно движещо се."
loadout.domeoptions.title,Избери своя Купол!
upgrades.shieldoverchargeduration1.desc,Overcharging your shield will also prolong any shield battle ability you use in the next wave.
upgrades.probelong1.title,Широк Обхват
options.keybindings.rebinding.inputprocessor,Натисни нов клавиш за това действие …
properties.teleporter.teleportduration,Време за Телепортиране {}сек
upgrades.dome2health2.title,Живот 2
upgrades.drillbotduplicate.title,Брат
pause.quit.popup,"Сигурен ли си че искаш да напуснеш?
Натисни отново, за да го направиш.
(прогреса ти е запазен)"
upgrades.prospectionmetersand2.desc,Displays the direction to the nearest cobalt deposits.
upgrades.probepersist1.desc,"Add a memory module to the probe, marking the location of resources for longer."
upgrades.artilleryshotcooldown2.title,Cooldown 2
properties.keeper2.sphereadditionalfirsthitdamage,Additional First Hit Damage {.percent}
upgrades.shieldbattledestructionprevention.title,Последен Напън
level.gameover.unlock.pet,Нов любимец отключен!
upgrades.repellentbattlelongerhealthreduction.desc,Prolongs and strengthens the withering of all present monsters.
ending.feedbackondiscord,Обратна връзка в Discord
properties.keeper2.reflectnexthitdamage,Additional Sphere Damage on Reflection for Next Bounce {.percent}
options.video.graphicsmode.borderlesswindow,Прозорец без Рамка
upgrades.keeper2pinballlifetime2.desc,"Stabilize the kinetic sphere, so it will float for longer."
level.gadgetchoice.title,ИЗБЕРИ ДЖАДЖА!
upgrades.keeper2bundle.title,Bundle Shot
upgrades.relichunt.title,Търсене на Реликва
loadout.mode.doubleiron.desc,"Находищата на желязо са двойно по-богати, но също така ъпгрейдите струват двойно повече желязо."
level.tutorial.repair.findcobalt,"Пробвай се да намериш кобалт. Можеш да поправиш купола си с него.
Той е рядък и ограничен."
upgrades.keeper2pinballsplit.title,Split Spheres
options.input.controls.text,Най-добре играно с Геймпад.
landing.proceed,"Натисни нещо, за да продължиш"
upgrades.keeper2pinballmorespheres1.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
upgrades.jetpackstrength4.desc,"Подобрява реактивната раница, за да носи повече ресурси."
upgrades.orchardbattleshieldsecondlayer.desc,Grow another layer of projectile shields.
level.converter.popup.conversion.time,за {time} цокъла
properties.keeper1.maxspeed,Максимална Скорост {}
properties.laser.aimline,Прицелваща Линия
upgrades.shieldstrength3.desc,Допълнително увеличава колко щети щита може да поеме.
upgrades.repellentovercharge.title,Overcharge Repellent
properties.drillbot.buffstrength,Energized Speedup {.percent}
worldmodifier.hardnesssofter.desc,Има повече по-меки камъни в мината.
level.tutorial.pickup.popup_1,"Натисни |, за да вдигнеш ресурс."
level.tutorial.pickup.popup_3,"Задръж, за да вдигнеш много."
pause.gamepadcontrols.drop,Пусни
level.tutorial.fruit.popup_1,Your orchard just grew its first fruit.
level.tutorial.fruit.popup_2,"Когато си до него, натисни |, за да го консумираш."
worldmodifier.mapwide.desc,Мината е по-широка и по-плитка.
upgrades.prestigefinishnocobalt.desc,Напусни тази планета и се прибери вкъщи.
upgrades.prospectionmeteriron2.title,Компас към Желязо
upgrades.keeper2movement2.title,Гравитационно Придвижване 2
options.keybindings.gamepad,Геймпад
ending.backtomainmenu,Обратно към главното меню
level.tutorial.fullscreen.back,назад
upgrades.shield.title,Щит
upgrades.blastmining.title,Бомби
upgrades.converterirontocobalt.title,Cobalt Conversion
upgrades.swordstabfast1.desc,Намушквай по-бързо и по-често.
level.gameover.prestige.score.rankunchanged,Няма промяна в ранка.
options.accessibility.critters,Изключи Създания
upgrades.teleporterteleportreactivate.desc,Порталът придобива обратно способността си да те телепортира.
upgrades.orchardjetpack3.title,Jetpack Speed Boost 3
level.gameover.unlock.mapsize,Нов размер на картата е отключен!
upgrades.domeresourcecounters.title,Инвентар
level.gameover.keepgadget.none,без
upgrades.stunlaserdamage1.desc,Adds a small amount of damage to the stun laser.
properties.repellent.battleabilityduration,Продължителност на Умение {}s
upgrades.prestigeiron.desc,"Изпрати обратно Желязо, добавяйки 1 към престижа, който получаваш всяка вълна."
upgrades.teleporter.title,Телепорт
ending.teasemessage,Малка подсказка на какво има да дойде:
loadout.relichunt.modifiers,Избери своите Промени
options.accessibility,Достъпност
loadout.mapsize.small.description,Малка карта за малки сесии.
upgrades.shieldbattleblastdamage.desc,Увеличава щетите и ефекта на зашеметяването на електро взрив.
options.translation.community.desc,"Тези езици са преведени от нашата прекрасна общност. Присъедини се към тях, ако искаш!"
upgrades.prospectionmeterwater2.desc,Показва посоката към най-близкия депозит на вода.
upgrades.stunlaserdamage2.title,Щети 2
options.keybindings.action.keeper.gadget1,Джаджа 1
options.keybindings.action.keeper.gadget2,Джаджа 2
properties.repellent.wavedelay,Забавяне на Вълна {} цикъла
options.ok,ОК
upgrades.swordblade1.desc,Увеличава силата на сечене и скоростта на твоя меч.
upgrades.shieldoverchargeduration2.title,Overcharge Battle Ability Duration 2
properties.sword.slicedamage,Щети от Сечене {} 
properties.condenser.autocollect,Автоматично Събиране
properties.keeper2.directminingdamage,High Rotational Mining Damage
upgrades.keeper2bundlestopcenter.desc,"Shot bundles will stay right under the dome, instead of flying past the central axis."
upgrades.orchardduration1.title,Продължителност 1
upgrades.drillbotbuffstrength1.title,Лакомства
upgrades.liftcarrykeeper2.title,Личен Асансьор 2
upgrades.shieldoverchargestrength2.desc,Допълнително увеличава колко щети презаредения щит поема.
upgrades.repellentbattleslowdown.title,Debilitate
upgrades.artilleryshotprediction.title,Предсказване на Изстрел
upgrades.repellentdelay3.desc,Удължава забавянето на следващата вълна на чудовища.
upgrades.teleporter.desc,A two-way teleporter with a station under the dome and portal that can be placed and moved around the mines.
level.gameover.stats.monsterskilled,Убити Чудовища
upgrades.keeper2pinballreflect.title,Sphere Reflection
upgrades.drillbotstrength3.title,Сила 3
upgrades.shieldbattlereflectspeedup.title,Ускорено Отразяване
upgrades.probeswift1.title,Бърза Проба
options.game.events.enableseasonal,включи сезонно съдържание
upgrades.repellentbattledamageovertime.title,Токсични Изпарения
upgrades.dome3health2.title,Живот 2
loadout.mapsize.huge,Огромен
properties.repellent.overchargebattleabilityduration,Допълнителна Продължителност на Умение {.percent}
options.keybindings.action.keeper.gravitycollect,Зареди Събиране
loadout.miner.scores.title,Резултати
properties.lift.speed,Скорост на Сфери {}
upgrades.drillbotstrength1.title,Сила 1
level.tutorial.repellent.popup_2,"Когато си до него, натисни |, за да го активираш."
level.tutorial.repellent.popup_1,Репелента е готов да забави следващата вълна.
properties.orchard.growthtime,Growth time {} cycles
properties.keeper2.spherefractiondamage,Sphere Damage transcending Rock Hardness {.percent}
properties.sword.brake,Подвижност на Меча {}
upgrades.artilleryflakmultishot2.title,Flak Multi Shot 2
upgrades.swordstabfast2.desc,Намушквай още по-бързо и още по-често.
upgrades.sword.desc,A durable sword that does more damage the further it swings across the dome when slicing. It can be fired to stab monsters and has a shield pad base that blocks projectiles.
upgrades.artilleryflakmultishot1.title,Flak Multi Shot 1
upgrades.artilleryshotprediction.desc,Показва очакваната траектория на изстреляна граната.
upgrades.shieldbattlereflect.desc,Trigger an active combat ability that reflects incoming projectiles for a short time.
upgrades.orchardbattleshieldstrong.title,Здрави Щитове
upgrades.swordlongblade1.title,Дълго Острие 1
level.station.battle.navbar.stab,Намушквай
properties.converter.irontowater,{} желязо към една вода
upgrades.minoriron.title,Изпрати Желязо
upgrades.keeper2bundleinfinite.desc,Bundles will stay stable for a very long time.
worldmodifier.resourcedesc,"Има само няколко залежа на желязо наоколо, но те са много големи."
loadout.keeper,ЗАЩИТНИК
upgrades.drillbotstrength4.desc,Увеличава силата на бургията на Дрилберт.
upgrades.swordstabexplodedamage.title,Щети от Бомба
upgrades.prospectionmeterwater2.title,Компас към Вода
loadout.keeperoptions.title,Избери своя Защитник!
properties.probe.range,{} плочки Обхват
upgrades.orchardbattleshield.title,Projectile Shield
loadout.mapsize.large,Голям
properties.keeper2.reflectsphere,Reflect Incoming Spheres
upgrades.orchardbattlerooting.title,Snare Roots
properties.repellent.growthtime,Време за произвеждане {} цикъла
properties.converter.irontocobalt,{} желязо към един кобалт
upgrades.dome3health1.desc,Перманентно увеличава структурната здравина на твоя купол.
upgrades.teleporterteleportresourcescooldown.title,Teleport Cooldown
upgrades.shieldovercharge.desc,"Използвай вода, за да презаредиш ръчно твоя щит, така че той да поема повече щети в следващата вълна."
upgrades.stunlaserspeed2.title,Скорост 2
upgrades.drillbotbuff1.desc,Treats grow at the nest under the dome. Take them to Drillbert who will happily gobble them up to get energized.
options.keybindings.action.dome.battle,Битка
upgrades.orchardovercharge.title,Overcharge Orchard
properties.teleporter.teleportresourcesarea,Обхват на Телепортиране {} плочки
upgrades.swordreflection1.desc,Увеличи размера на защитната подложка и я направи да отразява изстрелите на враговете.
upgrades.blastminingblast2.title,Пробив 2
upgrades.swordreflection1.title,Отблъскване 1
upgrades.keeper2pinballlifetime1.desc,"Стабилизира кинетичната сфера, така-че тя ще трае по-дълго."
options.keybindings.action.general.left,Наляво
properties.laser.movespeed,Move Speed {}
upgrades.dome3health2.desc,Перманентно увеличава структурната здравина на твоя купол.
upgrades.drill2.title,Сила на Бургията 2
options.keybindings.rebinding,Пренастройване
level.tutorial.assessor.carry.desc1_1,"Веднъж заключени върху теб, те ще те следват дори и когато спреш да натискаш бутон за събиране."
upgrades.keeper2pinballdamage1.title,Kinetic Sphere Damage 1
upgrades.stunlaserspeed2.desc,"Зашеметяващият лазер се движи още по-бързо и следи чудовища, докато се охлажда."
options.keybindings.title,НАСТРОЙВАНЕ НА КОНТРОЛИ
upgrades.keeper2pinballmorespheres2.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
level.gameover.prestige.uploading.finalfailed,"качването на нов резултат е неуспешно, съжаляваме!"
upgrades.blastminingblast1.desc,Увеличава пробива на бомбата.
upgrades.stunlaserduration2.desc,Зашеметяващия лазер се охлажда по-бързо и стреля по-дълго.
upgrades.prospectionmetersand1.desc,Показва разстоянието до най-близкият депозит на кобалт.
pause.gamepadcontrols.move,Движение
properties.probe.charges,Бомби {}
upgrades.drillbotstrength2.title,Сила 2
loadout.prestige.cobalt.description,"Картата няма кобалт и не можеш да го генерираш, но в началото получаваш достатъчно от него."
