key,en_US
properties.condenser.autoovercharge,Automated Overcharge
upgrades.teleporterteleportduration1.desc,Teleporting yourself will take less time.
upgrades.minerwater.title,Send Water
title.navbar.continue,Continue
upgrades.orchardbattleshield.desc,Grow a shield that protects the dome from projectiles.
upgrades.liftcarrykeeper1.title,Keeper Lift 1
options.input.controls.keybindings,Key Bindings
properties.keeper2.bundlespheres,Bundle Spheres
upgrades.shieldovercharge.title,Overcharge Shield
properties.condenser.overchargedelay,Production Delay {} cycles
upgrades.keeper2.title,Assessor
level.tutorial.assessor.mining,Rotational Mining
upgrades.repellentoverchargeduration2.title,Overcharge Battle Ability Duration 2
upgrades.swordblade1.title,Slice Improvement
properties.converter.irontoiron,{} iron to one iron
exhibition.level.description,Going back to the main menu in ...
level.tutorial.assessor.mining.desc2,"You can stop mining without shooting a sphere, by first releasing the directional keys."
worldmodifier.monsterslow.desc,The monsters are slower.
upgrades.orcharddrill2.desc,"Increase the fruits mining boost, letting you mine even faster."
loadout.difficulty.easy.description,A bit more forgiving in many aspects.
upgrades.swordstabexplode.title,Stab Bomb Delivery
level.gameover.stats.additionalgadget,Additional Gadget
upgrades.drillbotbuffstrength2.desc,"After getting a treat, Drillbert will work far longer before getting sleepy."
upgrades.laserstrength3.desc,"Massively improves the power of your laser, but it barely moves while firing."
loadout.mapsize.medium,Medium
loadout.difficulty.hard,You asked for it
level.gameover.stats.wavessurvived,Waves Survived
properties.stunlaser.damage,Damage {}
options.keybindings.rebinding.cancel,Cancel
level.tutorial.sworddome.stabbing.desc,Extend the sword and stab distant enemies.
level.gameover.unlock.gamemodevariant,New Game Mode Variant
upgrades.prestigefinish.title,Leave Planet
properties.keeper2.bundleduration,Bundle Lifetime {.percent}
upgrades.shieldstrength3.title,Strength 3
options.audio.volumes.mastervolume,Master Volume
upgrades.shieldbattlelongerafterdepletion.title,Depletion Boost
options.keybindings.text,"Edit the control mapping to your liking.
Keys from different sections can generally overlap without issue (like using the same keys to move your keeper and the dome weapon)."
properties.shield.battleblastdamage,{} Blast Damage per second
loadout.mapsize.large.description,A large map for sessions lasting more than an hour.
upgrades.drill4.desc,Strengthen the drill to dig faster.
upgrades.drillbotsleepless.desc,Drillbert will work for much longer before getting sleepy.
upgrades.swordlargeblade2.title,Heavy Blade 2
upgrades.swordlongblade2.desc,"Further increase blade speed, making it bounce when hitting the edge."
upgrades.prestigefinishnocobalt.title,Leave Planet
worldmodifier.hardnessmoderated.desc,There are very few extremely hard and soft rocks.
upgrades.converterironduplication.desc,Multiply iron.
upgrades.prestigefinish.desc,Leave this planet and go back home.
upgrades.dome2health2.desc,Permanently increase the structural health of your dome and repair it.
upgrades.prestige.title,Prestige
upgrades.liftcarrykeeper1.desc,The lift boosts your speed when moving upwards inside it.
upgrades.repellentbattlehealthreduction.desc,"Weakens all present monsters, immediately lowering their remaining health."
upgrades.dome2.title,Sword Dome
worldmodifier.monsterfast.desc,The monsters are faster.
upgrades.condenserautocollect.desc,"Automates water collection, removing the need for you to pick it up manually."
upgrades.lift.title,Lift
options.game.screenshake,Screen Shake
options.keybindings.action.dome,Dome
upgrades.swordstabexplodedamage.desc,Increases the bomb damage.
level.gameover.stats.resourcesmined,Resources Mined
worldmodifier.resourcepoorwater.desc,This world has little water.
upgrades.prospectionmeter.desc,A meter showing the distance to the nearest resources. Can be upgraded to also show direction.
upgrades.shredgadgettocobalt.title,Shred to Cobalt
upgrades.swordelectrified.desc,"An electric current runs through the blade, dealing damage on touch."
upgrades.artilleryflakexplosionradius2.desc,Flak explosion is larger.
upgrades.prospectionmeterwater1.title,Water Meter
upgrades.minerwater.desc,Send water offworld to increase your prestige.
options.video.graphicsmode,Graphics Mode
upgrades.shieldbattlereflectspeedup.desc,"Reflected projectiles fly back at a higher speed, increasing their chances of hitting the attacker."
properties.shield.battleblaststun,Blast Stun {}
loadout.mode.hyperactive.desc,"Monsters move much faster, but have less health."
upgrades.swordstabexplode.desc,"The sword delivers a bomb, exploding on the first enemy the sword stabs."
upgrades.swordstabfast2.title,Fast Stab 2
upgrades.converterefficientwater.desc,"Water conversion becomes more efficient, but takes a bit longer."
upgrades.orchardduration1.desc,Effects of the fruit last longer.
loadout.difficulty.title,Difficulty
exhibition.level.heading,Are you still there?
level.gameover.unlock.gamemode,New Game Mode
loadout.prestige.miner.description,Concentrate on the most efficient mining in a world without monsters. Lasts 20 cycles.
leaderboard.friends,Friends
upgrades.repellentbattlehealthreduction.title,Wither
upgrades.teleporterteleportreactivate.title,Reactivate Personal Teleport
loadout.miner.scores,"Send resources off planet with a rocket, to reach a high score after 20 cycles. Same as prestige mode, but without monsters."
options.audio,Audio
upgrades.repellentovercharge.desc,Use water to overcharge your tank to produce the next load of repellent faster.
upgrades.domewavemeter.title,Hostile Proximity Meter
upgrades.prospectionmeterrange2.desc,Further increases the detection range of the prospection meter.
upgrades.keeper2pinballreflectspeedup1.desc,"Spheres are powered when reflected, which will accelerate them and let them float for longer upon reflection."
upgrades.shieldoverchargestrength1.desc,Increases how much damage the overcharged shield absorbs.
upgrades.repellentdelay1.desc,Increases the delay of the next wave of monsters.
upgrades.repellentbattlelongerhealthreduction.title,Intense Withering
upgrades.swordtargetlock.desc,"When stabbed, the sword automatically locks on to the first monster it targets."
upgrades.orchardovercharge.desc,"Use water to overcharge your orchard, making it faster to produce a fruit."
upgrades.orchardbattlerootingmore.title,Strong Roots
upgrades.swordextendlong2.desc,Further improved stab strength and more precise control in flight.
upgrades.swordstabfast1.title,Fast Stab 1
upgrades.probelong1.desc,"Increases the range of the probe ping, but lose a charge slot."
upgrades.repellent.title,Repellent
worldmodifier.monsterwavesspaced.desc,The monster waves are farther apart.
upgrades.artilleryflakexplosionradius2.title,Flak Radius 2
properties.drillbot.amount,Drilling {} hits
upgrades.repellentdelay3.title,Delay 3
ending.appreciationmessage,"We hope you had a good time! We always appreciate your feedback, let us know what you think on Discord or the Steam Forums :)"
properties.orchard.battlerootexplosion,Explosion damage {}
upgrades.orchardduration3.desc,Max fruit effects length.
upgrades.dome1damagereduction2.desc,Harden the dome surface more to take less damage from monsters melee hits. Projectile damage is unaffected.
properties.orchard.speedbuff,Move Speed Buff {}
upgrades.jetpackspeed2.desc,Improve the jetpack to move faster.
upgrades.jetpackspeed3.desc,Improve the jetpack to move faster.
options.accessibility.critters.explanation,"Disable worm, bug or spider like critters that spawn in the mine as visual effects."
pause.options,Options
properties.repellent.battledamageovertime,Monsters take {} damage per second
upgrades.repellentoverchargestrength1.title,Overcharge Wave Delay 1
upgrades.repellentoverchargestrength1.desc,Overcharging also increases the delay time until the next wave.
upgrades.blastminingproductiontime1.desc,Reduces the time needed to create a blast charge.
properties.teleporter.teleportresourcescooldown,Resource Teleport Duration {}s
upgrades.artilleryflakmultishot1.desc,Fire more projectiles.
properties.converter.ironcobalttime,{} cycles Conversion Time
options.title,OPTIONS
options.video.graphicsmode.window,Window
properties.shield.battlereflectspeedup,Reflected Projectile Speed {.percent}
upgrades.swordaimline.title,Aim Line
level.tutorial.drillbot.handling1,Hold | to pick up Drillbert again.
upgrades.probestage1.desc,"Improves the probe, making it generally better."
level.tutorial.drillbot.handling2,"Hit | to make it change direction, if on ground."
options.keybindings.rebinding.capture,Capture
properties.prospectionmeter.range,Range {} tiles
properties.stunlaser.speed,Speed {}
properties.probe.impulsespeed,Impulse Speed {}
upgrades.domehealthmeter.title,Health Meter
options.audio.music.frequency,Frequentness (cycles without music)
options.audio.volumes.soundvolume,Sound Volume
properties.sword.slicebounceback,Sword Bounce On Edge
upgrades.jetpackspeed4.desc,Improve the jetpack to move faster.
worldmodifier.monsterfragile.desc,The monsters have less health.
level.gameover.prestige.score.personalbest,Your new personal best!
properties.prestige.baseperwave,{} Base Prestige per Wave
loadout.choices.comingsoon,"Not yet available, but coming soon."
upgrades.doublelaser.desc,"Installs a second laser turret, but splits your firepower between both them."
upgrades.jetpackstrength2.title,Carry Strength 2
upgrades.keeper2bundlestopcenter.title,Gravity Center
properties.keeper2.spherelifetimeperbounce,Additional Sphere Lifetime per Bounce {}s
upgrades.converterefficientcobalt.desc,"Cobalt conversion becomes very efficient, but takes a long time."
properties.orchard.buffduration,Buff Duration {} cycles
upgrades.domesandrepair.title,Cobalt Repair
properties.keeper1.maxspeed,Top Speed {}
level.station.upgrademenu.cost,Cost
upgrades.lasermove1.title,Move Speed 1
level.tutorial.sworddome.reflecting,Reflect
loadout.petoptions.title,Choose your Pet!
level.station.upgrademenu.inventory,Inventory
level.gameover.unlockpicker.title,PICK YOUR UNLOCK
level.gameover.proceedtounlock,Unlock a new element
upgrades.artilleryshotcooldown2.desc,Fire more often.
level.gameover.keepgadget.title,Select a Gadget To Keep For Your Next Run
level.station.battle.navbar.shoot,Shoot
upgrades.repellentbattlestrongerslowdown1.title,Stagnation
upgrades.dome2.desc,Powerful dome with a dynamic sword that keepers can master to dominate attackers.
loadout.difficulty.easy,Hard
upgrades.condenserautocollect.title,Auto Collection
upgrades.orchard.title,Orchard
upgrades.keeper2pinballreflectspeedup2.desc,Spheres are intensely powered up when reflected.
upgrades.laserstrength1.title,Power 1
upgrades.lasermove2.title,Move Speed 2
upgrades.shieldbattlereflectshortuses.desc,Reflect more often for a shorter amount of time.
options.keybindings.action.keeper.drop,Drop
level.converter.popup.conversion.to,to
upgrades.repellent.desc,"Install a tank that produces a monster repelling liquid. Activate to spray it outside the dome, delaying the next wave of attackers."
properties.repellent.battlehealthreduction,Monster Health Reduction {.percent}
loadout.mode.hyperactive,Quick & Feeble
upgrades.miner.title,Miner
upgrades.converter.title,Resource Converter
properties.condenser.waterstorage,Stores {} water
upgrades.jetpackstrength2.desc,Improve the jetpack to carry more resources.
level.station.navbar.exit,Exit
options.accessibility.photosensitivity.explanation,Reduces flickering lights.
properties.orchard.overchargeadditionalabilityuses,{} additional ability uses after overcharge
worldmodifier.resourcepooriron.desc,This world has little iron.
level.gameover.backtomainmenu,Back to main menu
upgrades.orchardbattlerooting.desc,Activate in battle to grow roots outside the dome that will trap any medium sized monster stepping on them.
upgrades.keeper2pinballreflect.desc,"Reflect spheres with a high powered, small gravity field around yourself."
upgrades.laser.title,Laser
options.game.tutorials.resettutorials,Reset Tutorials
properties.converter.ironirontime,{} cycles Conversion Time
loadout.secondstage.start,Start Run
upgrades.artilleryflakmultishot2.desc,Fire more projectiles.
upgrades.swordreflection2.desc,Even larger shield pad.
upgrades.lasermove3.title,Move Speed 3
upgrades.lasermove1.desc,The laser moves faster.
properties.lift.orbs,{} Orbs
level.station.battle.navbar.move,Move
upgrades.orchardjetpack2.title,Jetpack Speed Boost 2
options.audio.music,Music
worldmodifier.resourceunpredicatableiron.desc,The iron clusters are more scattered and harder to predict.
properties.dome.maxhealth,Health {}hp
upgrades.condenserspeed1.title,Production Speed 1
properties.repellent.battleuses,Uses per Battle {}
upgrades.shieldstrength2.desc,Further increases how much damage the shield can absorb.
upgrades.drillbotbuffstrength2.title,Taurine Addition
upgrades.keeper2pinballreflectdamage2.desc,Reflected spheres will deal much more damage to the rock they hit next.
level.paused,Paused
level.tutorial.sworddome.stabbing,Stab
upgrades.stunlaserspeed1.title,Speed 1
upgrades.domehealthmeter.desc,Displays the dome's structural health.
upgrades.swordlargeblade1.desc,"Widen and lengthen the blade, dealing more damage."
pause.quitgame,Quit Game
level.station.battle.navbar.slice,Slice 
level.gameover.stats.timeplayed,Time Played
properties.teleporter.teleportresources,Teleport Resources
upgrades.drillbotstrength2.desc,Increases the dig strength of Drillbert.
level.tutorial.drop.popup_2,Hit | to drop one. Hold to drop many.
level.gameover.keepgadget.keeping,Gadget to keep: {gadget}
level.tutorial.drop.popup_1,Carried resources slow you down.
worldmodifier.maprugged.desc,The mine is rough and irregular.
level.tutorial.onewayteleporter1,You just found a one way teleporter!
properties.sword.aimline,Aim Prediction
upgrades.keeper2bundle.desc,"Attached minerals can be shot as a bundle, in the same way you shoot kinetic spheres."
level.tutorial.onewayteleporter2,Press|to place the eye.
level.tutorial.onewayteleporter3,Press again to teleport back to it.
properties.lift.capacity,Orbs carry {} resources
properties.shield.battleabilityduration,Ability Duration {}s
level.tutorial.teleporter.carry2,"Hold | to pick up the portal again, when close to it."
level.tutorial.teleporter.carry3,"If you hit |, you will teleport back."
upgrades.minerrefuel.desc,"Transform water into fuel, filling up your domes fuel storage so you can refuel your keeper."
level.tutorial.teleporter.carry1,You can move the portal anywhere you want.
options.keybindings.cancel,Cancel
level.tutorial.probe.popup_1,Hit | to emit a probe impulse.
upgrades.liftcarrykeeper2.desc,The lift will speed you up even more.
level.tutorial.probe.popup_3,"It reveals some of the nearby resources.
Recharge back at the station."
worldmodifier.resourcerichcobalt.desc,This world has a lot of cobalt.
upgrades.keeper2pinballdamage4.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
properties.sword.stabexplosive,Tip Bomb Mounted
properties.drillbot.turnaround,Turn around when hitting a hard wall
upgrades.shieldstrength1.title,Strength 1
properties.repellent.overchargewavedelay,Additional Wave Delay {} cycles
upgrades.swordreflection3.title,Reflection 3
upgrades.dome1.desc,Standard mining dome equipped with a precision laser.
level.tutorial.drillbot.carry,"Take Drillbert from its tank, and place it in the mine, where it should dig."
upgrades.lift.desc,Install an automated lift that brings mined resources up for processing in the dome.
upgrades.dome1health2.desc,Permanently increase the structural health of your dome.
upgrades.converterefficientwater.title,Efficient Water Conversion
loadout.difficulty.hard.description,"Well, it's your Dome to lose."
upgrades.artillerymultishot2.title,Chain Shot 2
upgrades.swordelectrified.title,Electrified Blade
upgrades.drillbotstrength3.desc,Increases the dig strength of Drillbert.
upgrades.shieldbattleinvulnerable.title,Invulnerability
upgrades.keeper2rotationalmining2.title,Improved Rotational Mining
upgrades.stunlaserautonomy1.title,Autonomy
level.tutorial.teleporter.teleport1,"When close to the portal, hit | to teleport back."
level.tutorial.teleporter.teleport2,You can also teleport in the other direction.
level.gameover.prestige.uploading.failed,"uploading failed, trying again"
upgrades.lasermove2.desc,The laser moves even faster.
loadout.mapsize.title,Map Size
level.gameover.miner.title,MINER RUN FINISHED
upgrades.blastminingblast1.title,Blast 1
upgrades.drillbotturnaround.desc,"When meeting an indestructible wall, Drillbert will turn around instead of taking a nap."
properties.dome.baserepair,Repair {}hp
upgrades.condenserautoovercharge.desc,"Keeps your primary gadget permanently overcharged, without using up water. Condenser water production will be delayed after overcharging."
upgrades.teleporterteleportresourcesback.desc,"The portal now teleports resources, but can't teleport you back anymore. You can still teleport from the dome to the portal."
ending.wishlistonsteam,Wishlist on Steam
properties.sword.reflection,Increase Shield Pad Size
upgrades.drillbotduplicate.desc,"Drillbert gets an identical twin, Drilliam."
level.converter.popup.conversion.convert,convert
leaderboard.loading,loading...
properties.converter.watertoiron,{} water to one iron
title.navbar.options,Options
upgrades.swordexplosivereflection.desc,Reflected projectiles explode when they hit something.
upgrades.shieldbattlereflectshortuses.title,Timed Reflection
level.gameover.unlock.skin,New skin unlocked!
level.gameover.stats.destroyedblocks,Destroyed Blocks
options.keybindings.action.keeper.gravityball,Charge Shot
upgrades.orchardjetpack1.title,Jetpack Speed Boost 1
upgrades.keeper1.desc,"A skilled, efficient professional with excellent mining skills."
properties.laser.movespeedmod,Move Speed Modifier {.percent}
upgrades.laserstrength3.title,Power 3
upgrades.orchardoverchargebuffduration.desc,The fruit effects will last for longer after overcharging the orchard.
upgrades.stunlaserduration1.title,Fire Endurance 1
loadout.mode.maze.desc,"The map is maze-like, with many arms, dead ends and twists."
properties.dome.healthfractionrepair,Repair {.percent} of total hp
upgrades.jetpackstrength3.desc,Improve the jetpack to carry more resources.
options.input.gamepad.gamepadstickdeadzone.motiondetected,motion detected:
upgrades.prospectionmetersand1.title,Cobalt Meter
upgrades.prospectionmeterwater1.desc,Displays the distance to the nearest water deposits.
upgrades.blastminingstickycharge.desc,"Charges stick to the first wall they touch, and blast a tunnel into it instead of a circular explosion."
options.video,Video
title.navbar.updates,Updates
loadout.skin,Skin
upgrades.shieldstrength2.title,Strength 2
level.gameover.win.title,YOUR DOME IS SAVED
level.station.navbar.battle,Battle
upgrades.converterirontocobalt.desc,Allows converting cobalt to iron and vice versa.
upgrades.keeper2rotationalmining2.desc,"Increases the damage rotational mining does, transcending rock hardness."
level.gameover.unlock.dome,New Dome
pause.gamepadcontrols.pickup,Pickup
options.video.graphicsmode.photosensitive,Photosensitivity Mode
upgrades.orchardduration2.desc,Effects of the fruit last even longer.
properties.dome.meleedamagereduction,Melee Damage Reduction {.percent}
upgrades.domesandrepairstrong.desc,Repair damage to your dome with cobalt.
options.input,Input
properties.keeper2.spherereload,Sphere Reload {}s
properties.blastmining.damage,Damage {}
upgrades.laserbend.title,Swivel Head Laser
upgrades.swordlargeblade3.desc,A monstrous blade. Very powerful but slow moving.
loadout.domeoptions.title,Choose your Dome!
upgrades.shieldoverchargeduration1.desc,Overcharging your shield will also prolong any shield battle ability you use in the next wave.
upgrades.probelong1.title,Long Range
options.keybindings.rebinding.inputprocessor,Press a new key for this action …
properties.teleporter.teleportduration,Teleport Duration {}s
upgrades.dome2health2.title,Health 2
upgrades.drillbotduplicate.title,Sibling
pause.quit.popup,"Are you sure you want to quit?
Press again to do so.
(your progress is saved)"
upgrades.prospectionmetersand2.desc,Displays the direction to the nearest cobalt deposits.
upgrades.probepersist1.desc,"Add a memory module to the probe, marking the location of resources for longer."
upgrades.artilleryshotcooldown2.title,Cooldown 2
properties.keeper2.sphereadditionalfirsthitdamage,Additional First Hit Damage {.percent}
upgrades.shieldbattledestructionprevention.title,Last Stand
level.gameover.unlock.pet,New pet unlocked!
upgrades.repellentbattlelongerhealthreduction.desc,Prolongs and strengthens the withering of all present monsters.
ending.feedbackondiscord,Feedback on Discord
properties.keeper2.reflectnexthitdamage,Additional Sphere Damage on Reflection for Next Bounce {.percent}
options.video.graphicsmode.borderlesswindow,Borderless Window
upgrades.keeper2pinballlifetime1.desc,"Stabilize the kinetic sphere, so it will float for longer."
level.gadgetchoice.title,PICK A GADGET!
upgrades.keeper2bundle.title,Bundle Shot
upgrades.relichunt.title,Relic Hunt
loadout.mode.doubleiron.desc,"Iron desposits are twice as rich, but upgrades cost twice the iron too."
level.tutorial.repair.findcobalt,"Try to find some cobalt. You can repair your dome with it.
It is rare and finite."
upgrades.keeper2pinballsplit.title,Split Spheres
options.input.controls.text,Plays best with Gamepad.
landing.proceed,Press anything to continue
upgrades.keeper2pinballmorespheres1.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
upgrades.jetpackstrength4.desc,Improve the jetpack to carry more resources.
upgrades.orchardbattleshieldsecondlayer.desc,Grow another layer of projectile shields.
level.converter.popup.conversion.time,over {time} cycles
properties.keeper2.maxspeed,Top Speed {}
properties.laser.aimline,Aim Line
upgrades.shieldstrength3.desc,Further increases how much damage the shield can absorb.
upgrades.repellentovercharge.title,Overcharge Repellent
properties.drillbot.buffstrength,Energized Speedup {.percent}
worldmodifier.hardnesssofter.desc,There are more softer rocks in the mine.
level.tutorial.pickup.popup_1,Hit | to pick up a resource.
level.tutorial.pickup.popup_3,Hold to pick up many.
pause.gamepadcontrols.drop,Drop
level.tutorial.fruit.popup_1,Your orchard just grew its first fruit.
level.tutorial.fruit.popup_2,"When next to it, hit | to consume it."
worldmodifier.mapwide.desc,The mine is wider and less deep.
upgrades.prestigefinishnocobalt.desc,Leave this planet and go back home.
upgrades.prospectionmeteriron2.title,Iron Compass
upgrades.keeper2movement2.title,Gravitational Movement 2
options.keybindings.gamepad,Gamepad
ending.backtomainmenu,Back to main menu
level.tutorial.fullscreen.back,back
upgrades.shield.title,Shield
upgrades.blastmining.title,Blast Mining
upgrades.converterirontocobalt.title,Cobalt Conversion
upgrades.swordstabfast1.desc,Stab faster and more often.
level.gameover.prestige.score.rankunchanged,No change in rank.
options.accessibility.critters,Disable Critters
upgrades.teleporterteleportreactivate.desc,The portal gains back the ability to teleport you.
upgrades.orchardjetpack3.title,Jetpack Speed Boost 3
level.gameover.unlock.mapsize,New map size unlocked!
upgrades.domeresourcecounters.title,Inventory
level.gameover.keepgadget.none,none
upgrades.stunlaserdamage1.desc,Adds a small amount of damage to the stun laser.
properties.repellent.battleabilityduration,Ability Duration {}s
upgrades.prestigeiron.desc,"Send back Iron, adds 1 to the prestige you get each wave."
upgrades.teleporter.title,Teleporter
ending.teasemessage,Small tease of what's to come:
loadout.relichunt.modifiers,Choose your Modifiers
options.accessibility,Accessibility
loadout.mapsize.small.description,A small map for shorter sessions.
upgrades.shieldbattleblastdamage.desc,Increases the damage and stun effect of the electro blast.
options.translation.community.desc,These languages are translated by our lovely community. Join them if you like!
upgrades.prospectionmeterwater2.desc,Displays the direction to the nearest water deposits.
upgrades.stunlaserdamage2.title,Damage 2
options.keybindings.action.keeper.gadget1,Gadget 1
options.keybindings.action.keeper.gadget2,Gadget 2
properties.repellent.wavedelay,Wave Delay {} cycles
options.ok,OK
upgrades.swordblade1.desc,Improve the slicing strength and speed of your sword.
upgrades.shieldoverchargeduration2.title,Overcharge Battle Ability Duration 2
properties.sword.slicedamage,Slice Damage {} 
properties.condenser.autocollect,Automatic Collection
properties.keeper2.directminingdamage,High Rotational Mining Damage
upgrades.keeper2bundlestopcenter.desc,"Shot bundles will stay right under the dome, instead of flying past the central axis."
upgrades.orchardduration1.title,Duration 1
upgrades.drillbotbuffstrength1.title,Nutritious Treats
upgrades.liftcarrykeeper2.title,Keeper Lift 2
upgrades.shieldoverchargestrength2.desc,Further increases how much damage the overcharged shield absorbs.
upgrades.repellentbattleslowdown.title,Debilitate
upgrades.artilleryshotprediction.title,Shot Prediction
upgrades.repellentdelay3.desc,Further increases the delay of the next wave of monsters.
upgrades.teleporter.desc,A two-way teleporter with a station under the dome and portal that can be placed and moved around the mines.
level.gameover.stats.monsterskilled,Monsters Killed
upgrades.keeper2pinballreflect.title,Sphere Reflection
upgrades.drillbotstrength3.title,Strength 3
upgrades.shieldbattlereflectspeedup.title,Accelerated Reflection
upgrades.probeswift1.title,Fast Probe
options.game.events.enableseasonal,enable seasonal content
upgrades.repellentbattledamageovertime.title,Toxic Fumes
upgrades.dome3health2.title,Health 2
loadout.mapsize.huge,Huge
properties.repellent.overchargebattleabilityduration,Additional Ability Duration {.percent}
options.keybindings.action.keeper.gravitycollect,Charge Collect
loadout.miner.scores.title,Scores
properties.lift.speed,Orb Speed {}
upgrades.drillbotstrength1.title,Strength 1
level.tutorial.repellent.popup_2,"When close to it, hit | to activate it."
level.tutorial.repellent.popup_1,Your repellent is ready to delay the next wave.
properties.orchard.growthtime,Growth time {} cycles
properties.keeper2.spherefractiondamage,Sphere Damage transcending Rock Hardness {.percent}
properties.sword.brake,Sword Agility {}
upgrades.artilleryflakmultishot2.title,Flak Multi Shot 2
upgrades.swordstabfast2.desc,Stab even faster and more often.
upgrades.sword.desc,A durable sword that does more damage the further it swings across the dome when slicing. It can be fired to stab monsters and has a shield pad base that blocks projectiles.
upgrades.artilleryflakmultishot1.title,Flak Multi Shot 1
upgrades.artilleryshotprediction.desc,Shows the expected trajectory of a launched grenade.
upgrades.shieldbattlereflect.desc,Trigger an active combat ability that reflects incoming projectiles for a short time.
upgrades.orchardbattleshieldstrong.title,Strong Shields
upgrades.swordlongblade1.title,Long Blade 1
level.station.battle.navbar.stab,Stab
properties.converter.irontowater,{} iron to one water
upgrades.minoriron.title,Send Iron
upgrades.keeper2bundleinfinite.desc,Bundles will stay stable for a very long time.
worldmodifier.resourcedesc,"There are only few iron clusters around, but they are very large."
loadout.keeper,KEEPER
upgrades.drillbotstrength4.desc,Increases the dig strength of Drillbert.
upgrades.swordstabexplodedamage.title,Bomb Damage
upgrades.prospectionmeterwater2.title,Water Compass
loadout.keeperoptions.title,Choose your Keeper!
properties.probe.range,{} tiles Range
upgrades.orchardbattleshield.title,Projectile Shield
loadout.mapsize.large,Large
properties.keeper2.reflectsphere,Reflect Incoming Spheres
upgrades.orchardbattlerooting.title,Snare Roots
properties.repellent.growthtime,Production time {} cycles
properties.converter.irontocobalt,{} iron to one cobalt
upgrades.dome3health1.desc,Permanently increase the structural health of your dome.
upgrades.teleporterteleportresourcescooldown.title,Teleport Cooldown
upgrades.shieldovercharge.desc,Use water to manually overcharge your shield so it absorbs more damage in the next wave.
upgrades.stunlaserspeed2.title,Speed 2
upgrades.drillbotbuff1.desc,Treats grow at the nest under the dome. Take them to Drillbert who will happily gobble them up to get energized.
options.keybindings.action.dome.battle,Battle Mode
upgrades.orchardovercharge.title,Overcharge Orchard
properties.teleporter.teleportresourcesarea,Teleport Range {} tiles
upgrades.swordreflection1.desc,Increase the shield pad size and make it reflect energy projectiles.
upgrades.blastminingblast2.title,Blast 2
upgrades.swordreflection1.title,Reflection 1
upgrades.keeper2pinballlifetime2.desc,"Stabilize the kinetic sphere, so it will float for longer."
options.keybindings.action.general.left,Left
properties.laser.movespeed,Move Speed {}
upgrades.dome3health2.desc,Permanently increase the structural health of your dome.
upgrades.drill2.title,Drill Strength 2
options.keybindings.rebinding,Rebinding
level.tutorial.assessor.carry.desc1_1,"Once locked onto you, they will follow you even if you release the collection key."
upgrades.keeper2pinballdamage1.title,Kinetic Sphere Damage 1
upgrades.stunlaserspeed2.desc,The stun laser moves even faster and keeps tracking monsters when cooling down.
options.keybindings.title,CONTROL MAPPING
upgrades.keeper2pinballmorespheres2.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
level.gameover.prestige.uploading.finalfailed,"uploading new score failed, sorry!"
upgrades.blastminingblast1.desc,Increases the blast strength.
upgrades.stunlaserduration2.desc,The stun laser cools down faster and shoots for longer.
upgrades.prospectionmetersand1.desc,Displays the distance to the nearest cobalt deposits.
pause.gamepadcontrols.move,Move
properties.probe.charges,Charges {}
upgrades.drillbotstrength2.title,Strength 2
loadout.prestige.cobalt.description,"The map has no cobalt and you can't generate it, but you start with plenty of it."
