key,id_ID
upgrades.domeresourcecounters.title,Persediaan
level.gameover.unlockpicker.title,PICK YOUR UNLOCK
level.gameover.proceedtounlock,Unlock a new element
upgrades.artilleryshotcooldown2.desc,Tembak lebih sering.
level.gameover.keepgadget.title,Select a Gadget To Keep For Your Next Run
level.station.battle.navbar.shoot,Shoot
upgrades.repellentbattlestrongerslowdown1.title,Sempoyongan
upgrades.dome2.desc,Kubah yang kuat dengan pedang lincah yang penjaga bisa latih untuk mengdominasi para penyerang.
loadout.difficulty.easy,Hard
upgrades.condenserautocollect.title,Pengkoleksi Otomatis
upgrades.orchard.title,Kebun
upgrades.keeper2pinballreflectspeedup2.desc,Spheres are intensely powered up when reflected.
upgrades.laserstrength1.title,Daya 1
upgrades.lasermove2.title,Kecepatan Bergerak 2
upgrades.shieldbattlereflectshortuses.desc,Memantul lebih sering untuk waktu yang lebih singkat.
options.keybindings.action.keeper.drop,Jatuhkan
level.converter.popup.conversion.to,to
upgrades.repellent.desc,"Install a tank that produces a monster repelling liquid. Activate to spray it outside the dome, delaying the next wave of attackers."
properties.repellent.battlehealthreduction,Monster Health Reduction {.percent}
loadout.mode.hyperactive,Quick & Feeble
upgrades.miner.title,Miner
upgrades.converter.title,Konverter Sumber Daya
properties.condenser.waterstorage,Stores {} water
upgrades.jetpackstrength2.desc,Mempertajam paket jet untuk membawa lebih banyak sumber daya.
level.station.navbar.exit,Exit
options.accessibility.photosensitivity.explanation,Reduces flickering lights.
properties.orchard.overchargeadditionalabilityuses,{} additional ability uses after overcharge
worldmodifier.resourcepooriron.desc,This world has little iron.
level.gameover.backtomainmenu,Back to main menu
upgrades.orchardbattlerooting.desc,Activate in battle to grow roots outside the dome that will trap any medium sized monster stepping on them.
upgrades.keeper2pinballreflect.desc,"Reflect spheres with a high powered, small gravity field around yourself."
upgrades.laser.title,Laser
options.game.tutorials.resettutorials,Setel Ulang Panduan
properties.converter.ironirontime,{} cycles Conversion Time
loadout.secondstage.start,Start Run
upgrades.artilleryflakmultishot2.desc,Tembak lebih banyak proyektil.
upgrades.swordreflection2.desc,Perisal lebih besar.
upgrades.lasermove3.title,Kecepatan Bergerak 3
upgrades.lasermove1.desc,Lasernya bergerak lebih cepat.
properties.lift.orbs,{} Orbs
options.keybindings.action.general.move,Gerak
upgrades.orchardjetpack2.title,Dorongan Kecepatan Paket Jet 2
options.audio.music,Music
worldmodifier.resourceunpredicatableiron.desc,The iron clusters are more scattered and harder to predict.
properties.dome.maxhealth,Nyawa {}np
upgrades.condenserspeed1.title,Kecepatan Produksi 1
properties.repellent.battleuses,Uses per Battle {}
upgrades.shieldstrength2.desc,Tambahkan lebih banyak kerusakan yang perisai kubah bisa diserap.
upgrades.drillbotbuffstrength2.title,Taurine Addition
upgrades.keeper2pinballreflectdamage2.desc,Reflected spheres will deal much more damage to the rock they hit next.
level.paused,Paused
level.tutorial.sworddome.stabbing,Stab
upgrades.stunlaserspeed1.title,Kecepatan 1
upgrades.domehealthmeter.desc,Tampilkan nyawa kubah.
upgrades.swordlargeblade1.desc,"Melebarkan dan memanjangkan pedangnya, membuat lebih banyak kerusakan."
pause.quitgame,Quit Game
level.station.battle.navbar.slice,Slice 
level.gameover.stats.timeplayed,Time Played
properties.teleporter.teleportresources,Teleport Resources
upgrades.drillbotstrength2.desc,Tambahkan kekuatan mengali Drillbert.
level.tutorial.drop.popup_2,Hit | to drop one. Hold to drop many.
level.gameover.keepgadget.keeping,Gadget to keep: {gadget}
level.tutorial.drop.popup_1,Carried resources slow you down.
worldmodifier.maprugged.desc,The mine is rough and irregular.
level.tutorial.onewayteleporter1,You just found a one way teleporter!
properties.sword.aimline,Aim Prediction
upgrades.keeper2bundle.desc,"Attached minerals can be shot as a bundle, in the same way you shoot kinetic spheres."
level.tutorial.onewayteleporter2,Press|to place the eye.
level.tutorial.onewayteleporter3,Press again to teleport back to it.
properties.lift.capacity,Orbs carry {} resources
properties.shield.battleabilityduration,Ability Duration {}s
level.tutorial.teleporter.carry2,"Hold | to pick up the portal again, when close to it."
level.tutorial.teleporter.carry3,"If you hit |, you will teleport back."
upgrades.minerrefuel.desc,"Transform water into fuel, filling up your domes fuel storage so you can refuel your keeper."
level.tutorial.teleporter.carry1,You can move the portal anywhere you want.
options.keybindings.action.general.back,Cancel
level.tutorial.probe.popup_1,Hit | to emit a probe impulse.
upgrades.liftcarrykeeper2.desc,Liftnya akan lebih mempercepat kamu.
level.tutorial.probe.popup_3,"It reveals some of the nearby resources.
Recharge back at the station."
worldmodifier.resourcerichcobalt.desc,This world has a lot of cobalt.
upgrades.keeper2pinballdamage4.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
properties.sword.stabexplosive,Tip Bomb Mounted
properties.drillbot.turnaround,Turn around when hitting a hard wall
upgrades.shieldstrength1.title,Kekuatan 1
properties.repellent.overchargewavedelay,Additional Wave Delay {} cycles
upgrades.swordreflection3.title,Pantulan 3
upgrades.dome1.desc,"Standar kubah penambang, di lengkapi dengan sebuah laser akurat."
level.tutorial.drillbot.carry,"Take Drillbert from its tank, and place it in the mine, where it should dig."
upgrades.lift.desc,Install an automated lift that brings mined resources up for processing in the dome.
upgrades.dome1health2.desc,Naikkan nyawa kubahmu secara permanen.
upgrades.converterefficientwater.title,Eficien Konversi Air
loadout.difficulty.hard.description,"Well, it's your Dome to lose."
upgrades.artillerymultishot2.title,Penembak Berantai 2
upgrades.swordelectrified.title,Pedang Disetrum
upgrades.drillbotstrength3.desc,Tambahkan kekuatan mengali Drillbert.
upgrades.shieldbattleinvulnerable.title,Kekebalan
upgrades.keeper2rotationalmining2.title,Improved Rotational Mining
upgrades.stunlaserautonomy1.title,Otonomi
level.tutorial.teleporter.teleport1,"When close to the portal, hit | to teleport back."
level.tutorial.teleporter.teleport2,You can also teleport in the other direction.
level.gameover.prestige.uploading.failed,"uploading failed, trying again"
upgrades.lasermove2.desc,Lasernya bergerak jauh lebih cepat.
loadout.mapsize.title,Map Size
level.gameover.miner.title,MINER RUN FINISHED
upgrades.blastminingblast1.title,Ledakan 1
upgrades.drillbotturnaround.desc,"Ketika bertemu dengan dinding yang tidak bisa dihancurkan, Drillbert akan berputar arah daripada tidur."
properties.dome.baserepair,Perbaiki {}np
upgrades.condenserautoovercharge.desc,"Keeps your primary gadget permanently overcharged, without using up water. Condenser water production will be delayed after overcharging."
upgrades.teleporterteleportresourcesback.desc,"The portal now teleports resources, but can't teleport you back anymore. You can still teleport from the dome to the portal."
ending.wishlistonsteam,Wishlist on Steam
properties.sword.reflection,Increase Shield Pad Size
upgrades.drillbotduplicate.desc,"Drillbert dapat kembar mirip, Drilliam."
level.converter.popup.conversion.convert,convert
leaderboard.loading,loading...
properties.converter.watertoiron,{} water to one iron
pause.options,Options
upgrades.swordexplosivereflection.desc,Proyektil dipantul akan meledak saat mereka menabrak sesuatu.
upgrades.shieldbattlereflectshortuses.title,Pemantulan Tepat Waktu
level.gameover.unlock.skin,New skin unlocked!
level.gameover.stats.destroyedblocks,Destroyed Blocks
options.keybindings.action.keeper.gravityball,Charge Shot
upgrades.orchardjetpack1.title,Dorongan Kecepatan Paket Jet 1
upgrades.keeper1.desc,"Seorang yang terampil, profesional efisien dengan kemampuan menambang yang baik sekali."
properties.laser.movespeedmod,Move Speed Modifier {.percent}
upgrades.laserstrength3.title,Daya 3
upgrades.orchardoverchargebuffduration.desc,The fruit effects will last for longer after overcharging the orchard.
upgrades.stunlaserduration1.title,Ketahanan Tembak 1
loadout.mode.maze.desc,"The map is maze-like, with many arms, dead ends and twists."
properties.dome.healthfractionrepair,Perbaiki {.percent} dari np total
upgrades.jetpackstrength3.desc,Mempertajam paket jet untuk membawa lebih banyak sumber daya.
options.input.gamepad.gamepadstickdeadzone.motiondetected,gerakan terdeteksi:
upgrades.prospectionmetersand1.title,Pengukur Kobalt
upgrades.prospectionmeterwater1.desc,Displays the distance to the nearest water deposits.
upgrades.blastminingstickycharge.desc,"Peledak tempel ke dinding pertama mereka sentuh, dan malah meledak sebuah terowongan daripada ledakan bundar."
options.video,Vidio
title.navbar.updates,Pembaruan
loadout.skin,Skin
upgrades.shieldstrength2.title,Kekuatan 2
level.gameover.win.title,YOUR DOME IS SAVED
level.station.navbar.battle,Battle
upgrades.converterirontocobalt.desc,Memperbolehkan konversi kobalt ke besi dan sebaliknya.
upgrades.keeper2rotationalmining2.desc,"Increases the damage rotational mining does, transcending rock hardness."
level.gameover.unlock.dome,New Dome
pause.gamepadcontrols.pickup,Pickup
options.video.graphicsmode.photosensitive,Mode Fotosensitif
upgrades.orchardduration2.desc,Effects of the fruit last even longer.
properties.dome.meleedamagereduction,Melee Damage Reduction {.percent}
upgrades.domesandrepairstrong.desc,Perbaiki kerusakan di kubahmu dengan kobalt.
options.input,Masukan
properties.keeper2.spherereload,Sphere Reload {}s
properties.blastmining.damage,Damage {}
upgrades.laserbend.title,Pemutar Kepala Laser
upgrades.swordlargeblade3.desc,Sebuah pedang raksasa. Sangat kuat tapi bergerak lambat.
loadout.domeoptions.title,Choose your Dome!
upgrades.shieldoverchargeduration1.desc,Overcharging your shield will also prolong any shield battle ability you use in the next wave.
upgrades.probelong1.title,Jarak Jauh
options.keybindings.rebinding.inputprocessor,Tekan kunci baru untuk aksi ini …
properties.teleporter.teleportduration,Teleport Duration {}s
upgrades.dome2health2.title,Nyawa 2
upgrades.drillbotduplicate.title,Saudara kandung
pause.quit.popup,"Are you sure you want to quit?
Press again to do so.
(your progress is saved)"
upgrades.prospectionmetersand2.desc,Displays the direction to the nearest cobalt deposits.
upgrades.probepersist1.desc,"Add a memory module to the probe, marking the location of resources for longer."
upgrades.artilleryshotcooldown2.title,Waktu Tenang 2
properties.keeper2.sphereadditionalfirsthitdamage,Additional First Hit Damage {.percent}
upgrades.shieldbattledestructionprevention.title,Pertahanan Terakhir
level.gameover.unlock.pet,New pet unlocked!
upgrades.repellentbattlelongerhealthreduction.desc,Prolongs and strengthens the withering of all present monsters.
ending.feedbackondiscord,Feedback on Discord
properties.keeper2.reflectnexthitdamage,Additional Sphere Damage on Reflection for Next Bounce {.percent}
options.video.graphicsmode.borderlesswindow,Window Tanpa Tepi
upgrades.keeper2pinballlifetime1.desc,"Stabilize the kinetic sphere, so it will float for longer."
level.gadgetchoice.title,PILIH SEBUAH ALAT!
upgrades.keeper2bundle.title,Bundle Shot
upgrades.relichunt.title,Pencarian Peninggalan
loadout.mode.doubleiron.desc,"Iron desposits are twice as rich, but upgrades cost twice the iron too."
level.tutorial.repair.findcobalt,"Try to find some cobalt. You can repair your dome with it.
It is rare and finite."
upgrades.keeper2pinballsplit.title,Split Spheres
options.input.controls.text,Terbaik dimainkan dengan Gamepad.
landing.proceed,Press anything to continue
upgrades.keeper2pinballmorespheres1.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
upgrades.jetpackstrength4.desc,Mempertajam paket jet untuk membawa lebih banyak sumber daya.
upgrades.orchardbattleshieldsecondlayer.desc,Grow another layer of projectile shields.
level.converter.popup.conversion.time,over {time} cycles
properties.keeper2.maxspeed,Top Speed {}
upgrades.swordaimline.title,Garis Arahan
upgrades.shieldstrength3.desc,Tambahkan lebih banyak kerusakan yang perisai kubah bisa diserap.
upgrades.repellentovercharge.title,Overcharge Repellent
properties.drillbot.buffstrength,Energized Speedup {.percent}
worldmodifier.hardnesssofter.desc,There are more softer rocks in the mine.
level.tutorial.pickup.popup_1,Hit | to pick up a resource.
level.tutorial.pickup.popup_3,Hold to pick up many.
pause.gamepadcontrols.drop,Drop
level.tutorial.fruit.popup_1,Your orchard just grew its first fruit.
level.tutorial.fruit.popup_2,"When next to it, hit | to consume it."
worldmodifier.mapwide.desc,The mine is wider and less deep.
upgrades.prestigefinishnocobalt.desc,Keluar dari planet ini dan kembali ke rumah.
upgrades.prospectionmeteriron2.title,Kompas Besi
upgrades.keeper2movement2.title,Gravitational Movement 2
options.keybindings.gamepad,Gamepad
ending.backtomainmenu,Back to main menu
level.tutorial.fullscreen.back,back
upgrades.shield.title,Perisai
upgrades.blastmining.title,Ledakan Tambang
upgrades.converterirontocobalt.title,Kobalt Konversi
upgrades.swordstabfast1.desc,Menusuk lebih cepat dan lebih sering.
level.gameover.prestige.score.rankunchanged,No change in rank.
options.accessibility.critters,Disable Critters
upgrades.teleporterteleportreactivate.desc,Portal mendapat kemampuan untuk teleportasi kamu kembali.
upgrades.orchardjetpack3.title,Jetpack Speed Boost 3
level.gameover.unlock.mapsize,New map size unlocked!
level.station.upgrademenu.inventory,Inventory
level.gameover.keepgadget.none,none
upgrades.stunlaserdamage1.desc,Adds a small amount of damage to the stun laser.
properties.repellent.battleabilityduration,Ability Duration {}s
upgrades.prestigeiron.desc,"Kirim kembali Besi, menambah 1 ke prestise kamu dapat setiap gelombang."
upgrades.teleporter.title,Teleportasi
ending.teasemessage,Small tease of what's to come:
loadout.relichunt.modifiers,Choose your Modifiers
options.accessibility,Accessibility
loadout.mapsize.small.description,A small map for shorter sessions.
upgrades.shieldbattleblastdamage.desc,Increases the damage and stun effect of the electro blast.
options.translation.community.desc,Bahasa-bahasa ini diterjemahkan oleh komunitas tersayang kami. Ikut mereka jika kamu mau!
upgrades.prospectionmeterwater2.desc,Displays the direction to the nearest water deposits.
upgrades.stunlaserdamage2.title,Kerusakan 2
options.keybindings.action.keeper.gadget1,Alat 1
options.keybindings.action.keeper.gadget2,Alat 2
properties.repellent.wavedelay,Wave Delay {} cycles
options.ok,OKE
upgrades.swordblade1.desc,Meningkatkan kekuatan memotong dan kecepatan pedangmu.
upgrades.shieldoverchargeduration2.title,Mendorong Durasi Kemampuan Perang 2
properties.sword.slicedamage,Slice Damage {} 
properties.condenser.autocollect,Automatic Collection
properties.keeper2.directminingdamage,High Rotational Mining Damage
upgrades.keeper2bundlestopcenter.desc,"Shot bundles will stay right under the dome, instead of flying past the central axis."
upgrades.orchardduration1.title,Durasi 1
upgrades.drillbotbuffstrength1.title,Makanan Bergizi
upgrades.liftcarrykeeper2.title,Lift Pribadi 2
upgrades.shieldoverchargestrength2.desc,Further increases how much damage the overcharged shield absorbs.
upgrades.repellentbattleslowdown.title,Melemahkan
upgrades.artilleryshotprediction.title,Prediksi Tembakan
upgrades.repellentdelay3.desc,Tambahkan lebih banyak waktu yang di tunda untuk gelombang monster berikutnya.
upgrades.teleporter.desc,A two-way teleporter with a station under the dome and portal that can be placed and moved around the mines.
level.gameover.stats.monsterskilled,Monsters Killed
upgrades.keeper2pinballreflect.title,Sphere Reflection
upgrades.drillbotstrength3.title,Kekuatan 3
upgrades.shieldbattlereflectspeedup.title,Pantulan Dipercepat
upgrades.probeswift1.title,Penyedilik Cepat
options.game.events.enableseasonal,enable seasonal content
upgrades.repellentbattledamageovertime.title,Uap Beracun
upgrades.dome3health2.title,Nyawa 2
loadout.mapsize.huge,Huge
properties.repellent.overchargebattleabilityduration,Additional Ability Duration {.percent}
options.keybindings.action.keeper.gravitycollect,Charge Collect
loadout.miner.scores.title,Scores
properties.lift.speed,Orb Speed {}
upgrades.drillbotstrength1.title,Kekuatan 1
level.tutorial.repellent.popup_2,"When close to it, hit | to activate it."
level.tutorial.repellent.popup_1,Your repellent is ready to delay the next wave.
properties.orchard.growthtime,Growth time {} cycles
properties.keeper2.spherefractiondamage,Sphere Damage transcending Rock Hardness {.percent}
properties.sword.brake,Sword Agility {}
upgrades.artilleryflakmultishot2.title,Tembakan Banyak Gotri 2
upgrades.swordstabfast2.desc,Menusuk lebih cepat dan lebih sering.
upgrades.sword.desc,Sebuah pedang tahan lama yang membuat kerusakan lebih besar semakin jauh itu menayun ketika mengiris. itu bisa diluncurkan untuk menusuk para monster dan mempunyai perisai yang memblokir banyak proyektil.
upgrades.artilleryflakmultishot1.title,Tembakan Banyak Gotri 1
upgrades.artilleryshotprediction.desc,Menunjukan lintasan ekspetasi dari granat di luncurkan.
upgrades.shieldbattlereflect.desc,Trigger an active combat ability that reflects incoming projectiles for a short time.
upgrades.orchardbattleshieldstrong.title,Strong Shields
upgrades.swordlongblade1.title,Pedang Panjang 1
level.station.battle.navbar.stab,Stab
properties.converter.irontowater,{} iron to one water
upgrades.minoriron.title,Send Iron
upgrades.keeper2bundleinfinite.desc,Bundles will stay stable for a very long time.
worldmodifier.resourcedesc,"There are only few iron clusters around, but they are very large."
loadout.keeper,KEEPER
upgrades.drillbotstrength4.desc,Tambahkan kekuatan mengali Drillbert.
upgrades.swordstabexplodedamage.title,Kerusakan Bom
upgrades.prospectionmeterwater2.title,Kompas Air
loadout.keeperoptions.title,Choose your Keeper!
properties.probe.range,{} tiles Range
upgrades.orchardbattleshield.title,Projectile Shield
loadout.mapsize.large,Large
properties.keeper2.reflectsphere,Reflect Incoming Spheres
upgrades.orchardbattlerooting.title,Snare Roots
properties.repellent.growthtime,Production time {} cycles
properties.converter.irontocobalt,{} iron to one cobalt
upgrades.dome3health1.desc,Naikkan nyawa kubahmu secara permanen.
upgrades.teleporterteleportresourcescooldown.title,Pendinginan Teleportasi
upgrades.shieldovercharge.desc,Use water to manually overcharge your shield so it absorbs more damage in the next wave.
upgrades.stunlaserspeed2.title,Kecepatan 2
upgrades.drillbotbuff1.desc,Treats grow at the nest under the dome. Take them to Drillbert who will happily gobble them up to get energized.
options.keybindings.action.dome.battle,Mode Pertempuran
upgrades.orchardovercharge.title,Overcharge Orchard
properties.teleporter.teleportresourcesarea,Teleport Range {} tiles
upgrades.swordreflection1.desc,Melebarkan ukuran perisai dan membuat itu memantulkan proyektil energi.
upgrades.blastminingblast2.title,Ledakan 2
upgrades.swordreflection1.title,Pantulan 1
upgrades.keeper2pinballlifetime2.desc,"Stabilize the kinetic sphere, so it will float for longer."
options.keybindings.action.general.left,Kiri
properties.laser.movespeed,Move Speed {}
upgrades.dome3health2.desc,Naikkan nyawa kubahmu secara permanen.
upgrades.drill2.title,Kekuatan Bor 2
options.keybindings.rebinding,Menjilidkan
level.tutorial.assessor.carry.desc1_1,"Once locked onto you, they will follow you even if you release the collection key."
upgrades.keeper2pinballdamage1.title,Kinetic Sphere Damage 1
upgrades.stunlaserspeed2.desc,Laser penyetrumnya bergerak jauh lebih cepat dan tetap melacak monster ketika mendinginkan.
options.keybindings.title,KONTROL PEMETAAN
upgrades.keeper2pinballmorespheres2.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
level.gameover.prestige.uploading.finalfailed,"uploading new score failed, sorry!"
upgrades.blastminingblast1.desc,Meningkatkan kekuatan ledakan.
upgrades.stunlaserduration2.desc,Laser penyetrumnya mendingin lebih cepat dan tembak lebih lama.
upgrades.prospectionmetersand1.desc,Displays the distance to the nearest cobalt deposits.
pause.gamepadcontrols.move,Move
properties.probe.charges,Charges {}
upgrades.drillbotstrength2.title,Kekuatan 2
loadout.prestige.cobalt.description,"The map has no cobalt and you can't generate it, but you start with plenty of it."
