key,pt_BR
loadout.prestige.title,Escolha uma variação de modo
upgrades.shieldbattleelectroblast.title,Explosão elétrica
properties.dome.maxhealth,Integridade: {} PV
options.keybindings.action.general.move,Mover-se
options.video.stretchmode.rezised,Redimensionado
level.gameover.unlock.world,Novo mundo desbloqueado!
upgrades.blastminingwaterless.desc,"A água não é mais necessária para a produção, mas a velocidade é reduzida."
properties.blastmining.growthtime,Tempo de produção: {} ciclos
properties.laser.stun,Força do atordoamento: {}
exhibition.level.instruction,Aperte qualquer botão para continuar jogando!
pause.godot,Criado com Godot
upgrades.orchardjetpack2.desc,"Aumenta o reforço de velocidade do fruto, permitindo que você se mova ainda mais rápido."
upgrades.artillery.title,Artilharia
upgrades.condenser.desc,Adiciona uma máquina sob a cúpula que lentamente produz água por condensação.
properties.lift.keeperupwardsspeed,Velocidade de Elevação do Guardião {}
level.tutorial.fullscreen.continue,continuar
upgrades.dome1damagereduction2.title,Reforço 2
upgrades.orchardduration2.title,Duração 2
upgrades.condenserautoovercharge.title,Sobrecarga Automática
upgrades.keeper2pinballreflectdamage2.title,Dano de reflexo 2
loadout.title,ESCOLHA SEU ARSENAL
level.tutorial.teleporter_2,Use a estação de teleporte para ir até o portal e vice-versa.
options.keybindings.action.general.up,Cima
level.converter.popup.cancel,Cancelar
properties.keeper.domefuel,Adicionar combustível {}
properties.shield.battleactivateondepletion,Ativa a habilidade ao esgotar o escudo
loadout.prestige.normal,Padrão
properties.sword.reflectprojectilesexplosive,Projéteis de energia refletidos são explosivos
upgrades.swordlargeblade3.title,Lâmina pesada 3
upgrades.orcharddrill2.title,Reforço de mineração 2
loadout.prestige.normal.description,Envie recursos para fora do planeta para ganhar prestígio entre os guardiões.
upgrades.keeper2pinballreflectdamage1.desc,As esferas refletidas causam muito mais dano à pedra que atingir depois.
options.input.gamepad,Controle
loadout.choices.locked,Ainda não desbloqueado
upgrades.condenserspeed1.desc,Reduz o tempo necessário para condensar uma unidade de água.
upgrades.shieldbattleinvulnerable.desc,Ativa uma habilidade de combate que torna sua cúpula invulnerável por um curto período.
upgrades.domewavemeter.desc,Mostra o tempo até a próxima onda de formas de vida hostis.
upgrades.keeper2pinballreflectspeedup2.title,Reflexo superior
upgrades.keeper2movement1.desc,Melhora o seu gerador de gravidade para mover-se mais rápido.
upgrades.repellentoverchargeduration2.desc,"Após sobrecarregar, a habilidade de batalha durará mais na onda seguinte."
upgrades.laserhitprojectiles.desc,Atingir projéteis de energia com o laser imediatamente os dissolve.
options.keybindings.action.keeper.pickup,Coletar
upgrades.keeper2pinballdamage1.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
upgrades.keeper2pinballdamage3.title,Dano de esfera cinética 3
options.video.graphicsmode.enablevsync,Habilitar Vsync
options.translation.community,Tradução da comunidade {completion}% concluída
loadout.difficult.harder,mais difícil
worldmodifier.resourcerichiron.desc,Este mundo tem muito ferro.
loadout.miner.fuel,Ativa a necessidade de reabastecer o agregado de movimento dos guardiões com água.
upgrades.prestigeiron.title,Enviar ferro
upgrades.stunlaserspeed1.desc,O laser atordoante se move mais rápido.
upgrades.keeper2pinballdamage2.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
upgrades.drill1.title,Força da broca 1
upgrades.prospectionmetersand2.title,Conserto de cobalto
upgrades.dome1health1.desc,Aumenta permanentemente a integridade estrutural da sua cúpula.
title.navbar.newgame,Novo Jogo
properties.repellent.overchargeduration,Aumenta a velocidade da produção de Repelente por {} ciclos
properties.sword.retractspeed,Velocidade da retração: {} 
upgrades.lasermove3.desc,O laser se move na velocidade máxima.
upgrades.stunlaser.title,Laser atordoante
options.keybindings.action.general.use,Usar
worldmodifier.monsterfeeble.desc,Os monstros são mais fracos e causam menos dano.
upgrades.shield.desc,Instala um escudo que absorverá parte do dano. Recarrega automaticamente.
options.video.stretchmode.rezised.text,"Renderiza o jogo na resolução nativa ou de janela.
Os gráficos ficarão definidos, mas erros visuais na forma de linhas de 1 pixel podem aparecer."
upgrades.orchardbattlerootingexplosion.desc,"Ative novamente para fazer todos os monstros presos explodirem, causando dano ao redor deles."
loadout.mapsize.small,Pequeno
upgrades.probe.desc,"Adiciona uma sonda ao seu traje que, ao ser ativada, gera um pulso que revela recursos próximos. Precisa ser recarregada na estação sob a cúpula."
upgrades.swordlongblade1.desc,Instala uma lâmina mais longa e veloz.
upgrades.dome1health1.title,Integridade 1
upgrades.blastminingwaterless.title,Cargas sem água
level.tutorial.assessor.carry,Coletar em gravidade
upgrades.liftspeed1.desc,Os orbes se movem mais rápido.
upgrades.shieldstrength1.desc,Aumenta o dano que o escudo da cúpula consegue absorver.
upgrades.orchardbattleshieldsecondlayer.title,Escudo duplo
upgrades.teleporterteleportresourcescooldown.desc,O portal pode teleportar recursos com mais frequência.
options.input.gamepad.autoswitch,detecção automática do gamepad preferido
level.gameover.unlock.modifiers,Modificadores de mundo desbloqueados!
properties.sword.slicebrake,Perda de velocidade no corte: {.percent}
loadout.difficulty.veryeasy,Normal
properties.sword.sliceacceleration,Velocidade da espada: {}
options.input.gamepad.gamepadstickdeadzone.text,"Defina o valor para que a barra não trema ao encostar nos analógicos, sem empurrá-los.
Ao empurrar o analógico, a barra deve tremer."
options.accessibility.highlightmonsters.explanation,"Renderizar um contorno brilhante ao redor dos monstros, para uma melhor visibilidade."
properties.upgrade.gameover,Finalizar a Expedição
upgrades.blastminingstickycharge.title,Cargas direcionais adesivas
upgrades.shieldoverchargestrength1.title,Potência de Sobrecarga do Escudo 1
upgrades.blastminingblast2.desc,Aumenta mais a força da explosão.
upgrades.repellentbattlestrongerslowdown2.title,Estagnação Potente
upgrades.converter.desc,"Converte recursos, ajudando você a equilibrar seu estoque."
loadout.proceed,Prosseguir
upgrades.repellentbattleslowdown.desc,Dispersa uma névoa entorpecente durante a batalha que reduz a velocidade de todos os monstros.
loadout.mapsize.medium.description,"Um mapa de tamanho padrão, para uma sessão de mineração de respeito."
properties.orchard.overchargeadditionalbuffduration,{} ciclos de duração adicional do poder após a sobrecarga
options.translation.community.title,Traduções da Comunidade
upgrades.blastminingtriple.title,Cargas Triplas
worldmodifier.hardnessextremes.desc,Há muito mais rochas extremamente duras ou macias.
level.station.battle.navbar.exit,Sair
upgrades.keeper2pinballlifetime2.title,Tempo de vida da esfera cinética 2
upgrades.minoriron.desc,Enviar ferro para fora do mundo aumenta seu prestígio.
properties.dome.autohealamount,Reparo: {} PV
upgrades.migration.title,Migração
upgrades.converterefficientcobalt.title,Conversão eficiente de cobalto
upgrades.shieldbattledestructionprevention.desc,"Ganha um longo período de invulnerabilidade quando sua cúpula está prestes a ser destruída.
Depois disso, seu escudo não recarrega para a próxima batalha. A última defesa só pode ser ativada novamente após concluir 2 ondas.
"
upgrades.drill1.desc,Fortalece a broca para escavar mais rápido.
level.gameover.retry,Iniciar outra expedição
properties.orchard.overchargeduration,A velocidade de crescimento do fruto dobra por {} ciclos
upgrades.dome2health1.title,Integridade 1
level.tutorial.station.popup_4,"Em seguida, aperte | para ativar o modo de batalha e se defender."
level.gameover.stats.timeplayed.unit,m
upgrades.repellentbattlestrongerslowdown2.desc,A névoa desacelera ainda mais os monstros e perdura por ainda mais tempo.
loadout.gadgetoptions.title,Escolha seu acessório principal!
level.tutorial.station.popup_2,Vá até a estação e aperte | para entrar nela.
upgrades.dome1damagereduction1.desc,Reforça a superfície da cúpula para sofrer menos danos de ataques corpo-a-corpo dos monstros. O dano de projéteis não é afetado.
level.tutorial.station.popup_1,Sua cúpula está sob ataque!
upgrades.keeper2movement3.title,Movimento gravitacional 3
upgrades.jetpackspeed1.desc,Melhora a mochila a jato para se mover mais rápido.
properties.converter.ironwatertime,Tempo de conversão: {} ciclos
level.tutorial.sworddome.slicing.desc,"Quanto mais rápido a espada balançar, maior será o dano do corte."
upgrades.liftorbs.desc,Instala um orbe elevador adicional.
upgrades.proberecharge.desc,A sonda se recarrega sozinha ao longo do tempo.
loadout.gadget,ACESSÓRIO
upgrades.drill4.title,Força da broca 4
properties.probe.rechargetime,Tempo de recarga completa: {} ciclos 
upgrades.keeper2pinballdamage4.title,Dano de esfera cinética 4
options.game,Jogo
loadout.prestige.cobalt,Cobalto fixo
options.input.vibration.strength,Força de vibração
upgrades.liftcapacity1.desc,Os orbes conseguem transportar mais recursos.
loadout.miner.title,Escolha suas opções para correr
level.gameover.stats.difficulty,Dificuldade
upgrades.repellentoverchargestrength2.title,Atraso de Horda da Sobrecarga 2
upgrades.domesandrepairstrong.title,Reparo Potente com Cobalto
upgrades.stunlaserduration1.desc,O laser atordoante esfria mais rápido e dispara por mais tempo.
level.gameover.prestige.score.rankimproved,Você melhorou sua classificação para {rank}.
upgrades.stunlaserdamage2.desc,Aumenta o dano causado pelo laser atordoante.
upgrades.drillbotstrength4.title,Força 4
level.gameover.prestige.title,EXPEDIÇÃO DE PRESTÍGIO FINALIZADA
loadout.secondstage.cancel,Cancelar
upgrades.laseraimline.desc,"Adiciona um rastro de mira para o laser, que mostra onde ele está mirando."
leaderboard.global,Global
upgrades.condenserdoublestorage.desc,O condensador produzirá e armazenará duas unidades de água antes de parar de funcionar.
upgrades.swordreflection2.title,Reflexão 2
leaderboard.season,Season {season}
upgrades.drill2.desc,Fortalece a broca para escavar mais rápido.
properties.laser.hitprojectiles,laser atinge projéteis de energia
upgrades.dome1damagereduction1.title,Reforço 1
properties.sword.stabexplosivedamage,Dano da bomba: {}
upgrades.drillbotturnaround.title,Condicionamento avançado
upgrades.keeper2movement1.title,Movimento gravitacional 1
properties.orchard.battleroots,Gera {} raízes no chão
upgrades.prospectionmeterrange2.title,Alcance 2
upgrades.jetpackspeed4.title,Velocidade 4
upgrades.miner.title,Minerador
upgrades.repellentdelay2.desc,Aumenta adicionalmente o atraso da onda seguinte de monstros.
upgrades.orchard.desc,Planta uma árvore na cúpula que gera frutos. Comer um fruto fornece um bônus temporário ao seu movimento e à força de mineração.
upgrades.artilleryflakexplosionradius1.title,Raio do flak 1
upgrades.shieldbattleelectroblast.desc,Ativa uma habilidade de combate que cria um campo mortal ao redor da cúpula por um curto período.
upgrades.shredgadgettocobalt.desc,Destrua o acessório e ganhe {amount} cobalto.
upgrades.prestigecobalt.title,Enviar cobalto
properties.orchard.drillbuff,Bônus de força de mineração {}
upgrades.swordlargeblade2.desc,"Instala uma lâmina enorme. Ela é mais lenta, mas causa muito dano."
level.gameover.back,Voltar
options.cancel,Cancelar
options.keybindings.action.dome.fire,Atirar
upgrades.swordstabshoot.title,Azagaia
upgrades.blastminingtriple.desc,Produz 3 explosivos pequenos em vez de um grande.
upgrades.orcharddrill1.title,Reforço de mineração 1
upgrades.swordextendlong2.title,Estocada longa 2
upgrades.artilleryshotcooldown1.desc,Dispara com mais frequência.
upgrades.keeper2pinballdamagefraction.title,Transcendência de dureza da esfera cinética
upgrades.doublelaser.title,Laser duplo
upgrades.jetpackspeed3.title,Velocidade 3
upgrades.prestigewater.title,Enviar água
properties.orchard.battleabilityuses,Usos por batalha: {}
upgrades.liftorbs.title,Orbes 1
upgrades.repellentoverchargeduration1.title,Duração da Sobrecarga da Habilidade de Batalha 1
upgrades.drill3.desc,Fortalece a broca para escavar mais rápido.
level.gameover.prestige.uploading.inprocess,enviando placar ...
loadout.abort,Abortar
properties.shield.overchargestrength,Potência da sobrecarga do escudo: {}
level.station.navbar.upgrades,Melhorias
upgrades.keeper2pinballsplit.desc,"Divide esferas em duas, lançando-as em perpendicular à original."
upgrades.proberecharge.title,Autorrecarga
properties.sword.stabrange,Alcance: {} 
upgrades.liftspeed1.title,Velocidade
upgrades.domewavecount.desc,Instala um contador que mostra a quantidade de ondas sobrevividas.
level.converter.popup.title,Converter recursos
pause.discord,Entre no nosso Discord
options.keybindings.action.general.back,Cancelar
upgrades.prospectionmeterrange1.desc,Aumenta o alcance de detecção do medidor de prospecção.
upgrades.dome2badrepair1.desc,Sua cúpula conserta parte do dano se perder muita integridade durante uma batalha.
upgrades.prestigecobalt.desc,Enviar cobalto de volta. Aumenta o multiplicador de pontos de prestígio recebido a cada onda.
upgrades.domesandrepairstrong.desc,Use cobalto para consertar os danos à cúpula.
loadout.skinoptions.title,Escolha seu visual!
loadout.difficulty.medium.description,A dificuldade pretendida para o jogo.
loadout.difficulty.veryeasy.description,"Ainda não é fácil, mas é mais tranquila que outras dificuldades."
options.game.tutorials,Tutoriais
upgrades.orchardbattlerootingmore.desc,Gera mais raízes que duram mais tempo.
upgrades.probepersist1.title,Memória da sonda
upgrades.keeper2pinballmorespheres2.title,Suprimento de esfera 2
upgrades.orchardjetpack3.desc,"Aumenta o reforço de velocidade do fruto, permitindo que você se mova extremamente rápido."
upgrades.probe.title,Sonda
upgrades.sword.title,Espada
properties.shield.battledestructionprevention,Duração adicional: {}s
upgrades.shieldbattlereflect.title,Reflexão
pause.gamepadcontrols.use,Usar
properties.laser.dpsmod,Modificador de dano {.percent}
upgrades.condenserdoublestorage.title,Armazenamento duplo
upgrades.relichunt.desc,Encontre a relíquia enterrada nas profundezas e traga-a de volta à cúpula.
loadout.mapsize.unlock.description,Vença uma expedição com o tamanho do mapa anterior para desbloquear esse tamanho de mapa.
properties.sword.stabdamage,Dano da estocada: {} 
properties.keeper1.drillstrength,Força da broca: {}
worldmodifier.mapwildbiomes.desc,As bordas dos biomas são bastante irregulares.
upgrades.condenser.title,Condensador
upgrades.dome2badrepair2.title,Recuperação de impacto 2
options.game.screenshake.shakewhenmining,Vibrar ao minerar
upgrades.repellentdelay2.title,Atraso 2
level.tutorial.assessor.reflect.desc,Aperte|para refletir esferas cinéticas chegando por um período muito curto de tempo.
properties.drillbot.buffamount,{} Golpes de Escavação Quando Empolgado
upgrades.laserstrength2.title,Energia 2
upgrades.jetpackstrength3.title,Capacidade de carga 3
options.keybindings.action.general,Geral
level.gameover.unlock.gadgetability,Nova Habilidade de Batalha do Acessório
upgrades.jetpackstrength1.desc,Melhora a mochila a jato para carregar mais recursos.
upgrades.artillerymultishot1.desc,Lança várias granadas por disparo.
properties.sword.reflectprojectiles,Reflexão de projéteis de energia
upgrades.stunlaser.desc,Instala um laser com mira automática que atordoa monstros pequenos.
upgrades.orchardbattleshieldstrong.desc,Os escudos contra projéteis são mais fortes. Também confere mais uma carga da habilidade ao sobrecarregar.
upgrades.orchardjetpack1.desc,"Aumenta o reforço de velocidade do fruto, permitindo que você se mova mais rápido."
upgrades.laser.desc,Um laser de precisão que se move junto com a cúpula. Originalmente usado para minerar asteroides.
properties.orchard.battleshieldhp,Integridade: {} PV
options.keybindings.action.keeper,Guardião
worldmodifier.resourceunpredicatablecobalt.desc,Os veios de cobalto são mais espalhados e difíceis de prever.
title.navbar.quit,Sair para a área de trabalho
options.keybindings.rebinding.error.gamepad,Isto não pode ser um comando do controle
upgrades.repellentbattleslowdownstun1.desc,"Adicione esporos voláteis à névoa para atordoar monstros, detendo completamente o movimento deles por um curto período."
upgrades.swordfastreflection.title,Reflexão acelerada
upgrades.stunlaserduration2.title,Resistência de disparo 2
level.gameover.lose.title,A CÚPULA FOI PERDIDA
worldmodifier.resourcescatterediron.desc,"Há mais veios de ferro ao redor, mas eles são menores."
properties.laser.dps,Dano: {}
options.game.screenshake.shakeintensity,Intensidade de vibração da tela
worldmodifier.hardnessharder.desc,Há mais rochas duras na mina.
options.video.stretchmode,Modo esticado
worldmodifier.monsterhealthy.desc,Os monstros têm mais vida.
level.gameover.stats.mapsize,Tamanho do mapa
loadout.mode.longtime,Ciclos longos
upgrades.swordreflection3.desc,Placa protetora no tamanho máximo.
upgrades.repellentbattleslowdownstun2.desc,Adiciona os esporos com mais frequência e atordoa os monstros por mais tempo.
upgrades.teleporterteleportresourcesarea.title,Área do teleporte
upgrades.shieldoverchargeduration2.desc,"Após sobrecarregar, a habilidade de batalha do escudo durará ainda mais na onda seguinte."
upgrades.shieldoverchargestrength2.title,Potência de Sobrecarga do Escudo 1
upgrades.drillbotbuffstrength1.desc,Os petiscos deixam o Brocarlito empolgado por mais tempo.
upgrades.orchardoverchargebuffduration.title,Duração do Poder de Sobrecarga
level.tutorial.assessor.spheres.desc3,Ela recarrega o poder em cada impacto.
loadout.mode.longtime.desc,"Você tem o dobro de tempo entre ondas, mas cada onda será mais forte."
level.tutorial.assessor.spheres.desc2,Escolha uma direção e solte para lançar a esfera.
upgrades.laserstrength1.desc,"Aumenta a força do laser, mas ele passa a se mover mais devagar enquanto dispara."
level.tutorial.assessor.spheres.desc1,Segure|para carregar uma esfera cinética.
upgrades.jetpackstrength4.title,Capacidade de carga 4
upgrades.migration.desc,"Migre de mundo a mundo, extraindo o máximo de recursos e relíquias antes da cúpula ser invadida."
upgrades.orcharddrill1.desc,"Aumenta o reforço de mineração do fruto, permitindo que você minere mais rápido."
upgrades.keeper2pinballdamage3.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
options.accessibility.highlightmonsters,Destacar Monstros
upgrades.prestigecobaltnocobalt.title,Enviar Cobalto
properties.keeper2.spherebasedamage,Dano de base da esfera {}
upgrades.orcharddrill3.desc,"Aumenta o reforço de mineração do fruto, permitindo que você minere extremamente rápido."
properties.converter.cobalttoiron,{} de cobalto para 1 de ferro
level.tutorial.repair.usecobalt,"Você pode usar seu cobalto para consertar a cúpula. Para isso, é necessário uma melhoria na árvore tecnológica da cúpula."
upgrades.blastminingimpactdetonation.title,Detonação no impacto
upgrades.swordfastreflection.desc,Os projéteis refletidos voltam mais rápido.
upgrades.liftcapacity1.title,Capacidade
upgrades.artillery.desc,Bazuca do Worms.
properties.sword.electricdamage,Dano da lâmina eletrificada: {}
level.station.upgrademenu.close,Fechar
properties.shield.overchargebattleabilityduration,Duração Adicional da Habilidade: {.percent}
pause.title,PAUSA
upgrades.artillerymultishot1title,Tiro sequencial 1
properties.shield.battleadditionalabilitydurationafterdepletion,Duração adicional da habilidade: {}s
upgrades.orchardbattlerootingexplosion.title,Presa explosiva
upgrades.blastminingproductiontime1.title,Tempo de produção
options.video.stretchmode.scaled.text,"Renderiza o jogo em uma resolução fixa e expande a imagem para a resolução de seu monitor.
Pode ficar pixelizado, especialmente nos textos, mas evita erros visuais de linhas."
upgrades.orchardduration3.title,Duração 3
upgrades.domewavecount.title,Contador de ciclos
upgrades.shredgadgettoiron.title,Transformar em Ferro
options.keybindings.rebinding.apply,Aplicar
options.keybindings.restoredefault,Restaurar padrão
upgrades.converterironduplication.title,Duplicação de ferro
title.navbar.credits,Créditos
level.gameover.unlock.gadget,Novo Acessório
upgrades.jetpackspeed2.title,Velocidade 2
loadout.modeoptions.title,Escolha o modo de jogo!
properties.keeper2.spherebaselifetime,Tempo de vida da esfera {}
options.video.stretchmode.scaled,Escalonado
properties.orchard.battleabilityduration,Duração da habilidade: {}s
upgrades.repellentbattleslowdownstun1.title,Paralisia
loadout.difficulty.medium,Brutal
options.audio.volumes,Volumes
upgrades.keeper1.title,Engenheiro
upgrades.drillbotsleepless.title,Condicionamento básico
upgrades.drillbot.title,Brocarlito
level.tutorial.assessor.carry.desc1,Segure|para puxar recursos até que travem em você.
level.tutorial.assessor.carry.desc2,Aperte|para soltar um recurso.
level.tutorial.drillbot.sleeping1,"O Brocarlito pega no sono depois de um tempo, ou quando chega em uma parede que não consegue escavar."
level.tutorial.assessor.carry.desc3,"Se você mirar em uma direção enquanto solta um recurso, ele será acelerado fortemente."
level.tutorial.drillbot.sleeping2,Aperte | perto dele para acordá-lo.
level.tutorial.drillbot.sleeping3,Você pode fazer com que ele se vire apertando | quando estiver acordado.
properties.keeper2.totalspheres,Esferas {}
upgrades.shieldbattleblastdamage.title,Explosão mortal
