key,th_TH
upgrades.stunlaserautonomy1.desc,AI เข้าควบคุมสตั้นเลเซอร์แม้ว่าคุณจะอยู่ภายนอกโดมก็ตาม
properties.blastmining.radius,รัศมีการระเบิด {} ช่อง
upgrades.jetpackstrength1.title,เพิ่มน้ำหนัก 1
pause.gamepadcontrols.use,ใช้
upgrades.laserstrength2.desc,เพิ่มพลังของเลเซอร์อย่างมาก แต่จะเคลื่อนที่ช้าลงขณะยิง
properties.laser.movespeedwhilefiring,ความเร็วขณะยิง {.percent}
properties.probe.markerretention,เวลาแสดง {} วินาที
upgrades.swordexplosivereflection.title,ระเบิดสะท้อน
upgrades.condenserspeed2.desc,ลดเวลาที่ใช้ในการสร้างทรัพยากรน้ำ 1 หยด
upgrades.condenserspeed2.title,เร่งผลิต 2
properties.stunlaser.firetime,เวลายิง {} วินาที
options.input.gamepad.gamepadstickdeadzone,บริเวณที่ก้านอนาล็อกไม่ตอบสนอง
upgrades.keeper2movement2.desc,เพิ่มประสิทธิภาพของเครื่องกำเนิดแรงโน้มถ่วงเพื่อคลื่อนที่อย่างรวดเร็ว
upgrades.shieldbattlelongerafterdepletion.desc,ผลของระเบิดสายฟ้าจะอยู่นานขึ้นหากเกราะถูกทำลาย
properties.laser.bend,เลเซอร์เล็งเป้าอัตโนมัติ {}°
level.station.upgrademenu.buy,ซื้อ
properties.drillbot.plantgrowthtime,ระยะเวลาในการสุก {} รอบ
level.gameover.continue,โหลดเกม
upgrades.repellentoverchargeduration1.desc,เมื่อคุณเปิดใช้งานโอเวอร์ชาร์จจะทำให้สกิลต่อสู้ของคุณในการจู่โจมถัดไปมีระยะเวลานานมากขึ้น
upgrades.artilleryshotcooldown1.title,คูลดาวน์ 1
worldmodifier.resourceunpredicatablewater.desc,น้ำอยู่อย่างกระจัดกระจายและยากต่อการค้นหา
level.tutorial.blastmining.popup_1,เก็บระเบิดขึ้นและปล่อยในจุดที่ต้องการระเบิด
ending.thankyoumessage,ขอบคุณที่เล่นเกมของเรา!
options.keybindings.rebinding.error.gamepad,ไม่สามารถตั้งค่าปุ่มนี้ได้
upgrades.keeper2pinballdamagefraction.desc,ดาเมจของบอลพลังงานแปรผันตามความแข็งของหินและความเสียหายของหินจะคงที่ตามความแข็ง
upgrades.swordlargeblade1.title,ดาบใหญ่ 1
upgrades.shredgadgettoiron.desc,แทนอุปกรณ์ด้วย {amount} เหล็ก
upgrades.drillbot.desc,เลี้ยงดริลเบริทผู้รักในการขุด นำดริลเบริทไปที่เหมืองปล่อยลงในตำแหน่งที่คุณต้องการให้ขุด กลับมาปลุกดริลเบริทให้ตื่นขึ้นเพื่อทำงานต่อ
properties.dome.autohealdamagethreshold,เปิดใช้งานเมื่อรับความเสียหายมากกว่า {} ของพลังชีวิต
upgrades.dome3health1.title,พลังชีวิต 1
title.navbar.updates.close,ปิด
upgrades.swordaimline.desc,ติดตั้งเลเซอร์สำหรับการเล็งดาบเพื่อแทงศัตรู
upgrades.shieldoverchargeduration1.title,โอเวอร์ชาร์จเพิ่มเวลาสกิล 1
level.converter.popup.explanation,เลือก การแลกเปลี่ยนทรัพยากร
upgrades.drillbotbuff1.title,ขนมขบเคี้ยว
title.navbar.credits.close,ปิด
upgrades.keeper2movement3.desc,เพิ่มประสิทธิภาพของเครื่องกำเนิดแรงโน้มถ่วงเพื่อคลื่อนที่อย่างรวดเร็ว
pause.quittotitlescreen,ออกไปหน้าหลัก
loadout.prestige.countdown.description,ตัวคูณแต้มเกียรติยศเริ่มต้นสูงแต่จะลดลงในแต่ละรอบ
upgrades.drill3.title,ความแรงสว่าน 3
upgrades.probestage1.title,เพิ่มสแกนเนอร์
properties.sword.stabarrowhead,เพิ่มขนาดของหัวธนู
loadout.mapsize.huge.description,แผนที่ขนาดใหญ่มาก ใช้เวลาในการเล่นนาน
properties.sword.stabspeed,ความเร็วในการแทง {.percent} 
level.tutorial.teleporter.take1,เครื่องวาร์ปสามารถใช้ได้ทั้งที่สถานีและประตูวาร์ป คุณสามารถวาร์ปไปกลับระหว่างกันได้
worldmodifier.mapmaze.desc,เหมืองเขาวงกต
level.tutorial.teleporter.take2,หยิบ ประตูวาร์ป และวางไว้ที่ไหนก็ได้
options.keybindings.action.dome.battleability1,สกิลต่อสู้
upgrades.laserbend.desc,ติดตั้งอุปกรณ์เสริมให้กับเลเซอร์ให้สามารถเบี่ยงเบนเล็กน้อยเพื่อเล็งเป้าหมายที่อยู่ใกล้ได้โดยอัตโนมัติ
options.video.graphicsmode.fullscreen,เต็มจอ
options.keybindings.action.general.down,ลง
level.tutorial.assessor.spheres,บอลพลังงาน
level.tutorial.mineraltree1,"คุณเพิ่งจะพบเมล็ดต้นทรัพยากร เมล็ดโตเป็นต้นไม้ใหญ่ที่หยั่งรากยึดกับพื้น เมื่อโตเต็มที่จะมอบทรัพยากรตอบแทน ทรัพยากรที่ได้ขึ้นอยู่กับทรัพยากรที่รากยึดติดไว้
วางเมล็ดเพื่อปลูกต้นทรัพยากร"
upgrades.blastmining.desc,ติดตั้งเครื่องสร้างลูกระเบิดในโดมของคุณ นำระเบิดออกไปและปล่อยมันในจุดที่ต้องการและระเบิดให้กระจุย
properties.sword.stabcooldown,เพิ่มคูลดาวน์ {} วินาที 
upgrades.repellentoverchargestrength2.desc,เปิดใช้งานโอเวอร์ชาร์จเพื่อยืดระยะเวลาการจู่โจมถัดไปให้มาถึงช้าลง
upgrades.probeswift1.desc,เปลี่ยนสแกนเนอร์ให้ค้นหาอย่างรวดเร็วและมีจำนวนชาร์จมากขึ้น
properties.drillbot.buffextraamount,เพิ่มพลังขุด {} หน่วย
level.gameover.unlock.keeper,ผู้พิทักษ์คนใหม่
upgrades.prospectionmeter.title,เครื่องมือสำรวจ
upgrades.shieldbattleactivateondepletion.desc,เมื่อเกราะหายไปจะเปิดใช้สกิลอมตะเพื่อทำให้โดมไม่ได้รับความเสียหายโดยอัตโนมัติ
upgrades.dome2badrepair1.title,กู้คืนความเสียหาย 1
upgrades.swordtargetlock.title,ล็อคเป้า
upgrades.laserhitprojectiles.title,สลายการโจมตี
upgrades.keeper2pinballreflectspeedup1.title,เพิ่มการสะท้อน
properties.repellent.battleuses,จำนวนครั้งต่อการจู่โจม {}
options.game.events,กิจกรรม
upgrades.artilleryflakexplosionradius1.desc,กระสุนมีขนาดใหญ่ขึ้น
properties.keeper1.speedlosspercarry,น้ำหนักต่อทรัพยากร
pause.gamepadcontrols.back,กลับ
level.gameover.unlockpicker.title,เลือกของปลดล๊อค
upgrades.prospectionmeteriron2.desc,แสดงทิศทางจากทรัพยากรเหล็กที่ใกล้ที่สุด
upgrades.prestige.desc,เก็บแต้มโดยการส่งออกทรัพยากรให้เยอะที่สุดเท่าที่จะทำได้ ก่อนที่โดมจะถูกทำลาย หรือ ออกจากดาวนี้โดยปลอดภัย
properties.prestige.multiplier,{} ตัวคูณแต้มเกียรติยศต่อรอบ
options.input.controls,ควบคุม
properties.sword.reflectionacceleration,ความเร็วการสะท้อน {.percent}
loadout.difficult.easier,ง่ายขึ้น
upgrades.keeper2pinballreflectdamage1.title,ดาเมจสะท้อน 1
properties.sword.extendspeed,เพิ่มความเร็ว {} 
properties.keeper2.reflectspeedup,บอลลพลังงานเร็วขึ้นเมื่อสะท้อน {.percent}
loadout.mode.doubleiron,เหล็กสองเท่า
upgrades.dome3.desc,ไม่มีในเดโม
properties.condenser.growthtime,เวลาการผลิต {} รอบ
options.game.languages,ภาษา
worldmodifier.mapwidebottom.desc,เหมืองกว้างมากขึ้นตามความลึก
loadout.mode.maze,เขาวงกต
upgrades.dome2health1.desc,เพิ่มความแข็งแรงของโครงสร้างโดมของคุณอย่างถาวรและซ่อมแซมเล็กน้อย
properties.drillbot.drillstrength,ความแรงสว่าน {}
upgrades.keeper2.desc,คนเหมืองนอกคอกผู้ซึ่งทำการทดลองเกี่ยวกับเทคโนโลยีแรงโน้มถ่วง
properties.orchard.battleshields,ชั้นเกราะป้องกัน {}
level.tutorial.sworddome.reflecting.desc,ใช้แผ่นป้องกันของดาบเพื่อหยุดการโจมตีระยะไกล หรือ สะท้อนมันกลับ
options.audio.volumes.musicvolume,ระดับเสียงเพลง
loadout.dome,โดม
upgrades.swordlongblade2.title,ดาบยาว 2
upgrades.laseraimline.title,ศูนย์เล็งเลเซอร์
level.tutorial.assessor.bundle.desc1,กด | เพื่อรวบรวมทรัพยากรเป็นกลุ่มในขณะที่ถือทรัพยากรอยู่
options.keybindings.keyboard,คีย์บอร์ด
level.tutorial.assessor.bundle.desc2,เล็งและยิง กลุ่มทรัพยากรออกไปในแบบเดียวกับที่คุณยิงบอลพลังงาน
properties.prestige.score,{} แต้มเกียรติยศ
worldmodifier.mapdeep.desc,เหมืองลึกแต่แคบ
upgrades.repellentbattleslowdownstun2.title,อัมพาตรุนแรง
upgrades.keeper2pinballmorespheres1.title,บอลสำรอง 1
upgrades.prestigewater.desc,ส่งน้ำกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
properties.keeper2.bundlestopcenter,เขตศูนย์กลางแรงโน้มถ่วง
upgrades.stunlaserdamage1.title,ดาเมจ 1
upgrades.keeper2pinballlifetime1.title,บอลพลังงานคงทน 1
properties.repellent.battleslowdown,มอนสเตอร์ช้าลง {.percent}
upgrades.swordextendlong1.title,แทงไกล 1
level.gameover.stats.distancetravelled,ระยะทางเคลื่อนที่ไป
properties.keeper2.reflectlifetime,เมื่อสะท้อนเพิ่มเวลาบอลพลังงาน {} วินาที
upgrades.blastminingimpactdetonation.desc,ทุ่นระเบิดจะระเบิดออกทันทีเมื่อกระแทกเข้ากับผนังหลังจากปล่อย
properties.keeper2.spheresplit,แยกบอลพลังงานออกจากกัน
options.keybindings.action.dome.upgrade,อัพเกรด
worldmodifier.resourcepoorcobalt.desc,โลกนี้มีทรัพยากรโคบอล์ทจำนวนน้อย
pause.resumegame,เล่นต่อ
level.gameover.unlock.difficulty,ปลดล็อคระดับความยากใหม่!
properties.stunlaser.cooldown,คูลดาวน์ {} วินาที
options.keybindings.action.general.right,ขวา
level.tutorial.assessor.mining.desc,ในการเคลียร์หินออก 1 ก้อน คุณต้องหมุนบอลพลังงานเพื่อกำจัดมัน
upgrades.teleporterteleportresourcesback.title,เทเลพอร์ททรัพยากร
upgrades.dome1.title,Laser Dome
upgrades.keeper2bundleinfinite.title,เพิ่มเวลารวมกลุ่ม
upgrades.repellentdelay1.title,ยืดเวลา 1
upgrades.miner.desc,ในโลกที่ปราศจากมอนสเตอร์ คุณสามารถขุดได้เท่าที่คุณต้องการโดยไม่มีการรบกวน
upgrades.repellentbattlestrongerslowdown1.desc,พ่นหมอกให้มอนสเตอร์ช้าลงมากขึ้นและนานขึ้น
upgrades.teleporterteleportresourcesarea.desc,ประตูวาร์ปขยายบริเวณส่งทรัพยากรให้กว้างขึ้น
upgrades.dome3.title,Artillery Dome
upgrades.swordstabshoot.desc,แทนที่จะยืดดาบออกไปโจมตี เปลี่ยนเป็นการชาร์จดาบและยิงออกไปจากโดมเสมือนหอก
upgrades.repellentbattledamageovertime.desc,มอนสเตอร์ทุกตัวจะได้รับดาเมจจากพิษทุกๆวินาที
upgrades.shieldbattleactivateondepletion.title,เกราะทลายเรียกใช้อมตะ
upgrades.artillerymultishot2.desc,ยิงกระสุนระเบิดต่อเนื่องต่อการยิง
upgrades.dome1health2.title,พลังชีวิต 2
worldmodifier.monsterlethal.desc,มอนสเตอร์มีดาเมจมากขึ้น
loadout.pet,สัตว์เลี้ยง
options.keybindings.action,การกระทำ
upgrades.orcharddrill3.title,เสริมพลังขุด 3
options.translation.title,เลือกภาษาของคุณ
upgrades.prospectionmeterrange1.title,เพิ่มระยะ 1
upgrades.dome2badrepair2.desc,โดมของคุณจะซ่อมแซมมากขึ้นโดยอัตโนมัติหากได้รับความเสียหายจำนวนมากระหว่างการต่อสู้
options.audio.volumes.ambiencevolume,ระดับเสียงบรรยากาศ
upgrades.prestigecobaltnocobalt.desc,ส่งโคบอล์ทกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
worldmodifier.maparms.desc,เหมืองแตกแขนงมากขึ้น
loadout.prestige.countdown,นับถอยหลัง
upgrades.keeper2pinballdamage2.title,เพิ่มความแรงบอลพลังงาน 2
upgrades.jetpackspeed1.title,ความเร็ว 1
upgrades.minerrefuel.title,เติมเชื้อเพลิง
upgrades.teleporterteleportduration1.title,วาร์ปไว
properties.probe.charges,จำนวนชาร์จ {}
loadout.miner.fuel.title,เชื้อเพลิง
exhibition.title.press.anything,กดปุ่มใดก็ได้ เพื่อเริ่มเกม
loadout.mode,โหมดเกม
level.tutorial.sworddome.slicing,ฟัน
properties.condenser.autoovercharge,โอเวอร์ชาร์จอัตโนมัติ
upgrades.teleporterteleportduration1.desc,วาร์ปตัวคุณได้อย่างรวดเร็ว
upgrades.minerwater.title,ส่ง น้ำ
title.navbar.continue,โหลดเกม
upgrades.orchardbattleshield.desc,สร้างเกราะเพื่อปกป้องโดมจากการโจมตีของมอนสเตอร์
upgrades.liftcarrykeeper1.title,ลิฟต์ผู้พิทักษ์ 1
options.input.controls.keybindings,ตั้งค่าปุ่มกด
properties.keeper2.bundlespheres,กลุ่มทรัพยากร
upgrades.shieldovercharge.title,โอเวอร์ชาร์จเกราะ
properties.condenser.overchargedelay,เวลาการผลิตช้าลง {} รอบ
upgrades.keeper2.title,ผู้คุมแรงโน้มถ่วง
level.tutorial.assessor.mining,การขุดแบบหมุน
upgrades.repellentoverchargeduration2.title,โอเวอร์ชาร์จเพิ่มระยะเวลาสกิล 2
upgrades.swordblade1.title,ปรับปรุงให้ดีขึ้น
properties.converter.irontoiron,{} เหล็ก เปลี่ยนเป็น 1 เหล็ก
exhibition.level.description,กำลังกลับสู่เมนูหลักใน ...
level.tutorial.assessor.mining.desc2,คุณสามารถหยุดขุดได้โดยไม่ต้องยิงบอลออกไป เพียงแค่ปล่อยปุ่มทิศทาง
worldmodifier.monsterslow.desc,มอนสเตอร์เคลื่อนที่ช้าลง
upgrades.orcharddrill2.desc,บัพผลไม้เพิ่มพลังการขุดทำให้ขุดเร็วมากขึ้น
loadout.difficulty.easy.description,ลองดูซิ! มันก็ไม่ได้ยากขนาดนั้น
upgrades.swordstabexplode.title,แทงติดระเบิด
level.gameover.stats.additionalgadget,แกดเจ็ตเพิ่มเติม
upgrades.drillbotbuffstrength2.desc,เมื่อนำขนมให้กับดริลเบริทจะทำงานได้นานขึ้นก่อนจะหลับ
upgrades.laserstrength3.desc,เพิ่มพลังของเลเซอร์อย่างมหาศาล แต่จะเคลื่อนที่ช้าลงขณะยิง
loadout.prestige.normal,ปานกลาง
loadout.difficulty.hard,แกไม่รอดแน่
level.gameover.stats.wavessurvived,จำนวนรอบที่ผ่าน
properties.stunlaser.damage,ดาเมจ {}
options.keybindings.rebinding.cancel,ยกเลิก
level.tutorial.sworddome.stabbing.desc,ปล่อยดาบออกไปเพื่อแทงศัตรูที่อยู่ไกล
level.gameover.unlock.gamemodevariant,ตัวแปรเกมโหมดใหม่
upgrades.prestigefinish.title,ออกจากดวงดาว
properties.keeper2.bundleduration,เวลารวมกลุ่มทรัพยากร {.percent}
upgrades.shieldstrength3.title,เสริมเกราะ 3
options.audio.volumes.mastervolume,ระดับเสียงหลัก
upgrades.shieldbattlelongerafterdepletion.title,เกราะระเบิด
options.keybindings.text,"แก้ไขปุ่มลัดตามที่คุณต้องการ
ปุ่มลัด สามารถทับซ้อนกันได้โดยไม่มีปัญหา (เช่น การควบคุมผู้พิทักษ์และอาวุธโดม)"
properties.shield.battleblastdamage,ดาเมจระเบิด {} ต่อวินาที
loadout.mapsize.large.description,แผนที่ขนาดใหญ่ ประมาณหนึ่งชั่วโมงต่อรอบ
upgrades.drill4.desc,เพิ่มความแรงของสว่านเพื่อการขุดที่เร็วขึ้น
upgrades.drillbotsleepless.desc,ดริลเบริททำงานได้นานขึ้นก่อนจะหลับ
upgrades.swordlargeblade2.title,ดาบใหญ่ 2
upgrades.swordlongblade2.desc,เพิ่มความเร็วของของดาบ ทำให้สามารถเด้งกลับได้เมื่อถึงขอบ
upgrades.prestigefinishnocobalt.title,ออกจากดวงดาว
worldmodifier.hardnessmoderated.desc,เหมืองนี่มีหินที่ทั้งแข็งที่สุดและอ่อนนุ่มปะปนอยู่
upgrades.converterironduplication.desc,เพิ่มจำนวนเหล็กมากขึ้น
upgrades.prestigefinish.desc,ออกจากดวงดาวเเละกลับบ้าน
upgrades.dome2health2.desc,เพิ่มความแข็งแรงของโครงสร้างโดมของคุณอย่างถาวรและซ่อมแซม
upgrades.prestige.title,เกียรติยศ
upgrades.liftcarrykeeper1.desc,ลิฟต์จะเพิ่มความเร็วให้กับคุณในขณะที่คุณขึ้นจากเหมือง
upgrades.repellentbattlehealthreduction.desc,ทำให้มอนสเตอร์ทั้งหมดอ่อนแอลง ส่งผลให้พลังชีวิตที่เหลืออยู่ลดลงทันที
upgrades.dome2.title,Sword Dome
worldmodifier.monsterfast.desc,มอนสเตอร์เคลื่อนที่เร็วขึ้น
upgrades.condenserautocollect.desc,เก็บทรัพยากรน้ำอัตโตมัติ ทำให้คุณไม่ต้องเก็บทรัพยากรเอง
upgrades.lift.title,ลิฟต์
options.game.screenshake,สั่นหน้าจอ
options.keybindings.action.dome,โดม
upgrades.swordstabexplodedamage.desc,เพิ่มดาเมจระเบิด
level.gameover.stats.resourcesmined,เก็บทรัพยากรไป
worldmodifier.resourcepoorwater.desc,โลกนี้มีทรัพยากรน้ำจำนวนน้อย
upgrades.prospectionmeter.desc,เครื่องแสดงระยะห่างจากทรัพยากรที่ใกล้ที่สุด สามารถอัพเกรดเพื่อแสดงทิศทางได้
upgrades.shredgadgettocobalt.title,ทดแทนด้วยโคบอล์ท
upgrades.swordelectrified.desc,กระแสไฟฟ้าไหลผ่านคมมีด สร้างความเสียหายเมื่อสัมผัส
upgrades.artilleryflakexplosionradius2.desc,กระสุนมีขนาดใหญ่ขึ้น
upgrades.prospectionmeterwater1.title,มิเตอร์ น้ำ
upgrades.minerwater.desc,ส่งน้ำกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
options.video.graphicsmode,โหมดหน้าจอ
upgrades.shieldbattlereflectspeedup.desc,สะท้อนการโจมตีของศัตรูด้วยความเร็วสูง เพิ่มโอกาสในการโจมตีโดนตัวศัตรู
properties.shield.battleblaststun,ระเบิดสตั้น {}
loadout.mode.hyperactive.desc,มอนสเตอร์เคลื่อนที่ไวขึ้นแต่มีพลังชีวิตน้อย
upgrades.swordstabexplode.desc,ดาบติดระเบิด ระเบิดใส่ศัตรูคนแรกที่ดาบแทง
upgrades.swordstabfast2.title,แทงไว 2
upgrades.converterefficientwater.desc,แปรเปลี่ยนน้ำได้ดียิ่งขึ้น แต่ใช่เวลานานขึ้น
upgrades.orchardduration1.desc,ระยะเวลาบัพของผลไม้อยู่นานขึ้น
loadout.difficulty.title,ระดับความยาก
exhibition.level.heading,ยังเล่นอยู่หรือเปล่า
level.gameover.unlock.gamemode,เกมโหมดใหม่
loadout.prestige.miner.description,Concentrate on the most efficient mining in a world without monsters. Lasts 20 cycles.
leaderboard.friends,Friends
upgrades.repellentbattlehealthreduction.title,เน่าเปื่อย
upgrades.teleporterteleportreactivate.title,เปิดใช้ประตูวาร์ปอีกครั้ง
loadout.miner.scores,ส่งทรัพยากรออกด้วยจรวดเพื่อเพิ่มแต้มสูงสุด ใช้งานได้หลังจากรอบที่ 20 เหมือนกับโหมดเกียรติยศ แต่ไม่มีมอนสเตอร์มารบกวน
options.audio,เสียง
upgrades.repellentovercharge.desc,ใช้น้ำในการโอเวอร์ชาร์จเพื่อผลิตสารขับไล่เร็วขึ้น
upgrades.domewavemeter.title,อุปกรณ์ตรวจจับศัตรู
upgrades.prospectionmeterrange2.desc,เพิ่มระยะในการตรวจหาของเครื่องมือสำรวจให้กว้างขึ้น
upgrades.keeper2pinballreflectspeedup1.desc,เพิ่มความแรงของการสะท้อนบอลพลังงานให้เคลื่อนที่ด้วยความเร็วที่เพิ่มขึ้น
upgrades.shieldoverchargestrength1.desc,โอเวอร์ชาร์จให้เกราะดูดซับความเสียหายได้เพิ่มขึ้น
upgrades.repellentdelay2.desc,ยืดเวลาของการจู่โจมถัดไปให้นานขึ้น
upgrades.repellentbattlelongerhealthreduction.title,เน่าเปื่อยรุนแรง
upgrades.swordtargetlock.desc,เมื่อยิงดาบออกไป ดาบจะล็อคกับมอนสเตอร์ตัวแรกที่พบโดยอัตโนมัติ
upgrades.orchardovercharge.desc,ใช้น้ำกับต้นไม้เพื่อให้ได้ผลไม้ผลิตไวขึ้น
upgrades.orchardbattlerootingmore.title,รากกำยำ
upgrades.swordextendlong2.desc,เพิ่มความเสียหายในการแทงและระยะการบินที่ไกลมากยิ่งขึ้น
upgrades.swordstabfast1.title,แทงไว 1
upgrades.probelong1.desc,เพิ่มระยะของสแกนเนอร์อย่างมาก แต่จะเสียชาร์จแทน
upgrades.repellent.title,สารขับไล่
worldmodifier.monsterwavesspaced.desc,ระยะเวลาระหว่างเวฟมอนสเตอร์มากขึ้น
upgrades.artilleryflakexplosionradius2.title,ขนาดกระสุน 2
properties.drillbot.amount,พลังขุด {} หน่วย
upgrades.repellentdelay3.title,ยืดเวลา 3
ending.appreciationmessage,หวังว่าคุณสนุกกับเกมนี้! เราเห็นคุณค่าความคิดเห็นของคุณ มาร่วมออกความเห็นได้บน Discord หรือ กระทู้ Steam Forums :)
properties.orchard.battlerootexplosion,ดาเมจระเบิด {}
upgrades.orchardduration3.desc,ระยะเวลาบัพของผลไม้สูงสุด
upgrades.dome1damagereduction2.desc,เสริมความแข็งแรงให้กับผิวโดมเพื่อรับดาเมจน้อยลงจากการโจมตีของมอนสเตอร์ระยะประชิด ระยะไกลไม่มีผล
properties.orchard.speedbuff,บัพเพิ่มความเร็ว {}
upgrades.jetpackspeed2.desc,ปรับปรุงไอพ่นให้เคลื่อนที่เร็วขึ้น
upgrades.jetpackspeed3.desc,ปรับปรุงไอพ่นให้เคลื่อนที่เร็วขึ้น
options.accessibility.critters.explanation,"Disable worm, bug or spider like critters that spawn in the mine as visual effects."
title.navbar.options,การตั้งค่า (Options)
properties.repellent.battledamageovertime,มอนสเตอร์ได้รับดาเมจ {} หน่วยต่อวินาที
upgrades.repellentoverchargestrength1.title,โอเวอร์ชาร์จยืดเวลา 1
upgrades.repellentoverchargestrength1.desc,เปิดใช้งานโอเวอร์ชาร์จเพื่อยืดระยะเวลาการจู่โจมถัดไปออกไปเล็กน้อย
upgrades.blastminingproductiontime1.desc,ลดเวลาในการสร้างระเบิด
properties.teleporter.teleportresourcescooldown,ระยะเวลาวาร์ปทรัพยากร {} วินาที
upgrades.artilleryflakmultishot1.desc,ยิงพร้อมกันหลายนัดต่อครั้ง
properties.converter.ironcobalttime,{} รอบ ในการแปรเปลี่ยน
pause.options,การตั้งค่า
options.video.graphicsmode.window,โหมดย่อขนาดหน้าต่าง
properties.shield.battlereflectspeedup,ความเร็วการสะท้อน {.percent}
upgrades.swordaimline.title,เส้นวิถี
level.tutorial.drillbot.handling1,กด | ค้าง เพื่อหยิบดริลเบริท
upgrades.probestage1.desc,เพิ่มสแกนเนอร์ ทำให้ทำงานได้ดีขึ้น
level.tutorial.drillbot.handling2,กด | เพื่อเปลี่ยนทิศทางของดริลเบริท
options.keybindings.rebinding.capture,บันทึก
properties.prospectionmeter.range,ระยะ {} ช่อง
properties.stunlaser.speed,ความเร็ว {}
properties.probe.impulsespeed,ความเร็วการสแกน {}
upgrades.domehealthmeter.title,อุปกรณ์วัดพลังชีวิต
options.audio.music.frequency,โหมดเงียบ(รอบที่ไม่มีเสียงเพลง)
options.audio.volumes.soundvolume,ระดับเสียง
properties.sword.slicebounceback,ดาบกระเด้งของเมื่อกระทบพื้น
upgrades.jetpackspeed4.desc,ปรับปรุงไอพ่นให้เคลื่อนที่เร็วขึ้น
worldmodifier.monsterfragile.desc,มอนสเตอร์มีพลังชีวิตน้อยลง
level.gameover.prestige.score.personalbest,คุณทำคะแนนสูงกว่าครั้งก่อน!
properties.prestige.baseperwave,{} แต้มเกียรติยศพื้นฐานต่อรอบ
loadout.choices.comingsoon,ยังเปิดใช้งาน แต่ใกล้แล้ว
upgrades.doublelaser.desc,ติดตั้งป้อมปืนเลเซอร์อันที่สอง แต่แบ่งพลังการยิงของคุณระหว่างทั้งสอง
upgrades.jetpackstrength2.title,เพิ่มน้ำหนัก 2
upgrades.keeper2bundlestopcenter.title,ศุนย์กลางแรงโน้มถ่วง
properties.keeper2.spherelifetimeperbounce,เพิ่มเวลาของบอลพลังงาน {} วินาที ต่อครั้งของการกระเด้ง
upgrades.converterefficientcobalt.desc,แปรเปลี่ยนโคบอล์ทได้ดียิ่งขึ้น แต่ใช่เวลานาน
properties.orchard.buffduration,ระยะเวลาบัพ {} รอบ
upgrades.domesandrepair.title,ซ่อมแซ่มด้วยโคบอลต์
properties.keeper1.maxspeed,ความเร็วสูงสุด {}
level.station.upgrademenu.cost,ราคา
upgrades.lasermove1.title,ความเร็วเลเซอร์ 1
level.tutorial.sworddome.reflecting,สะท้อน
loadout.petoptions.title,เลือกสัตว์เลี้ยง
upgrades.domeresourcecounters.title,ช่องสัมภาระ
level.gameover.unlocknewelementbutton,เลือกของปลดล๊อค
level.gameover.proceedtounlock,ปลดล๊อคทรัพยากรใหม่!
upgrades.artilleryshotcooldown2.desc,ยิงไวขึ้น
