key,th_TH
level.gameover.keepgadget.title,เลือกแกดเจ็ตเก็บไว้ สำหรับการเล่นครั้งต่อไป
level.station.battle.navbar.shoot,ยิง
upgrades.repellentbattlestrongerslowdown1.title,อ่อนเพลีย
upgrades.dome2.desc,โดมอันทรงพลังพร้อมด้วยดาบทะยานฟ้าที่ผู้พิทักษ์สามารถควบคุมได้อย่างอิสระเพื่อโจมตีผู้บุกรุก
loadout.difficulty.easy,ยาก
upgrades.condenserautocollect.title,เก็บทรัพยากรอัตโนมัติ
upgrades.orchard.title,พฤกษา
upgrades.keeper2pinballreflectspeedup2.desc,สะท้อนบอลพลังงานกลับอย่างรุนแรง
upgrades.laserstrength1.title,เพิ่มพลัง 1
upgrades.lasermove2.title,ความเร็วเลเซอร์ 2
upgrades.shieldbattlereflectshortuses.desc,เพิ่มจำนวนครั้งของการสะท้อน แต่ระยะเวลาจะสั้นลง
options.keybindings.action.keeper.drop,วางของ
level.converter.popup.conversion.to,เป็น
upgrades.repellent.desc,ติดตั้งถังขนาดใหญ่เพื่อผลิตสารขับไล่มอนสเตอร์ เปิดใช้งานเพื่อฉีดพ่นกระจายสารอกไปด้านนอกโดมเพื่อยืดเวลาของรอบการโจมตีถัดไป
properties.repellent.battlehealthreduction,ลดเลือดมอนสเตอร์ {.percent}
loadout.mode.hyperactive,เปราะบาง แต่ เร็ว
loadout.prestige.miner,Miner
upgrades.converter.title,เครื่องเปลี่ยนทรัพยากร
properties.condenser.waterstorage,เก็บ {} น้ำ
upgrades.jetpackstrength2.desc,ปรับปรุงไอพ่นให้บรรทุกของได้เพิ่มขึ้น
level.station.navbar.exit,ออก
options.accessibility.photosensitivity.explanation,ลดแสงกระพิบ
properties.orchard.overchargeadditionalabilityuses,เพิ่มความสามารถอีก {} ครั้ง หลังจากเปิดใช้งานโอเวอร์ชาร์จ
worldmodifier.resourcepooriron.desc,โลกนี้มีทรัพยากรเหล็กจำนวนน้อย
level.gameover.backtomainmenu,กลับสู่เมนูหลัก
upgrades.orchardbattlerooting.desc,เปิดใช้ขณะต่อสู้ เรียกรากไม้ออกมาบริเวณด้านนอกโดมเพื่อดักจับมอนสเตอร์ระดับกลางที่เหยียบรากไม้
upgrades.keeper2pinballreflect.desc,สร้างเขตแรงโน้มถ่วงรอบตัวเพื่อสะท้อนบอลกลับไป
upgrades.laser.title,เลเซอร์
options.game.tutorials.resettutorials,รีเซ็ตโหมดฝึกสอน
properties.converter.ironirontime,{} รอบ ในการแปรเปลี่ยน
title.navbar.newgame,เริ่มเกม
upgrades.artilleryflakmultishot2.desc,ยิงพร้อมกันหลายนัดต่อครั้ง
upgrades.swordreflection2.desc,แผ่นป้องกันใหญ่มาก
upgrades.lasermove3.title,ความเร็วเลเซอร์ 3
upgrades.lasermove1.desc,เลเซอร์เคลื่อนที่เร็วขึ้น
properties.lift.orbs,{} ลูก
level.station.battle.navbar.move,เคลื่อนที่
upgrades.orchardjetpack2.title,เสริมความเร็วไอพ่น 2
options.audio.music,เพลง
worldmodifier.resourceunpredicatableiron.desc,เหล็กจะรวมกันเป็นกลุ่มอยู่อย่างกระจัดกระจายและยากต่อการค้นหา
properties.shield.maxstrength,พลังชีวิต {} หน่วย
upgrades.condenserspeed1.title,เร่งผลิต 1
properties.orchard.battleabilityuses,จำนวนครั้งที่ใช้ได้ในการต่อสู้ {}
upgrades.shieldstrength2.desc,เกราะดูดซับความเสียหายได้มากยิ่งขึ้น
upgrades.drillbotbuffstrength2.title,คาเฟอีน
upgrades.keeper2pinballreflectdamage2.desc,สะท้อนบอลพลังงานออกไปทำความเสียหายมากขึ้นในการกระทบครั้งถัดไป
level.paused,หยุดชั่วคราว
level.tutorial.sworddome.stabbing,แทง
upgrades.stunlaserspeed1.title,ความเร็ว 1
upgrades.domehealthmeter.desc,แสดงค่าพลังชีวิตโดม
upgrades.swordlargeblade1.desc,เพิ่มความกว้างและความยาวของดาบเพื่อทำความเสียหายมากขึ้น
title.navbar.quit,ออกจากเกม
level.station.battle.navbar.slice,ฟัน 
level.gameover.stats.timeplayed,เวลาผ่านไป
properties.teleporter.teleportresources,วาร์ปทรัพยากร
upgrades.drillbotstrength2.desc,เพิ่มพลังขุดของดริลเบริท
level.tutorial.drop.popup_2,กด | เพื่อทิ้ง 1 ครั้ง กดค้างเพื่อทิ้งหลายครั้ง
level.gameover.keepgadget.keeping,แกดเจ็ตที่เก็บไว้: {gadget}
level.tutorial.drop.popup_1,บรรทุกทรัพยากรจะทำให้คุณช้าลง
worldmodifier.maprugged.desc,เหมืองขรุขระและไม่ปกติ
level.tutorial.onewayteleporter1,คุณพบวาร์ปทางเดียว
upgrades.artilleryshotprediction.title,คาดคะเนการยิง
upgrades.keeper2bundle.desc,รวบรวมทรัพยากรให้เป็นกลุ่มเดียวและยิงออกไปในทิศทางเดียวกับบอลพลังงาน
level.tutorial.onewayteleporter2,กด | เพื่อวางตำแหน่งวาร์ป
level.tutorial.onewayteleporter3,กดอีกครั้งเพื่อวาร์ปกลับ
properties.lift.capacity,ลูกแก้วขนส่งทรัพยากร {} ชิ้น
properties.shield.battleabilityduration,ระยะเวลาสกิล {} วินาที
level.tutorial.teleporter.carry2,เมื่ออยู่ใกล้ๆ กด | เพื่อหยิบ ประตูวาร์ป ขึ้นมา
level.tutorial.teleporter.carry3,หากคุณกด | คุณจะวาร์ปกลับไป
upgrades.minerrefuel.desc,เปลี่ยนน้ำให้เป็นเชื้อเพลิงสำหรับโดม หรือจะเติมเชื้อเพลิงให้กับผู้พิทักษ์ได้เช่นกัน
level.tutorial.teleporter.carry1,คุณสามารถย้าย ประตูวาร์ป ไปที่ไหนก็ได้
options.keybindings.cancel,ยกเลิก
level.tutorial.probe.popup_1,กด | เพื่อสแกน
upgrades.liftcarrykeeper2.desc,ลิฟต์ส่งคุณไวขึ้นอย่างมาก
level.tutorial.probe.popup_3,"เพื่อเผยตำแหน่งของทรัพยากรใกล้เคียง
กลับไปที่สถานีเพื่อรับชาร์จ"
worldmodifier.resourcerichcobalt.desc,โลกนี้มีทรัพยากรโคบอล์ทจำนวนมาก
upgrades.keeper2pinballdamage4.desc,เพิ่มดาเมจให้กับบอลพลังงานเมื่อกระแทกกับหิน และยังเพิ่มดาเมจให้กับการขุดแบบหมุนอีกด้วย
properties.sword.stabexplosive,ติดระเบิดที่ปลาย
properties.drillbot.turnaround,เปลี่ยนทิศทางเมื่อเจอกับกำแพงแข็ง
upgrades.shieldstrength1.title,เสริมเกราะ 1
properties.repellent.overchargewavedelay,ขยายระยะยืดเวลาการจู่โจม {} รอบ
upgrades.swordreflection3.title,สะท้อน 3
upgrades.dome1.desc,โดมทำเหมืองมาตรฐาน มาพร้อมกับเลเซอร์ที่ทรงประสิทธิภาพและแม่นยำ
level.tutorial.drillbot.carry,พาดริลเบริทไปยังเหมือง วางดริลเบริทในจุดที่ต้องการขุด
upgrades.lift.desc,ติดตั้งลิฟต์อัตโนมัติเพื่อนำทรัพยากรจากเหมืองกลับมายังโดม
upgrades.dome1health2.desc,เพิ่มความแข็งแรงให้กับโครงสร้างโดมอย่างถาวร
upgrades.converterefficientwater.title,แปรเปลี่ยนน้ำดีขึ้น
loadout.difficulty.hard.description,ดีมาก พร้อมที่จะรับความพ่ายแพ้แล้วสินะ
upgrades.artillerymultishot2.title,ยิงต่อเนื่อง 2
upgrades.swordelectrified.title,ดาบสายฟ้า
upgrades.drillbotstrength3.desc,เพิ่มพลังขุดของดริลเบริท
upgrades.shieldbattleinvulnerable.title,อมตะ
upgrades.keeper2rotationalmining2.title,เสริมการขุดแบบหมุน
upgrades.stunlaserautonomy1.title,อัตโนมัติ
level.tutorial.teleporter.teleport1,เมื่ออยู่ใกล้ประตูวาร์ป กด | เพื่อวาร์ปกลับ
level.tutorial.teleporter.teleport2,คุณสามารถวาร์ปไปกลับได้
level.gameover.prestige.uploading.failed,อัพโหลดไม่สำเร็จ กำลังลองใหม่อีกครั้ง
upgrades.lasermove2.desc,เลเซอร์เคลื่อนที่เร็วมากขึ้น
loadout.mapsize.title,ขนาดแผนที่
level.gameover.miner.title,MINER RUN FINISHED
upgrades.blastminingblast1.title,ระเบิด 1
upgrades.drillbotturnaround.desc,เมื่อดริลเบริทเดินไปชนกับกำแพงแข็งที่เจาะไม่เข้า ดริลเบริทจะเปลี่ยนทิศทางแทนการนอนหลับ
properties.dome.autohealamount,ซ่อมแซมพลังชีวิต {} หน่วย
upgrades.condenserautoovercharge.desc,ทำให้เครื่องมือหลักของคุณโอเวอร์ชาร์จตลอดเวลาโดยไม่ใช้น้ำ แต่เครื่องกลั่นน้ำจะผลิตน้ำได้ช้าลง
upgrades.teleporterteleportresourcesback.desc,ประตูวาร์ปสามารถจัดส่งทรัพยากรกลับไปยังโดม แต่คุณจะไม่สามารถวาร์ปกลับผ่านประตูวาร์ปได้ คุณยังสามารถวาร์ปจากสถานทีมายังประตูวาร์ปได้อยู่
ending.wishlistonsteam,เพิ่มเป็นเกมที่อยากได้บน Steam
properties.sword.reflection,เพิ่มขนาดแผ่นป้องกัน
upgrades.drillbotduplicate.desc,ดริลเบริท ทำงานร่วมกับฝาแฝด ดริลเลี่ยม
level.converter.popup.conversion.convert,แลกทรัพยากร
leaderboard.loading,loading...
properties.converter.watertoiron,{} น้ำ เปลี่ยนเป็น 1 เหล็ก
options.title,การตั้งค่า
upgrades.swordexplosivereflection.desc,สะท้อนการโจมตีของศัตรูกลับไปเมื่อโดนศัตรูจะระเบิดออก
upgrades.shieldbattlereflectshortuses.title,เพิ่มเวลาสะท้อน
level.gameover.unlock.skin,ปลดล็อคสกินใหม่!
level.gameover.stats.destroyedblocks,บล๊อคทำลายไป
options.keybindings.action.keeper.gravityball,ยิง
upgrades.orchardjetpack1.title,เสริมความเร็วไอพ่น 1
upgrades.keeper1.desc,ผู้เชี่ยวชาญที่เปี่ยมล้นไปด้วยทักษะการขุดเหมืองอันยอดเยี่ยม
properties.laser.movespeedmod,Move Speed Modifier {.percent}
upgrades.laserstrength3.title,เพิ่มพลัง 3
upgrades.orchardoverchargebuffduration.desc,บัพของผลไม้อยู่นานขึ้นเมื่อทำการโอเวอร์ชาร์จ
upgrades.stunlaserduration1.title,ต้านทานความร้อน 1
loadout.mode.maze.desc,แผนที่เปลี่ยนเป็นเขาวงกตที่เต็มไปด้วยเส้นทางอันคดเคี้ยว และ ทางตัน
properties.dome.healthfractionrepair,ซ่อมแซม {.percent} ของพลังชีวิตสูงสุด
upgrades.jetpackstrength3.desc,ปรับปรุงไอพ่นให้บรรทุกของได้เพิ่มขึ้น
options.input.gamepad.gamepadstickdeadzone.motiondetected,ตรวจจับความเคลื่อนไหว
upgrades.prospectionmetersand1.title,มิเตอร์ โคบอล์ท
upgrades.prospectionmeterwater1.desc,แสดงระยะห่างจากทรัพยากรน้ำที่ใกล้ที่สุด
upgrades.blastminingstickycharge.desc,ระเบิดจะติดกับผนังแรกที่สัมผัสและระเบิดออกเป็นเส้นตรงแทนที่จะระเบิดเป็นวงกว้าง
options.video,วิดีโอ
title.navbar.updates,อัปเดต
loadout.skin,สกิน
upgrades.drillbotstrength2.title,เพิ่มพลังขุด 2
level.gameover.win.title,โดมปลอดภัยแล้ว
level.station.navbar.battle,ต่อสู้
upgrades.converterirontocobalt.desc,สามารถแปรเปลี่ยนระหว่างโคบอล์ทและเหล็กได้
upgrades.keeper2rotationalmining2.desc,เพิ่มความเสียหายให้กับการขุดแบบหมุนตามความแข็งของหิน
level.gameover.unlock.dome,เริ่มเกมใหม่
pause.gamepadcontrols.pickup,หยิบ
options.video.graphicsmode.photosensitive,โหมดไวต่อแสง
upgrades.orchardduration2.desc,ระยะเวลาบัพของผลไม้อยู่นานมากขึ้น
properties.dome.meleedamagereduction,ลดทอนความเสียหายระยะใกล้ {.percent}
upgrades.domesandrepairstrong.desc,ซ่อมแซมความเสียหายของโดมด้วยโคบอล์ท
options.input,การควบคุม
properties.keeper2.spherereload,รีโหลดบอลพลังงาน {}วินาที
properties.blastmining.damage,ดาเมจ {}
upgrades.laserbend.title,เลเซอร์เบี่ยงเบน
upgrades.swordlargeblade3.desc,ติดตั้งดาบยักษ์ ทำความเสียหายได้มหาศาล แต่ต้องแลกกับความเร็วที่ช้าลง
loadout.domeoptions.title,เลือกโดม!
upgrades.shieldoverchargeduration1.desc,โอเวอร์ชาร์จเกราะของคุณจะทำให้สกิลต่อสู้ของเกราะใช้ได้นานขึ้นในการจู่โจมถัดไป
upgrades.probelong1.title,เพิ่มระยะ
options.keybindings.rebinding.inputprocessor,กดปุ่มที่ต้องการตั้งค่า
properties.teleporter.teleportduration,ระยะเวลาวาร์ป {} วินาที
upgrades.dome2health2.title,พลังชีวิต 2
upgrades.drillbotduplicate.title,แฝดน้อง
pause.quit.popup,"คุณจะออกจากเกมใช่ไหม?
กดอีกครั้งเพื่อยืนยัน
(บันทึกความคืบหน้าเรียบร้อย)"
upgrades.prospectionmetersand2.desc,แสดงทิศทางจากทรัพยากรโคบอล์ทที่ใกล้ที่สุด
upgrades.probepersist1.desc,เพิ่มการจดจำตำแหน่งทรัพยากรของสแกนเนอร์ให้อยู่นานมากยิ่งขึ้น
upgrades.artilleryshotcooldown2.title,คูลดาวน์ 2
properties.keeper2.sphereadditionalfirsthitdamage,เพิ่มดาเมจ 1 ครั้ง เมื่อกระทบ {.percent}
upgrades.shieldbattledestructionprevention.title,ยืนหยัดสู้
level.gameover.unlock.pet,ปลดล๊อคสัตว์เลี้ยงใหม่!
upgrades.repellentbattlelongerhealthreduction.desc,เพิ่มระยะเวลาเเละความรุนแรงของการเน่าเปื่อยต่อมอนสเตอร์
ending.feedbackondiscord,ความคิดเห็นบน Discord
properties.keeper2.reflectnexthitdamage,เพิ่มดาเมจบอลพลังงานหลังจากสะท้อน {.percent}
options.video.graphicsmode.borderlesswindow,หน้าต่างไร้ขอบ
upgrades.keeper2pinballlifetime1.desc,เพิ่มความเสถียรของบอลพลังงาน ทำให้อยู่ได้นานขึ้น
level.gadgetchoice.title,เลือกแกดเจ็ต
upgrades.keeper2bundle.title,รวมกลุ่ม
upgrades.relichunt.title,ล่าสมบัติ
loadout.mode.doubleiron.desc,เพิ่มจำนวนเหล็กที่ได้เป็น 2 เท่า แต่ค่าใช้จ่ายในการอัพเกรดเป็น 2 เท่า เช่นกัน
level.tutorial.repair.findcobalt,"ลองค้นหาโคบอล์ท เพื่อใช้ซ่อมแซมโดม
โคบอล์ทหายากและมีน้อย"
upgrades.keeper2pinballsplit.title,แยกบอล
options.input.controls.text,เล่นง่ายขึ้นหากเชื่อมต่อกับ จอยสติ๊ก
landing.proceed,กดปุ่มใดก็ได้ เพื่อเล่นต่อ
upgrades.keeper2pinballmorespheres1.desc,เพิ่มตัวสร้างแรงดึงดูด ทำให้ใช้บอลพลังงานได้มากขึ้น
upgrades.jetpackstrength4.desc,ปรับปรุงไอพ่นให้บรรทุกของได้เพิ่มขึ้น
upgrades.orchardbattleshieldsecondlayer.desc,เพิ่มเกราะป้องกันอีกหนึ่งขั้น
level.converter.popup.conversion.time,เกิน {time} รอบ
properties.keeper2.maxspeed,ความเร็วสูงสุด {}
properties.laser.aimline,เส้นวิถี
upgrades.shieldstrength3.desc,เกราะดูดซับความเสียหายได้มากยิ่งขึ้น
upgrades.repellentovercharge.title,โอเวอร์ชาร์จสารขับไล่
properties.drillbot.buffstrength,บัพเพิ่มความเร็ว {.percent}
worldmodifier.hardnesssofter.desc,หินในเหมืองความแข็งลดลง
level.tutorial.pickup.popup_1,กด | เพื่อเก็บทรัพยากร
level.tutorial.pickup.popup_3,กดค้างเพื่อเก็บเยอะ ๆ
pause.gamepadcontrols.drop,วาง
level.tutorial.fruit.popup_1,ต้นไม้จะมอบผลไม้ให้กับคุณ
level.tutorial.fruit.popup_2,เมื่ออยู่ใกล้ ๆ กด | เพื่อใช้
worldmodifier.mapwide.desc,เหมือนกว้างแต่ไม่ลึก
upgrades.prestigefinishnocobalt.desc,ออกจากดวงดาวเเละกลับบ้าน
upgrades.prospectionmeteriron2.title,เข็มทิศ เหล็ก
upgrades.keeper2movement2.title,การลอยตัว 2
options.keybindings.gamepad,จอยสติ๊ก
ending.backtomainmenu,กลับสู่เมนูหลัก
level.tutorial.fullscreen.back,ย้อนกลับ
upgrades.orchardbattleshield.title,เกราะป้องกัน
upgrades.blastmining.title,ทุ่นระเบิด
upgrades.converterirontocobalt.title,แปรเปลี่ยนโคบอล์ท
upgrades.swordstabfast1.desc,แทงเร็วขึ้นและบ่อยขึ้น
level.gameover.prestige.score.rankunchanged,ระดับไม่เปลี่ยนแปลง
options.accessibility.critters,Disable Critters
upgrades.teleporterteleportreactivate.desc,คุณสามารถกลับไปยังโดมผ่านประตูวาร์ปได้อีกครั้ง
upgrades.orchardjetpack3.title,เสริมความเร็วไอพ่น 3
level.gameover.unlock.mapsize,ปลดล็อคขนาดแผนที่ใหม่!
level.station.upgrademenu.inventory,รายการสิ่งของ
level.gameover.keepgadget.none,ไม่มี
upgrades.stunlaserdamage1.desc,เพิ่มดาเมจของสตั้นเลเซอร์เล็กน้อย
properties.repellent.battleabilityduration,ระยะเวลาสกิล {} วินาที
upgrades.minoriron.desc,ส่งเหล็กกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
upgrades.teleporter.title,เทเลพอร์ทเตอร์
ending.teasemessage,สิ่งเหล่านี้กำลังจะมาถึง
loadout.relichunt.modifiers,เลือกการปรับแต่ง
options.accessibility,การตั้งค่าเสริม
loadout.mapsize.small.description,แผนที่ขนาดเล็ก สำหรับเวลาเล่นสั้น ๆ
upgrades.shieldbattleblastdamage.desc,ระเบิดสายฟ้าสร้างความเสียหายเพิ่มขึ้นและสตั้นศัตรูชั่วครู่
options.translation.community.desc,งานแปลเหล่านี้เป็นผลงานจากผู้เล่นที่น่ารักของเรา มาร่วมงานกันกับเราได้นะ
upgrades.prospectionmeterwater2.desc,แสดงทิศทางจากทรัพยากรน้ำที่ใกล้ที่สุด
upgrades.stunlaserdamage2.title,ดาเมจ 2
options.keybindings.action.keeper.gadget1,แกดเจ็ต 1
options.keybindings.action.keeper.gadget2,แกดเจ็ต 2
properties.repellent.wavedelay,ยืดเวลาการจู่โจม {} รอบ
options.ok,ตกลง
upgrades.swordblade1.desc,ปรับปรุงความแรงและความเร็วของดาบของคุณ
upgrades.shieldoverchargeduration2.title,โอเวอร์ชาร์จเพิ่มระยะเวลาสกิล 2
properties.sword.slicedamage,ดาเมจการฟันดาบ {} 
properties.condenser.autocollect,เก็บทรัพยากรอัตโนมัติ
properties.keeper2.directminingdamage,High Rotational Mining Damage
upgrades.keeper2bundlestopcenter.desc,เมื่อยิงกลุ่มทรัพยากรออกไปจะอยู่ใต้เส้นศูนย์กลางของโดมไม่ลอยข้ามออกไป
upgrades.orchardduration1.title,ระยะเวลา 1
upgrades.drillbotbuffstrength1.title,ขนมบำรุงกำลัง
upgrades.liftcarrykeeper2.title,ลิฟต์ผู้พิทักษ์ 2
upgrades.shieldoverchargestrength2.desc,โอเวอร์ชาร์จให้เกราะดูดซับความเสียหายได้เพิ่มมากยิ่งขึ้น
upgrades.repellentbattleslowdown.title,อ่อนล้า
properties.sword.aimline,คาดคะเนการยิง
upgrades.repellentdelay3.desc,ยืดเวลาของการจู่โจมถัดไปให้นานขึ้น
upgrades.teleporter.desc,ประตูวาร์ป 2 ทิศทาง ติดตั้งอยู่บริเวณด้านล่างของโดม คุณสามารถเคลื่อนย้ายประตูวาปไปที่ตำแหน่งต่างๆภายในเหมืองได้
level.gameover.stats.monsterskilled,มอนส์เตอร์ที่สังหาร
upgrades.keeper2pinballreflect.title,สะท้อนบอล
upgrades.drillbotstrength3.title,เพิ่มพลังขุด 3
upgrades.shieldbattlereflectspeedup.title,สะท้อนกลับเร็ว
upgrades.probeswift1.title,สแกนด่วน
options.game.events.enableseasonal,เปิดใช้กิจกรรม
upgrades.repellentbattledamageovertime.title,เชื้อราพิษ
upgrades.dome3health2.title,พลังชีวิต 2
loadout.mapsize.huge,ใหญ่มาก
properties.shield.overchargebattleabilityduration,เพิ่มระยะเวลาสกิล {.percent}
options.keybindings.action.keeper.gravitycollect,สะสมชาร์จ
loadout.miner.scores.title,คะแนน
properties.lift.speed,ความเร็วลูกแก้ว {}
upgrades.drillbotstrength1.title,เพิ่มพลังขุด 1
level.tutorial.repellent.popup_2,เมื่ออยู่ใกล้ ๆ กด | เพื่อใช้
level.tutorial.repellent.popup_1,สารขับไล่พร้อมแล้วที่จะชะลอรอบการบุก
properties.orchard.growthtime,ระยะเวลาในการเติบโต {} รอบ
properties.keeper2.spherefractiondamage,ดาเมจบอลพลังงาน {.percent} ของความแข็งหิน
properties.sword.brake,ความไวของดาบ {}
upgrades.artilleryflakmultishot2.title,ยิงกระจาย 2
upgrades.swordstabfast2.desc,แทงเร็วขึ้นและบ่อยขึ้น
upgrades.sword.desc,ดาบอันทรงพลังสามารถทำความเสียหายได้มากขึ้นด้วยระยะการแกว่งดาบที่กว้างขึ้นด้วยการเลื่อนดาบไปตามพื้นผิวของโดม สามารถยิงดาบออกไปเพื่อแทงมอนสเตอร์ที่เข้ามา และบริเวณฐานของดาบเป็นโล่ที่ปัดป้องความเสียหายจากการโจมตีระยะไกลของมอนสเตอร์
upgrades.artilleryflakmultishot1.title,ยิงกระจาย 1
upgrades.artilleryshotprediction.desc,แสดงวิถีที่คาดคะเนของกระสุนที่ยิง
upgrades.shieldbattlereflect.desc,เปิดใช้สกิลต่อสู้เพื่อสะท้อนการโจมตีของมอนสเตอร์เป็นช่วงเวลาสั้นๆ
upgrades.orchardbattleshieldstrong.title,เกราะแกร่ง
upgrades.swordlongblade1.title,ดาบยาว 1
level.station.battle.navbar.stab,แทง
properties.converter.irontowater,{} เหล็ก เปลี่ยนเป็น 1 น้ำ
upgrades.minoriron.title,ส่ง เหล็ก
upgrades.keeper2bundleinfinite.desc,กลุ่มทรัพยากรที่รวบรวมไว้อยู่ได้นานขึ้น
worldmodifier.resourcedesc,กลุ่มเหล็กมีน้อยลงแต่จำนวนจะมากขึ้น
loadout.keeper,ผู้พิทักษ์
upgrades.drillbotstrength4.desc,เพิ่มพลังขุดของดริลเบริท
upgrades.swordstabexplodedamage.title,ความเสียหายระเบิด
upgrades.prospectionmeterwater2.title,เข็มทิศ น้ำ
loadout.keeperoptions.title,เลือกผู้พิทักษ์
properties.probe.range,{} ช่อง
upgrades.shield.title,เกราะป้องกัน
loadout.mapsize.large,ใหญ่
properties.keeper2.reflectsphere,สะท้อนบอลพลังงานออกไป
upgrades.orchardbattlerooting.title,กับดักรากไม้
properties.repellent.growthtime,เวลาการผลิต {} รอบ
properties.converter.irontocobalt,{} เหล็ก เปลี่ยนเป็น 1 โคบอล์ท
upgrades.dome3health1.desc,เพิ่มความแข็งแรงให้กับโครงสร้างโดมอย่างถาวร
upgrades.teleporterteleportresourcescooldown.title,ลดคูลดาวน์การวาร์ป
upgrades.shieldovercharge.desc,ใช้น้ำเพื่อเพิ่มการดูดซับความเสียหายของเกราะในการจู่โจมถัดไป
upgrades.stunlaserspeed2.title,ความเร็ว 2
upgrades.drillbotbuff1.desc,ขนมขบเคี้ยวสำหรับดริลเบริทเติบโตที่บริเวณรังด้านล่างของโดม เมื่อนำของว่างให้กับดริลเบริทจะรู้สึกสดชื่นและมีพลัง
options.keybindings.action.dome.battle,โหมดต่อสู้
upgrades.orchardovercharge.title,โอเวอร์ชาร์จเร่งโต
properties.teleporter.teleportresourcesarea,ระยะวาร์ป {} ช่อง
upgrades.swordreflection1.desc,เพิ่มขนาดแผ่นป้องกันและสะท้อนการโจมตีของมอนสเตอร์ออกไป
upgrades.blastminingblast2.title,ระเบิด 2
upgrades.swordreflection1.title,สะท้อน 1
upgrades.keeper2pinballlifetime2.desc,เพิ่มความเสถียรของบอลพลังงาน ทำให้อยู่ได้นานขึ้น
options.keybindings.action.general.left,ซ้าย
properties.laser.movespeed,Move Speed {}
upgrades.dome3health2.desc,เพิ่มความแข็งแรงให้กับโครงสร้างโดมอย่างถาวร
upgrades.drill2.title,ความแรงสว่าน 2
options.keybindings.rebinding,การเชื่อมต่อ
level.tutorial.assessor.carry.desc1_1,เมื่อดึงเข้ามาแล้วทรัพยากรจะลอยติดตามคุณ แม้จะปล่อยปุ่มรวบรวมไปแล้วก็ตาม
upgrades.keeper2pinballdamage1.title,เพิ่มความแรงบอลพลังงาน 1
upgrades.stunlaserspeed2.desc,สตั้นเลเซอร์จะเคลื่อนที่เร็วขึ้นและติดตามมอนสเตอร์ในขณะที่กำลังคูลดาวน์
options.keybindings.title,ตั้งค่าปุ่มกด
upgrades.keeper2pinballmorespheres2.desc,เพิ่มตัวสร้างแรงดึงดูด ทำให้ใช้บอลพลังงานได้มากขึ้น
level.gameover.prestige.uploading.finalfailed,ขออภัย! อัพโหลดคะแนนไม่สำเร็จ
upgrades.blastminingblast1.desc,เพิ่มความรุนแรงระเบิด
upgrades.stunlaserduration2.desc,สตั้นเลเซอร์ทำงานได้ไวขึ้นและยิงได้นานขึ้น
upgrades.prospectionmetersand1.desc,แสดงระยะห่างจากทรัพยากรโคบอล์ทที่ใกล้ที่สุด
pause.gamepadcontrols.move,เคลื่อนที่
properties.blastmining.bombs,จำนวนชาร์จ {} ครั้ง
upgrades.shieldstrength2.title,เสริมเกราะ 2
loadout.prestige.cobalt.description,แผนที่ไม่มีโคบอล์ทและไม่สามารถสร้างได้ แต่คุณจะได้รับจำนวนมากเมื่อเริ่มเกม
